id,name,count
2,terrainFiller,5174
16,terrGravel,20
17,terrAsphalt,639
259,woodShapes:cube,180
262,woodShapes:cubeThreeQuarter,32
274,woodShapes:cubeHalf,11
316,woodShapes:pole,12
318,woodShapes:poleSideCentered,7
321,woodShapes:poleHalfSideCentered,8
322,woodShapes:poleTwoWayCorner,4
341,woodShapes:poleSquareDouble,8
383,woodShapes:plate,36
384,woodShapes:plateCentered,2
388,woodShapes:plateCladding03,2
390,woodShapes:plateCladding05,6
395,woodShapes:plateCorner,4
399,woodShapes:plateHalfThreeSided,2
403,woodShapes:plateCornerTwoWall,1
413,woodShapes:plateHalf,26
417,woodShapes:plateCornerBeveled,2
995,woodShapes:halfRampStairs50Filler,4
1355,woodShapes:cubeBaseboardChairRail4Sided,1
1369,woodShapes:rampBaseboardChairRail,4
1381,woodShapes:counterRound1m,3
1712,woodShapes:windowTrim,4
1785,woodShapes:windowStoreOneSidedFull,9
1787,woodShapes:windowStoreThreeSidedFull,1
1789,woodShapes:windowStoreCornerFull,2
1814,woodShapes:windowStoreOneSidedEmpty,21
1966,woodShapes:windowIndustrial02Empty,2
2025,woodShapes:windowPanel,34
2186,woodShapes:securityGatePlate,8
2190,woodShapes:table,5
2191,woodShapes:tableDynamic,16
2192,woodShapes:tableDynamicHalf,2
2193,woodShapes:prepTable,1
2212,woodShapes:plateCounter02,2
2213,woodShapes:plateCounter03,4
2222,woodShapes:cubeBookcase,1
2228,woodShapes:bookcaseEmpty,12
2236,woodShapes:bookcaseOpenEnded,10
2256,woodShapes:mirrorRound,2
2274,woodShapes:fence,48
2479,brickShapes:cube,167
2482,brickShapes:cubeThreeQuarter,4
2494,brickShapes:cubeHalf,66
2501,brickShapes:cube0.25m,10
2582,brickShapes:polePlateHalf,4
2587,brickShapes:polePlate,8
2603,brickShapes:plate,6
2610,brickShapes:plateCladding05,4
2704,brickShapes:pillar50CenteredSquareTop,1
2749,brickShapes:pipeFlange,2
3932,brickShapes:windowTrim,5
4446,brickShapes:cubeHalfBookshelfDouble,4
4447,brickShapes:cubeHalfBookshelfTriple,3
4448,brickShapes:bookcaseEmpty,18
6919,concreteShapes:cube,3919
6922,concreteShapes:cubeThreeQuarter,68
6934,concreteShapes:cubeHalf,371
6942,concreteShapes:cubeCornerBeveled,1
6951,concreteShapes:halfBlockPoleQuarter,1
6955,concreteShapes:cubeQuarterPlateCorner,1
6957,concreteShapes:cubeQuarter,23
6971,concreteShapes:cubeEighth,2
7021,concreteShapes:polePlateQuarter,12
7024,concreteShapes:polePlateHalfOffCentered,16
7027,concreteShapes:polePlate,81
7030,concreteShapes:polePlateCorner,3
7043,concreteShapes:plate,33
7106,concreteShapes:billboardHalf,21
7112,concreteShapes:plateDouble3,8
7125,concreteShapes:sphere,3
7126,concreteShapes:pillar100Cap,1
7127,concreteShapes:pillar50,18
7128,concreteShapes:halfPillar50,4
7346,concreteShapes:cornerRound,2
7364,concreteShapes:ramp,12
7682,concreteShapes:plateRamp,105
7690,concreteShapes:plateWedge60Right,1
7692,concreteShapes:plateWedge60RightTip,1
7844,concreteShapes:stairsFilledQuarterVerticalUV,2
7845,concreteShapes:stairsFilledVerticalUV,5
7860,concreteShapes:stairsFilledRailingMetalLeft,1
7861,concreteShapes:stairsFilledRailingMetalRight,1
7864,concreteShapes:stairsHollow,1
7868,concreteShapes:stairsHollowRailingMetalRight,1
7880,concreteShapes:wedgeTipStairs,13
7883,concreteShapes:wedgeTipStairsOutsideCorner,1
7887,concreteShapes:wedgeTipStairsRailingMetalLeft,2
7888,concreteShapes:wedgeTipStairsRailingMetalRight,4
7889,concreteShapes:wedgeStairs,11
7892,concreteShapes:wedgeStairsOutsideCorner,1
