id,name,count
2,terrainFiller,7812
16,terrGravel,782
18,terrConcrete,511
316,woodShapes:pole,19
383,woodShapes:plate,31
942,woodShapes:plateDiagonalFillerWallDouble,2
1019,woodShapes:plateDiagonal,27
1021,woodShapes:plateDiagonalHalfRight,1
1022,woodShapes:plateDiagonalFiller,48
1027,woodShapes:plateDiagonalFillerWallLeft,4
1028,woodShapes:plateDiagonalFillerWallRight,4
1031,woodShapes:plateRamp,2
1730,woodShapes:doorTrim1m,8
1837,woodShapes:windowStoreFourSidedBroken,1
2053,woodShapes:windowBoarded,1
2121,woodShapes:plateDestroyed,3
2122,woodShapes:plateDestroyed02,1
2123,woodShapes:plateDestroyed03,2
2127,woodShapes:plateDiagonalDestroyed,1
2129,woodShapes:plateDiagonalDestroyed03,1
2130,woodShapes:plateDiagonalDestroyed04,2
2133,woodShapes:plateWedge60InclineDestroyed,1
2312,woodShapes:fence,36
2313,woodShapes:fenceDiagonal,16
2315,woodShapes:fenceBroken1,6
2316,woodShapes:fenceBroken2,6
7051,concreteShapes:cube,1
7534,concreteShapes:wedge60,2
7657,concreteShapes:wedge60TipCornerBase,4
9353,steelShapes:cubeQuarter,12
11279,steelShapes:securityGatePlate,4
13877,corrugatedMetalShapes:halfQuarterPost,3
13884,corrugatedMetalShapes:cubeQuarterRampInclineHalfFillerLeft,2
13885,corrugatedMetalShapes:cubeQuarterRampInclineHalfFillerRight,2
13900,corrugatedMetalShapes:pole,92
13902,corrugatedMetalShapes:poleSideCentered,14
13906,corrugatedMetalShapes:poleTwoWayCorner,6
13907,corrugatedMetalShapes:poleThreeWayCorner,6
13917,corrugatedMetalShapes:poleSquareBracketCorner,1
13925,corrugatedMetalShapes:poleSquareDouble,5
13929,corrugatedMetalShapes:cubePoleCorner,4
13946,corrugatedMetalShapes:polePlateHalf,12
13950,corrugatedMetalShapes:polePlateCornerBeveled,8
13967,corrugatedMetalShapes:plate,490
13979,corrugatedMetalShapes:plateCorner,24
13997,corrugatedMetalShapes:plateHalf,8
14002,corrugatedMetalShapes:plateHalfTriangle,25
14005,corrugatedMetalShapes:poleCornerCubePlate,8
14007,corrugatedMetalShapes:platePole,1
14008,corrugatedMetalShapes:platePoleSideCentered,3
14010,corrugatedMetalShapes:platePoleCornerFiller,12
14011,corrugatedMetalShapes:platePoleCorner,187
14013,corrugatedMetalShapes:poleTwoWayPlate,2
14017,corrugatedMetalShapes:poleThreeWayPlate,1
14031,corrugatedMetalShapes:billboard,8
14081,corrugatedMetalShapes:pillar0.025,1
14083,corrugatedMetalShapes:pillar0.025Centered,3
14122,corrugatedMetalShapes:poleUtilitySupport,1
14154,corrugatedMetalShapes:cube5mRound01,4
14155,corrugatedMetalShapes:cube5mRound02,4
14157,corrugatedMetalShapes:cube5mRound04,4
14162,corrugatedMetalShapes:cubeQuarter5mRound01,25
14163,corrugatedMetalShapes:cubeQuarter5mRound02,28
14165,corrugatedMetalShapes:cubeQuarter5mRound04,28
14166,corrugatedMetalShapes:cubeQuarter5mRound05,28
14170,corrugatedMetalShapes:cube5mRoundRoofTop02,4
14171,corrugatedMetalShapes:cube5mRoundRoofTop03,4
14172,corrugatedMetalShapes:cube5mRoundRoofBottom01,4
14173,corrugatedMetalShapes:cube5mRoundRoofBottom02,4
14174,corrugatedMetalShapes:cube5mRoundRoofBottom03,4
14175,corrugatedMetalShapes:cube5mRoundRoofBottom04,4
14176,corrugatedMetalShapes:cube5mRoundRoofBottom05,4
14202,corrugatedMetalShapes:cube5mRoundCatwalk01,2
14203,corrugatedMetalShapes:cube5mRoundCatwalk02,4
14204,corrugatedMetalShapes:cube5mRoundCatwalk03,4
14205,corrugatedMetalShapes:cube5mRoundCatwalk04,4
14206,corrugatedMetalShapes:cube5mRoundCatwalk05,4
14207,corrugatedMetalShapes:cube5mRoundCatwalkLadder,2
14290,corrugatedMetalShapes:ramp,4
14308,corrugatedMetalShapes:rampCornerFiller,4
14520,corrugatedMetalShapes:plateWedgeTip,22
14522,corrugatedMetalShapes:plateWedgeTipCap,6
14523,corrugatedMetalShapes:plateWallRoof,81
14524,corrugatedMetalShapes:plateWallRoofLeft,8
14525,corrugatedMetalShapes:plateWallRoofRight,9
14526,corrugatedMetalShapes:plateDiagonalFillerWallDouble,3
14603,corrugatedMetalShapes:plateDiagonal,228
14606,corrugatedMetalShapes:plateDiagonalFiller,180
14609,corrugatedMetalShapes:plateDiagonalFillerDouble,17
14611,corrugatedMetalShapes:plateDiagonalFillerWallLeft,19
14612,corrugatedMetalShapes:plateDiagonalFillerWallRight,17
14613,corrugatedMetalShapes:plateDiagonalWallLeft,25
14614,corrugatedMetalShapes:plateDiagonalWallRight,22
14619,corrugatedMetalShapes:plateRampCorner02,4
14895,corrugatedMetalShapes:catwalkV2RailOnly,9
14901,corrugatedMetalShapes:catwalkV2RailOnlyDiagonal,12
14902,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,1
14903,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,1
14907,corrugatedMetalShapes:catwalkV2RailOnlyCornerEndLeft,1
14909,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,8
14910,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,5
15314,corrugatedMetalShapes:doorTrim1m,73
15322,corrugatedMetalShapes:doorTrimTwoSided,4
15581,corrugatedMetalShapes:windowIndustrial02Full,8
15582,corrugatedMetalShapes:windowIndustrial02Broken01,13
15583,corrugatedMetalShapes:windowIndustrial02Broken02,8
15705,corrugatedMetalShapes:plateDestroyed,24
15706,corrugatedMetalShapes:plateDestroyed02,18
15707,corrugatedMetalShapes:plateDestroyed03,20
15712,corrugatedMetalShapes:plateDiagonalDestroyed02,1
15713,corrugatedMetalShapes:plateDiagonalDestroyed03,8
15714,corrugatedMetalShapes:plateDiagonalDestroyed04,9
15715,corrugatedMetalShapes:plateDiagonalDestroyed05,4
15716,corrugatedMetalShapes:plateDiagonalDestroyed06,2
15770,corrugatedMetalShapes:iBeam,114
15772,corrugatedMetalShapes:iBeamFoundation,3
15773,corrugatedMetalShapes:iBeamFoundation2,2
15775,corrugatedMetalShapes:iBeamCorner,2
15780,corrugatedMetalShapes:iBeamSupport,1
15782,corrugatedMetalShapes:iBeamHalfBroken,2
15787,corrugatedMetalShapes:plateBracketCentered,1
15792,corrugatedMetalShapes:airDuct,6
15806,corrugatedMetalShapes:securityGateCenteredDiagonal,2
15809,corrugatedMetalShapes:fakeDynamicGrate,2
15879,corrugatedMetalShapes:ladderRound,2
18629,cntShippingCrateWorkingStiffs,1
18831,cntTrashPile01,1
18843,garbage_decor1,4
18844,garbage_decor2,3
18928,cntDumpster,1
18941,cntTiltTruckRandomLootHelper,1
18984,cntDuffle01,1
18986,cntSportsBag01Red,2
19020,electricalBox02,1
19023,woodPillar375,14
19038,controlPanelBase03,1
19039,controlPanelBase04,1
19040,controlPanelBase05,1
19059,controlPanelBase08Red,1
19065,controlPanelTop05Red,1
19067,controlPanelTop07Red,6
19118,controlPanelBase03Grey,1
19186,cntCollapsedGeneratorbank,1
19384,lightCeilingBulbMountWhite,3
19406,recessedLightOffset,2
19427,industrialLight01,3
19431,lightIndustrialMountedWallRed,1
19432,lightIndustrialHangingWhite,1
19445,lanternDecorLightRandomHelper,1
19454,lanternOld_01,2
19545,workLightPOI,1
19547,streetLight01,1
19551,streetLightBroken,1
20188,cntBarrelGasSingle00,2
20189,cntBarrelGasSingle45,1
20197,cntBarrelOilSingle00,1
20243,decoCarTireSmallFlat02,3
20259,goreBlockHumanCorpse,1
20261,goreBlockHumanCorpse2,1
20263,goreBlockHumanCorpse3,1
20294,cntBirdnest,1
20295,cntBirdnestCorner,1
20302,hayBaleSquare,5
20313,horseshoe_02,1
20314,horseshoe_03,1
20391,palletTarpBaseGreen,3
20415,palletEmpty,1
20416,palletEmptyStack,1
20428,palletBagCowFeedBaseFull,3
20430,palletBagCowFeedBaseMed,4
20431,palletBagCowFeedCapMed,2
20432,palletBagCowFeedCapSml,3
20433,palletBagCowFeedSingleBent,3
20434,palletBagCowFeedSingleFlat,4
20684,oldWoodDoorDouble,1
20693,ironDoorGrey,1
21050,ironGarageDoorGreen,2
21196,rollUpDoor3x3Brown,1
21211,rollUpDoor5x4Green,1
22147,wineBarrelPlain,4
22387,cntToolBoxRandomLootHelperGreen,1
22480,decoMetalBollard,1
22481,decoMetalBollardDestroyed01,1
23124,metalCatwalk,61
23125,metalCatwalkTrap,1
23147,metalStairsBoardRailing,12
23151,metalCatwalkWedge,12
23154,factoryConveyorBelt,5
23156,factoryConveyorBridge,5
23158,factoryConveyorCorner,1
23161,factoryConveyorWedgeRamp,2
23167,decoHoistChain,16
23170,decoHoistSpreader,1
23171,decoHoistHook,1
23173,decoHoistTopMount,2
23208,portaPottyBackBlue,1
23218,portaPottyTopSidesBlue,1
23228,portaPottyDoorBlue,1
23338,corrugatedMetalAirDuctRamp,1
23519,tankPropaneRed,1
23527,utilityGasMeter02,1
23960,signDecalCorrugatedMetal7x2,1
23995,trapSpikesIronDmg0,1
24055,fakeCabinetDoorTrap1x2SheetMetal,1
24143,abandonedPickupTruck01RandomHelper,1
24391,cntFarmTruckOpen,1
24396,tractorGreen,1
24421,forkliftOrange,1
24525,plantShrubRandomHelper,4
24573,treeSmallRandomHelper,1
