id,name,count
2,terrainFiller,403
13,terrDestroyedStone,42
15,terrGravel,180
309,woodShapes:pole,139
315,woodShapes:poleTwoWayCorner,4
316,woodShapes:poleThreeWayCorner,11
320,woodShapes:poleSquareCornerBracketLeft,5
322,woodShapes:poleSquareCornerBracketRight,5
329,woodShapes:poleSquareDouble,2
364,woodShapes:plate,49
376,woodShapes:plateCorner,6
397,woodShapes:plateHalfTriangle,9
398,woodShapes:plateQuarterTriangle,2
400,woodShapes:poleCornerCubePlate,3
406,woodShapes:platePoleCorner,20
867,woodShapes:plateWallRoof,20
868,woodShapes:plateWallRoofLeft,2
869,woodShapes:plateWallRoofRight,3
934,woodShapes:rampInclineFiller,30
945,woodShapes:plateDiagonal,36
948,woodShapes:plateDiagonalFiller,41
953,woodShapes:plateDiagonalFillerWallLeft,4
954,woodShapes:plateDiagonalFillerWallRight,6
955,woodShapes:plateDiagonalWallLeft,2
956,woodShapes:plateDiagonalWallRight,4
968,woodShapes:plateWedge60FillerWallLeft,2
969,woodShapes:plateWedge60FillerWallRight,2
970,woodShapes:plateWedge60Tip,6
977,woodShapes:plateWedge60Incline,58
980,woodShapes:plateWedge60Filler,4
983,woodShapes:plateWedge60InclineWallLeft,6
984,woodShapes:plateWedge60InclineWallRight,6
985,woodShapes:plateWedge60TipWallLeft,2
986,woodShapes:plateWedge60TipWallRight,2
1553,woodShapes:doorTrim1m,16
1761,woodShapes:windowBoarded,9
1828,woodShapes:plateDestroyed,22
1829,woodShapes:plateDestroyed02,11
1830,woodShapes:plateDestroyed03,17
1831,woodShapes:plateDiagonalDestroyed,2
1832,woodShapes:plateDiagonalDestroyed02,1
1833,woodShapes:plateDiagonalDestroyed03,4
1834,woodShapes:plateDiagonalDestroyed04,3
1835,woodShapes:plateDiagonalDestroyed05,2
1836,woodShapes:plateDiagonalDestroyed06,1
1837,woodShapes:plateWedge60InclineDestroyed,2
1993,woodShapes:fence,54
1996,woodShapes:fenceBroken1,5
1997,woodShapes:fenceBroken2,8
11842,corrugatedMetalShapes:plate,8
13306,corrugatedMetalShapes:plateDestroyed,4
13307,corrugatedMetalShapes:plateDestroyed02,2
13308,corrugatedMetalShapes:plateDestroyed03,5
15807,cntWeaponsBagSmall,1
15839,cntShippingCrateConstructionSupplies,1
16051,cntTrashPile07,2
16054,garbage_decor1,3
16166,cntDuffle01,1
16702,candleTableLight,1
17100,cntBirdnestCorner,3
17104,modularFireWoodStackA,1
17105,modularFireWoodStackB,4
17107,hayBaleSquare,1
17112,decoWildWestWagon,1
17113,decoWildWestWagonWheelBack,1
17161,emberPileDeco3,1
17162,emberPileDeco4,2
17176,palletBricksBase,1
17212,palletEmpty,3
17215,plywoodStack,1
17225,palletBagCowFeedBaseFull,3
17226,palletBagCowFeedTile,1
17228,palletBagCowFeedCapMed,1
17229,palletBagCowFeedCapSml,2
17230,palletBagCowFeedSingleBent,1
17231,palletBagCowFeedSingleFlat,3
17477,oldWoodDoor,2
17847,ironGarageDoorBrown,1
17890,woodenGarageDoor4x3Brown,1
18762,wineBarrelPlain,5
19774,rubblePileWoodBurntLarge,2
20845,cntWorkbenchBustedRandomLootHelper,1
20856,sleeperSit,2
20857,sleeperBack,2
20870,sleeperSnakeAnimal,1
