id,name,count
2,terrainFiller,9318
5,terrDirt,6
11,terrSandStone,12
14,terrDestroyedStone,11
16,terrGravel,67
17,terrAsphalt,457
259,woodShapes:cube,477
274,woodShapes:cubeHalf,4
316,woodShapes:pole,18
345,woodShapes:cubePoleCorner,4
364,woodShapes:polePlateHalfOffCentered,26
367,woodShapes:polePlate,6
383,woodShapes:plate,35
398,woodShapes:plateCornerHalf,24
400,woodShapes:plateHalfThreeSidedHalf,16
413,woodShapes:plateHalf,73
415,woodShapes:plateHalfOffCentered,8
1022,woodShapes:plateRamp,48
1024,woodShapes:plateRampHalfLeft,1
1025,woodShapes:plateRampHalfRight,1
1103,woodShapes:slopePlate01,2
1381,woodShapes:counterRound1m,2
1678,woodShapes:crownStraight,52
1682,woodShapes:crownInsideCorner,8
1694,woodShapes:doorTrim0.5m,10
1696,woodShapes:doorTrim1m,24
1785,woodShapes:windowStoreOneSidedFull,12
1786,woodShapes:windowStoreTwoSidedFull,19
1787,woodShapes:windowStoreThreeSidedFull,30
1788,woodShapes:windowStoreFourSidedFull,6
1789,woodShapes:windowStoreCornerFull,2
1790,woodShapes:windowStorePaneFull,2
1800,woodShapes:windowStoreOneSidedBroken,14
1801,woodShapes:windowStoreTwoSidedBroken,4
1802,woodShapes:windowStoreThreeSidedBroken,13
1803,woodShapes:windowStoreFourSidedBroken,7
1804,woodShapes:windowStoreCornerBroken,3
1814,woodShapes:windowStoreOneSidedEmpty,24
1816,woodShapes:windowStoreThreeSidedEmpty,2
1957,woodShapes:windowIndustrial01Full,6
1958,woodShapes:windowIndustrial01Broken01,4
2019,woodShapes:windowBoarded,2
2025,woodShapes:windowPanel,113
2145,woodShapes:cubeHollowFloor,22
2191,woodShapes:tableDynamic,4
2193,woodShapes:prepTable,1
2209,woodShapes:counterHollowFront,1
2212,woodShapes:plateCounter02,14
2213,woodShapes:plateCounter03,5
2222,woodShapes:cubeBookcase,4
2234,woodShapes:bookcaseQuarterDoubleEmpty,1
2253,woodShapes:pictureFrame,3
2255,woodShapes:mirror,12
2274,woodShapes:fence,15
2479,brickShapes:cube,1793
2482,brickShapes:cubeThreeQuarter,4
2488,brickShapes:cubeHalfCorner,25
2494,brickShapes:cubeHalf,343
2495,brickShapes:cubeHalfCentered,3
2496,brickShapes:cubeHalfPoleSquare,2
2501,brickShapes:cube0.25m,75
2517,brickShapes:cubeQuarter,90
2522,brickShapes:quarterInsideCorner,2
2524,brickShapes:cubeTee,4
2531,brickShapes:cubeEighth,6
2533,brickShapes:cubeHalfPoleCorner,1
2536,brickShapes:pole,58
2542,brickShapes:poleTwoWayCorner,2
2580,brickShapes:catwalkPlate,6
2581,brickShapes:polePlateQuarter,4
2582,brickShapes:polePlateHalf,122
2587,brickShapes:polePlate,96
2589,brickShapes:polePlateOffCentered,28
2590,brickShapes:polePlateCorner,4
2599,brickShapes:cubeHalfPlateCorner,7
2603,brickShapes:plate,209
2642,brickShapes:poleCornerCubePlate2,1
2643,brickShapes:platePole,4
2648,brickShapes:platePoleCorner2,50
2666,brickShapes:billboardHalf,6
2672,brickShapes:plateDouble3,5
2906,brickShapes:cornerRound,30
2907,brickShapes:cubeHalfCornerRound1m,4
3249,brickShapes:plateWedge60Left,3
3250,brickShapes:plateWedge60Right,3
3251,brickShapes:plateWedge60LeftTip,3
3252,brickShapes:plateWedge60RightTip,3
3404,brickShapes:stairsFilledQuarterVerticalUV,16
3515,brickShapes:plateMetalRailingLeft02,1
3516,brickShapes:plateMetalRailingRight02,1
3551,brickShapes:cubeBaseboard,8
3559,brickShapes:halfCornerBaseboard4Sided,8
3567,brickShapes:halfBaseboard4Sided,147
3570,brickShapes:cubeQuarterBaseboard4Sided,1
3572,brickShapes:cubeBaseboardChairRail,1
3609,brickShapes:cubeTrimHalfSplit,171
3772,brickShapes:cubeTrimHalfSplitDiagonal,9
3916,brickShapes:doorTrim1m,19
3920,brickShapes:doorTrim1mDouble,61
3925,brickShapes:doorTrimThreeSided,12
3926,brickShapes:doorTrimSquare,16
4034,brickShapes:windowStoreOneSidedEmpty,12
4037,brickShapes:windowStoreFourSidedEmpty,1
4038,brickShapes:windowStoreCornerEmpty,8
4250,brickShapes:brickDestroyed01,12
4251,brickShapes:brickDestroyed02,17
4252,brickShapes:brickDestroyed03,7
4253,brickShapes:brickDestroyed04,13
4254,brickShapes:brickDestroyed05,4
4255,brickShapes:brickHalfCenteredDestroyed01,1
4256,brickShapes:brickHalfCenteredDestroyed02,2
4257,brickShapes:brickHalfCenteredDestroyed03,1
4259,brickShapes:brickHalfDestroyed01,3
4260,brickShapes:brickHalfDestroyed02,1
4261,brickShapes:brickHalfDestroyed03,1
4262,brickShapes:brickHalfDestroyed04,2
4263,brickShapes:brickHalfDestroyed05,1
4264,brickShapes:brickHalfDestroyed06,1
4265,brickShapes:brickHalfDestroyed07,3
4266,brickShapes:brickHalfDestroyed08,3
4268,brickShapes:cubeTrimDestroyed01,3
4269,brickShapes:cubeTrimDestroyed02,1
4270,brickShapes:cubeTrimDestroyed03,12
4271,brickShapes:cubeTrimDestroyed04,2
4275,brickShapes:cubeTrimDestroyed08,1
4304,brickShapes:cubeQuarterBroken,2
4431,brickShapes:plateCounter,2
4435,brickShapes:plateCounterHole,4
4446,brickShapes:cubeHalfBookshelfDouble,20
4447,brickShapes:cubeHalfBookshelfTriple,8
4448,brickShapes:bookcaseEmpty,9
4454,brickShapes:bookcaseQuarterDoubleEmpty,3
4522,brickShapes:plateSidewalkBroke01,2
4654,brickShapes:signLetter_a,2
4655,brickShapes:signLetter_b,1
4656,brickShapes:signLetter_c,1
4657,brickShapes:signLetter_d,5
4658,brickShapes:signLetter_e,4
4662,brickShapes:signLetter_i,2
4667,brickShapes:signLetter_n,3
4668,brickShapes:signLetter_o,1
4671,brickShapes:signLetter_r,1
4672,brickShapes:signLetter_s,1
4673,brickShapes:signLetter_t,2
4683,brickShapes:signLetter_apostrophe,1
6919,concreteShapes:cube,2297
6922,concreteShapes:cubeThreeQuarter,1
6934,concreteShapes:cubeHalf,55
6941,concreteShapes:cube0.25m,1
6957,concreteShapes:cubeQuarter,15
6971,concreteShapes:cubeEighth,27
6976,concreteShapes:pole,224
6982,concreteShapes:poleTwoWayCorner,18
7005,concreteShapes:cubePoleCorner,20
7027,concreteShapes:polePlate,10
7040,concreteShapes:cubeHalfPlateCorner2,2
7043,concreteShapes:plate,4
7088,concreteShapes:platePoleCorner2,9
7112,concreteShapes:plateDouble3,5
7119,concreteShapes:halfPillar1m,18
7657,concreteShapes:rampInclineFiller,26
7682,concreteShapes:plateRamp,53
7845,concreteShapes:stairsFilledVerticalUV,3
7850,concreteShapes:stairsWinder,2
7851,concreteShapes:stairsWinderTip,2
7860,concreteShapes:stairsFilledRailingMetalLeft,2
7861,concreteShapes:stairsFilledRailingMetalRight,1
7864,concreteShapes:stairsHollow,12
7869,concreteShapes:stairsHollowRailingMetalLeft2,8
7870,concreteShapes:stairsHollowRailingMetalRight2,4
7880,concreteShapes:wedgeTipStairs,21
7889,concreteShapes:wedgeStairs,21
7991,concreteShapes:cubeBaseboard,21
7993,concreteShapes:cubeBaseboardCorner03,8
8119,concreteShapes:cubeTrimQuarterEdge,187
8150,concreteShapes:cubeTrimQuarterCornerOutside,8
8154,concreteShapes:cubeTrimQuarterCornerInside,21
8249,concreteShapes:cubeTrimCornerRound,4
8352,concreteShapes:doorTrimCorner,10
8356,concreteShapes:doorTrim1m,102
8363,concreteShapes:doorTrimTop,16
8731,concreteShapes:concreteDestroyed05,4
8735,concreteShapes:concreteDestroyed09,2
8805,concreteShapes:cubeHollowFloor,19
8969,concreteShapes:roadPaintDashCNTR,75
9033,concreteShapes:cubeDrainStraightEnd,6
9034,concreteShapes:cubeDrainStraightHalf,10
11565,awningShapes:sphere,1
13492,awningShapes:bowlingBall,2
13579,corrugatedMetalShapes:cube,26
13594,corrugatedMetalShapes:cubeHalf,4
13601,corrugatedMetalShapes:cube0.25m,6
13634,corrugatedMetalShapes:cubeHalfPoleSideCentered,2
13636,corrugatedMetalShapes:pole,30
13642,corrugatedMetalShapes:poleTwoWayCorner,12
13665,corrugatedMetalShapes:cubePoleCorner,2
13703,corrugatedMetalShapes:plate,31
13732,corrugatedMetalShapes:plateThreeQuarter,1
13733,corrugatedMetalShapes:plateHalf,6
13748,corrugatedMetalShapes:platePoleCorner2,12
13777,corrugatedMetalShapes:pillar100Open,4
13779,corrugatedMetalShapes:halfPillar1m,2
13782,corrugatedMetalShapes:quarterPillar1m,2
13787,corrugatedMetalShapes:pillar50,1
13810,corrugatedMetalShapes:halfBlockPillar50,1
13816,corrugatedMetalShapes:pillar0.025,8
13820,corrugatedMetalShapes:pillar0.025Middle,10
13829,corrugatedMetalShapes:pillar0.05Middle,11
13834,corrugatedMetalShapes:pillar0.25Triple,11
13846,corrugatedMetalShapes:pipeStraight,4
13849,corrugatedMetalShapes:pipeFlange,6
13850,corrugatedMetalShapes:pipeCorner,1
14006,corrugatedMetalShapes:cornerRound,2
14019,corrugatedMetalShapes:plateQuarterRoundOutside,4
14514,corrugatedMetalShapes:stairs,4
14534,corrugatedMetalShapes:stairsSpiralMetalRight,5
14535,corrugatedMetalShapes:stairsSpiralPillar,2
14538,corrugatedMetalShapes:stairsSpiralPillarRailingCornerLeft,1
14602,corrugatedMetalShapes:wedgeNarrowHighLeftTrim2SidedRailEnd,1
14603,corrugatedMetalShapes:wedgeNarrowMidLeftTrim2SidedRail,1
14604,corrugatedMetalShapes:wedgeNarrowLowLeftTrim2SidedRail,1
14606,corrugatedMetalShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,1
14608,corrugatedMetalShapes:wedgeNarrowHighRightTrim2SidedRailEnd,1
14609,corrugatedMetalShapes:wedgeNarrowMidRightTrim2SidedRail,1
14610,corrugatedMetalShapes:wedgeNarrowLowRightTrim2SidedRail,1
14612,corrugatedMetalShapes:wedgeNarrowTipRightTrim2SidedRailEnd,1
14617,corrugatedMetalShapes:catwalkV2RailOnly,3
14619,corrugatedMetalShapes:catwalkV2RailOnlyLeftCap,2
14620,corrugatedMetalShapes:catwalkV2RailOnlyRightCap,1
14628,corrugatedMetalShapes:catwalkV2RailOnlyDoubleEndCorner,2
14634,corrugatedMetalShapes:catwalkV2RailOnlyDblDblEnd,1
14635,corrugatedMetalShapes:ladderRails,14
14642,corrugatedMetalShapes:bars,35
14644,corrugatedMetalShapes:barsCentered,44
14651,corrugatedMetalShapes:cubeBaseboard,16
14653,corrugatedMetalShapes:cubeBaseboardCorner03,16
14664,corrugatedMetalShapes:cubeHalfBaseboard2SidedLeft,10
14665,corrugatedMetalShapes:cubeHalfBaseboard2SidedRight,10
14709,corrugatedMetalShapes:cubeTrimHalfSplit,2
14808,corrugatedMetalShapes:cubeHalfTrimQuarterSquare,1
15012,corrugatedMetalShapes:doorTrimCorner,2
15016,corrugatedMetalShapes:doorTrim1m,13
15020,corrugatedMetalShapes:doorTrim1mDouble,2
15027,corrugatedMetalShapes:doorTrimHalfDouble,1
15106,corrugatedMetalShapes:windowStoreTwoSidedFull,27
15107,corrugatedMetalShapes:windowStoreThreeSidedFull,34
15108,corrugatedMetalShapes:windowStoreFourSidedFull,12
15121,corrugatedMetalShapes:windowStoreTwoSidedBroken,6
15122,corrugatedMetalShapes:windowStoreThreeSidedBroken,10
15123,corrugatedMetalShapes:windowStoreFourSidedBroken,5
15134,corrugatedMetalShapes:windowStoreOneSidedEmpty,6
15135,corrugatedMetalShapes:windowStoreTwoSidedEmpty,2
