id,name,count
2,terrainFiller,124
16,terrGravel,116
17,terrAsphalt,934
6811,concreteShapes:cube,441
8041,concreteShapes:cubeTrimQuarterCornerOutside,4
8120,concreteShapes:cubeTrimQuarterEdgeTwoSided,128
8132,concreteShapes:cubeTrimQuarterEdgeDouble,9
8141,concreteShapes:cubeTrimQuarterEdgeRound,2
8571,concreteShapes:cubeTrimDestroyed07,2
8573,concreteShapes:cubeTrimDestroyed09,4
9203,steelShapes:pillar50,32
13363,corrugatedMetalShapes:cube,1203
13372,corrugatedMetalShapes:cubeHalfCorner,76
13373,corrugatedMetalShapes:cubeHalfCorner2,4
13378,corrugatedMetalShapes:cubeHalf,266
13401,corrugatedMetalShapes:cubeQuarter,90
13415,corrugatedMetalShapes:cubeEighth,4
13549,corrugatedMetalShapes:billboardQuarterTrim,13
13559,corrugatedMetalShapes:pillar100,4
13807,corrugatedMetalShapes:ramp,90
13823,corrugatedMetalShapes:rampOutsideCornerFull,8
14491,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,84
14562,corrugatedMetalShapes:cubeTrimQuarterEdge,18
14600,corrugatedMetalShapes:cubeTrimQuarterCornerInside2,4
15117,corrugatedMetalShapes:cubeTrimDestroyed01,8
15140,corrugatedMetalShapes:concreteDestroyed05,4
15143,corrugatedMetalShapes:concreteDestroyed08,2
15196,corrugatedMetalShapes:shantywall02,1
15326,corrugatedMetalShapes:ladderRound,6
15396,corrugatedMetalShapes:roadPaintArrowStraight,4
15398,corrugatedMetalShapes:roadPaintArrowRight,2
15492,corrugatedMetalShapes:signNumber_0,1
15493,corrugatedMetalShapes:signNumber_1,2
15494,corrugatedMetalShapes:signNumber_2,1
15495,corrugatedMetalShapes:signNumber_3,1
15496,corrugatedMetalShapes:signNumber_4,1
15497,corrugatedMetalShapes:signNumber_5,1
15498,corrugatedMetalShapes:signNumber_6,1
15499,corrugatedMetalShapes:signNumber_7,1
15500,corrugatedMetalShapes:signNumber_8,1
15501,corrugatedMetalShapes:signNumber_9,1
15502,corrugatedMetalShapes:signLetter_a,2
15506,corrugatedMetalShapes:signLetter_e,2
15507,corrugatedMetalShapes:signLetter_f,1
15508,corrugatedMetalShapes:signLetter_g,1
15513,corrugatedMetalShapes:signLetter_l,1
15516,corrugatedMetalShapes:signLetter_o,1
15519,corrugatedMetalShapes:signLetter_r,1
15520,corrugatedMetalShapes:signLetter_s,2
15521,corrugatedMetalShapes:signLetter_t,1
17925,cntWeaponsBagSmall,1
17932,cntAmmoPileSmall,1
18094,wallMountSinkCommercial,1
18110,cntToilet03,1
18129,wallMirrorRandomHelper,1
18169,cntTrashPile04,1
18260,cntUtilityCartEmptyGrey,1
18306,cntSportsBag02Orange,1
18325,cntLuggagePileBRandomLootHelper,2
18339,airConditioner,1
18447,commercialDistributionBox,2
18452,commercialQuadMeter,1
18458,conduitSingleCentered,1
18469,keyRackWood01,2
18506,motionsensorPOI,4
18507,motionsensorLeftPOI,2
18508,motionsensorRightPOI,2
18538,cntStoveOldVer2Open,2
18584,cntWasherRandomLootHelper,1
18588,cntDryerRandomLootHelper,1
18594,cntMicrowaveOvenVer1Open,1
18624,decoComputerMonitorKeyboardMouse2,1
18670,lightCeilingBulbMountWhite,1
18822,streetLight01,4
19266,chainlinkFenceBottomPlain,52
19267,chainlinkFenceBottomPlainPoleLeft,56
19268,chainlinkFenceBottomPlainPoleRight,4
19270,chainlinkFenceTopPlainRail,52
19271,chainlinkFenceTopPlainPoleLeft,56
19272,chainlinkFenceTopPlainPoleRight,4
19299,guardRailStraight,6
19300,guardRailPole,3
19303,guardRailBend,2
19453,decoCarFrontBumperFlat,2
19458,decoCarBackDoorFlipped,1
19471,decoCarPartsRamp,1
19475,decoCarTireStack,3
19494,goreBlockHumanCorpse1,1
19570,cobweb,1
19584,palletBrownBoxesBase,1
19585,palletBrownBoxesTile,1
19586,palletBrownBoxesTop,3
19588,palletBrownBoxesLoose,4
19619,palletTarpBaseWhite,2
19620,palletTarpBaseBrown,6
19625,palletTarpBaseBlue,2
19628,palletTarpBaseBlack,2
19643,palletTarpTileArmyGreen,1
19645,palletCompressedCardboard,1
19702,palletBagBlankSingleBentWhite,1
20154,commercialDoorV2Blue,10
20406,rollUpDoor3x3Blue,10
20440,ironHatchBlue,1
20934,cntNightstandOpen,1
21048,cntDeskWoodEmpty,1
21057,cntDeskMetalFullBlue,1
21064,cntDeskMetalEmptyBrown,1
21100,diningTable01,1
21101,rustyIronTable,1
21214,sectionalPlaidCouchSofaMiddle,2
21216,sectionalPlaidCouchSofaArm,2
21364,decoClassicDogHouse,1
21372,decoTreadmill,1
21396,mattressCurled,1
22055,cntLiquorPileSmall,1
22113,cntFileCabinetTallGreyRandomLootHelper,1
22123,cntFileCabinetTallClosedBrown,1
22126,cntFileCabinetTallClosedGrey,1
22387,concreteHalfDestroyed05Left,4
22388,concreteHalfDestroyed05Right,4
22389,concreteHalfDestroyed06,4
22390,concreteHalfDestroyed07Left,2
22391,concreteHalfDestroyed07Right,2
22392,concreteHalfDestroyed08,8
22399,concreteHalfDestroyedFiller01,2
22439,radiatorHouse01,1
22446,pipeSmall1x1,1
22452,pipeSmallValve02,1
22453,pipeSmallCorner,2
22454,pipeSmallWall1x1,1
22686,signGunsThinSmile,4
22846,signStaffOnly,1
22878,trapSpikesWoodDmg1,2
22915,looseCorrugatedMetalTrapCube,9
23295,cntCar03SedanDamage0RandomHelper,1
23298,cntSedan01AirRandomHelper,1
23561,sleeperSnakeAnimal,1
23582,flagWallHungUSA,1
