id,name,count
2,terrainFiller,7378
14,terrDestroyedStone,788
15,terrDestroyedWoodDebris,242
17,terrAsphalt,314
18,terrConcrete,116
375,woodShapes:plate,16
410,woodShapes:plateHalfTriangle,15
411,woodShapes:plateQuarterTriangle,6
510,woodShapes:poleSupport2,3
988,woodShapes:plateDiagonal,6
991,woodShapes:plateDiagonalFiller,4
1000,woodShapes:plateRamp,4
1628,woodShapes:doorTrim1m,4
1634,woodShapes:doorTrim2m,8
1635,woodShapes:doorTrimTop,4
2041,woodShapes:tableDynamic,4
2104,woodShapes:pictureFrame,2
2317,brickShapes:cube,1090
2332,brickShapes:cubeHalf,122
2709,brickShapes:arch,12
3387,brickShapes:cubeTrimHalfSplit,1
3492,brickShapes:cubeTrimQuarterCornerInside,10
3550,brickShapes:cubeTrimHalfSplitDiagonal,46
3555,brickShapes:cubeTrimDiagonalDoubleSided,5
3567,brickShapes:cubeTrimQuarterEdgeTwoSided,23
3690,brickShapes:doorTrim1mDouble,3
3884,brickShapes:archWindowCentered,12
3910,brickShapes:windowTopRound,1
3940,brickShapes:brickDestroyed01,16
3941,brickShapes:brickDestroyed02,21
3942,brickShapes:brickDestroyed03,20
3943,brickShapes:brickDestroyed04,15
3944,brickShapes:brickDestroyed05,7
3958,brickShapes:cubeTrimDestroyed01,1
3960,brickShapes:cubeTrimDestroyed03,2
3971,brickShapes:cubeTrimStairsHollow2,2
6433,concreteShapes:cube,1675
6436,concreteShapes:cubeThreeQuarter,9
6448,concreteShapes:cubeHalf,613
6456,concreteShapes:cubeCornerArch,2
6457,concreteShapes:cubeHalfCornerArch,2
6458,concreteShapes:cubeHalfCornerBeveled,1
6461,concreteShapes:halfQuarterPost,5
6465,concreteShapes:cubeQuarter,75
6480,concreteShapes:cubeEighthCentered,4
6484,concreteShapes:pole,352
6486,concreteShapes:poleSideCentered,44
6540,concreteShapes:poleSquareCornerRound,22
6549,concreteShapes:plate,71
6579,concreteShapes:plateHalf,44
6613,concreteShapes:billboard,12
6655,concreteShapes:halfBlockPillar50,1
6825,concreteShapes:arch,2
6902,concreteShapes:wedge60,3
6903,concreteShapes:wedge60Tip,15
6915,concreteShapes:wedge60Incline,5
6971,concreteShapes:wedge60SplitLeft01,1
6972,concreteShapes:wedge60SplitRight01,1
6975,concreteShapes:wedge60SplitLeft03,1
