id,name,count
2,terrainFiller,4135
16,terrGravel,337
17,terrAsphalt,926
259,woodShapes:cube,9
316,woodShapes:pole,30
318,woodShapes:poleSideCentered,36
327,woodShapes:poleSquareSideCenteredTeeFourWay,8
336,woodShapes:poleSquareBracketLeft,2
337,woodShapes:poleSquareBracketRight,2
345,woodShapes:cubePoleCorner,18
705,woodShapes:ramp,2
721,woodShapes:rampOutsideCornerFull,2
742,woodShapes:wedge60Tip,32
754,woodShapes:wedge60Incline,16
779,woodShapes:wedge60SlopeTip,24
781,woodShapes:wedge60SlopeBaseIncline,8
782,woodShapes:wedge60SlopeMiddleIncline,16
783,woodShapes:wedge60SlopeTipIncline,16
784,woodShapes:wedge60SlopeTip2Incline,16
956,woodShapes:gable3Quarter,4
964,woodShapes:gablePlate,24
1053,woodShapes:plateWedge60Tip,48
1729,woodShapes:doorTrim1m,17
1732,woodShapes:doorTrimDiagonal,14
2156,woodShapes:woodDebris01,4
2157,woodShapes:woodDebris02,3
2158,woodShapes:woodDebris03,1
2289,woodShapes:mirror,6
2294,woodShapes:ladderSquare,1
2295,woodShapes:ladderSquareBroken01,1
2296,woodShapes:ladderSquareBroken02,1
2308,woodShapes:fence,63
2311,woodShapes:fenceBroken1,4
2312,woodShapes:fenceBroken2,4
2519,brickShapes:cube,388
2534,brickShapes:cubeHalf,14
2557,brickShapes:cubeQuarter,8
2559,brickShapes:quarterCenteredWall,8
2893,brickShapes:cubeQuarter7mRound01,18
2894,brickShapes:cubeQuarter7mRound02,18
2895,brickShapes:cubeQuarter7mRound03,10
2896,brickShapes:cubeQuarter7mRound04,18
2897,brickShapes:cubeQuarter7mRound05,18
2898,brickShapes:cubeQuarter7mRoundFiller,18
2965,brickShapes:ramp,27
2990,brickShapes:rampSplitRight01,3
3610,brickShapes:cubeBaseboard4Sided,99
3624,brickShapes:halfBaseboard4Sided,28
3649,brickShapes:rampBaseboard,6
3669,brickShapes:cubeTrimHalfSplit4Sided,64
3670,brickShapes:cubeTrimHalfSplit,33
3672,brickShapes:rampTrimHalfSplit,6
3675,brickShapes:halfTrimSplit2,4
4323,brickShapes:brickDestroyed01,5
4324,brickShapes:brickDestroyed02,3
4326,brickShapes:brickDestroyed04,2
4334,brickShapes:brickHalfDestroyed03,3
4336,brickShapes:brickHalfDestroyed05,3
4343,brickShapes:cubeTrimDestroyed03,7
7039,concreteShapes:cube,1287
7096,concreteShapes:pole,4
7147,concreteShapes:polePlate,4
7196,concreteShapes:plateQuarter,8
7344,concreteShapes:cube5mArch01,16
7345,concreteShapes:cube5mArch02,16
7346,concreteShapes:cube5mArch03,16
7347,concreteShapes:cube5mArch04,16
7404,concreteShapes:cube7mRound02,36
7405,concreteShapes:cube7mRound03,10
7407,concreteShapes:cube7mRound05,36
8260,concreteShapes:cubeTrimQuarterEdge,197
8295,concreteShapes:cubeTrimQuarterCornerInside,4
8323,concreteShapes:cubeTrimQuarterCornerDiagonal,4
8344,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Left,56
8350,concreteShapes:cubeTrimQuarterEdgeCornerDiagonalFiller2,4
8353,concreteShapes:cubeTrimHalfSplitDiagonal,7
8390,concreteShapes:cubeTrimCornerRound,8
8861,concreteShapes:cubeTrimDestroyed01,4
9112,concreteShapes:farmPlot,8
9115,concreteShapes:plateSidewalkCrooked,1
9116,concreteShapes:plateSidewalkBroke01,2
9117,concreteShapes:plateSidewalkBroke02,1
9118,concreteShapes:plateSidewalkBroke03,1
9119,concreteShapes:plateSidewalkBroke04,9
9122,concreteShapes:roadPaintDash,69
9123,concreteShapes:roadPaintDashCNTR,72
9192,concreteShapes:cubeDrainCentered,1
13876,corrugatedMetalShapes:pole,27
13893,corrugatedMetalShapes:poleSquareBracketCorner,1
13896,corrugatedMetalShapes:poleSquareBracketLeft,1
13897,corrugatedMetalShapes:poleSquareBracketRight,1
13973,corrugatedMetalShapes:plateHalf,38
