id,name,count
2,terrainFiller,2950
5,terrDirt,29
17,terrAsphalt,492
259,woodShapes:cube,124
261,woodShapes:cubeHalfInsideCorner,4
274,woodShapes:cubeHalf,2
316,woodShapes:pole,68
318,woodShapes:poleSideCentered,9
383,woodShapes:plate,51
386,woodShapes:plateCladding01,9
413,woodShapes:plateHalf,10
447,woodShapes:billboard,16
822,woodShapes:wedge60SplitLeft03,1
823,woodShapes:wedge60SplitRight03,1
846,woodShapes:cubeHalfWedge60BevelLeft,1
847,woodShapes:cubeHalfWedge60BevelRight,1
852,woodShapes:wedge60TipHalfLeft,2
853,woodShapes:wedge60TipHalfRight,2
865,woodShapes:wedgeNarrowMid,50
866,woodShapes:wedgeNarrowLow,51
867,woodShapes:wedgeNarrowTip,80
870,woodShapes:wedgeNarrowMidCorner,2
871,woodShapes:wedgeNarrowLowCorner,3
872,woodShapes:wedgeNarrowTipCorner,4
1105,woodShapes:slopePlate01,1
1186,woodShapes:stairsFilledQuarterVerticalUV,66
1332,woodShapes:cubeHalfLocalNorthFaceOutside,10
1572,woodShapes:cubeTrimSplitWedge60Left,2
1573,woodShapes:cubeTrimSplitWedge60Right,2
1705,woodShapes:doorTrimCorner,6
1709,woodShapes:doorTrim1m,56
1725,woodShapes:windowTrim,6
1737,woodShapes:archDoorTrim,2
1799,woodShapes:windowStoreTwoSidedFull,3
2032,woodShapes:windowBoarded,4
2038,woodShapes:windowPanel,6
2100,woodShapes:plateDestroyed,2
2234,woodShapes:cubeHollow,1
2241,woodShapes:bookcaseEmpty,3
2244,woodShapes:bookcaseHalfEmpty,2
2279,woodShapes:trellisDiamond,20
2288,woodShapes:fence,34
2499,brickShapes:cube,914
2502,brickShapes:cubeThreeQuarter,6
2508,brickShapes:cubeHalfCorner,4
2514,brickShapes:cubeHalf,280
2522,brickShapes:cubeCornerBeveled,4
2537,brickShapes:cubeQuarter,10
2556,brickShapes:pole,8
2600,brickShapes:catwalkPlate,5
2607,brickShapes:polePlate,32
2619,brickShapes:cubeHalfPlateCorner,2
2623,brickShapes:plate,16
2927,brickShapes:cornerRound,8
2945,brickShapes:ramp,15
3238,brickShapes:rampIncline,5
3239,brickShapes:rampInclineFiller,5
3426,brickShapes:stairsFilledQuarterVerticalUV,12
3471,brickShapes:wedgeStairs,2
3571,brickShapes:cubeLocalNorthFace,10
3576,brickShapes:cubeBaseboard,24
3592,brickShapes:halfBaseboardOffset,2
3641,brickShapes:cubeTrimHalfSplit4Sided,3
3642,brickShapes:cubeTrimHalfSplit,48
3656,brickShapes:cubeHalfCornerTrimHalfEdge,6
3712,brickShapes:cubeTrimQuarterEdge,96
3713,brickShapes:cubeHalfTrimQuarterEdgeBottom,14
3714,brickShapes:halfTrimQuarterEdge,7
3748,brickShapes:cubeHalfTrimQuarterCornerInside,2
3757,brickShapes:cubeTrimQuarterEdge2Sided,1
3805,brickShapes:cubeTrimHalfSplitDiagonal,1
3812,brickShapes:cubeTrimSplitWedge60Left,3
3813,brickShapes:cubeTrimSplitWedge60Right,1
3822,brickShapes:cubeTrimQuarterEdgeTwoSided,1
3823,brickShapes:cubeHalfTrimQuarterEdgeTwoSided,9
3828,brickShapes:cubeTrimQuarterCornerOutsideTwoSided,1
3945,brickShapes:doorTrimCorner,20
3949,brickShapes:doorTrim1m,86
3956,brickShapes:doorTrimTop,4
4283,brickShapes:brickDestroyed01,4
4284,brickShapes:brickDestroyed02,2
4286,brickShapes:brickDestroyed04,2
4474,brickShapes:cubeHollow,2
6979,concreteShapes:cube,1217
6994,concreteShapes:cubeHalf,291
7082,concreteShapes:polePlateHalf,3
7099,concreteShapes:cubeHalfPlateCorner,37
7115,concreteShapes:plateCorner,2
7133,concreteShapes:plateHalf,46
7425,concreteShapes:ramp,1
7716,concreteShapes:halfRampStairs50,2
7751,concreteShapes:plateWedge60Left,1
7890,concreteShapes:cubeHalfPillar0.025,4
7906,concreteShapes:stairsFilledQuarterVerticalUV,1
7907,concreteShapes:stairsFilledVerticalUV,1
7942,concreteShapes:wedgeTipStairs,12
7951,concreteShapes:wedgeStairs,12
8007,concreteShapes:wedgeNarrowHighLeftTrim2SidedRailEnd,1
8008,concreteShapes:wedgeNarrowMidLeftTrim2SidedRail,1
8009,concreteShapes:wedgeNarrowLowLeftTrim2SidedRail,1
8011,concreteShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,1
8015,concreteShapes:wedgeNarrowLowRightTrim2SidedRail,1
8017,concreteShapes:wedgeNarrowTipRightTrim2SidedRailEnd,1
8056,concreteShapes:cubeBaseboard,3
8062,concreteShapes:cubeBaseboard4Sided,1
8122,concreteShapes:cubeTrimHalfSplit,36
8126,concreteShapes:halfTrimSplitOffset,20
8137,concreteShapes:cubeTrimCornerQuarter,12
8192,concreteShapes:cubeTrimQuarterEdge,83
8223,concreteShapes:cubeTrimQuarterCornerOutside,2
8227,concreteShapes:cubeTrimQuarterCornerInside,6
8228,concreteShapes:cubeHalfTrimQuarterCornerInside,1
8238,concreteShapes:cubeHalfTrimQuarterEdge2Sided,2
8252,concreteShapes:cubeTrimQuarterDiagonalCornerOutside,2
8285,concreteShapes:cubeTrimHalfSplitDiagonal,1
8292,concreteShapes:cubeTrimSplitWedge60Left,2
8293,concreteShapes:cubeTrimSplitWedge60Right,2
8309,concreteShapes:cubeHalfTrimQuarterCornerOutsideTwoSided,1
8317,concreteShapes:cubeTrimQuarterEdgeDouble,1
8326,concreteShapes:cubeTrimQuarterEdgeRound,2
8332,concreteShapes:rampTrimQuarterEdgeFiller,2
8335,concreteShapes:rampTrimQuarterEdgeFillerLeft,1
8338,concreteShapes:rampTrimQuarterEdgeFillerRight,1
8362,concreteShapes:wedgeNarrowHighRightTrim2Sided,1
8363,concreteShapes:wedgeNarrowMidRightTrim2Sided,1
8427,concreteShapes:doorTrim0.5m,4
8782,concreteShapes:cubeTrimDestroyed02,1
8783,concreteShapes:cubeTrimDestroyed03,2
8784,concreteShapes:cubeTrimDestroyed04,1
8786,concreteShapes:cubeTrimDestroyed06,1
8805,concreteShapes:concreteDestroyed06,4
8807,concreteShapes:concreteDestroyed08,2
8822,concreteShapes:plateDestroyed03,2
8944,concreteShapes:plateCounter,4
8948,concreteShapes:plateCounterHole,5
8953,concreteShapes:cubeTileBroken,12
9032,concreteShapes:farmPlot,25
9043,concreteShapes:roadPaintDashCNTR,40
9106,concreteShapes:cubeDrainStraight,1
9107,concreteShapes:cubeDrainStraightEnd,2
13699,corrugatedMetalShapes:cube,59
13714,corrugatedMetalShapes:cubeHalf,51
13721,corrugatedMetalShapes:cube0.25m,1
13722,corrugatedMetalShapes:cubeCornerBeveled,5
13730,corrugatedMetalShapes:cubeHalfCornerBeveled,6
13737,corrugatedMetalShapes:cubeQuarter,9
13756,corrugatedMetalShapes:pole,13
13762,corrugatedMetalShapes:poleTwoWayCorner,2
13781,corrugatedMetalShapes:poleSquareDouble,3
13784,corrugatedMetalShapes:poleSquareDoubleTopDouble,4
13807,corrugatedMetalShapes:polePlate,2
