id,name,count
2,terrainFiller,5670
16,terrGravel,811
369,woodShapes:polePlateOffCentered,4
2463,woodShapes:barrierGateBase,1
2464,woodShapes:barrierGateBase2,1
2465,woodShapes:barrierGateMiddle,8
2466,woodShapes:barrierGateTip,1
2467,woodShapes:barrierGateTip2,1
7051,concreteShapes:cube,986
7667,concreteShapes:cubeNarrowPyramidBase,1
13858,corrugatedMetalShapes:cubeHalf,2
13901,corrugatedMetalShapes:poleCentered,5
13902,corrugatedMetalShapes:poleSideCentered,2
13909,corrugatedMetalShapes:poleSquareCenteredTee,1
13923,corrugatedMetalShapes:poleSquareCenteredBracketDouble,2
13924,corrugatedMetalShapes:poleSquareSideCenteredBracketDouble,1
13959,corrugatedMetalShapes:poleQuarterCenteredPlate4way,1
13967,corrugatedMetalShapes:plate,134
13979,corrugatedMetalShapes:plateCorner,1
13997,corrugatedMetalShapes:plateHalf,25
14000,corrugatedMetalShapes:plateQuarter,8
14001,corrugatedMetalShapes:plateCornerBeveled,1
14036,corrugatedMetalShapes:plateDouble3,2
14083,corrugatedMetalShapes:pillar0.025Centered,9
14085,corrugatedMetalShapes:pillar0.025Middle,10
14092,corrugatedMetalShapes:pillar0.05Centered,3
14272,corrugatedMetalShapes:cornerRound,11
14274,corrugatedMetalShapes:plateRound,8
14459,corrugatedMetalShapes:cubeNarrowPyramidBase,1
14615,corrugatedMetalShapes:plateRamp,18
14621,corrugatedMetalShapes:plateRampCornerOutside,4
14622,corrugatedMetalShapes:plateWedge60Left,1
14623,corrugatedMetalShapes:plateWedge60Right,1
14769,corrugatedMetalShapes:pillar50PlatePillar0.025,7
14913,corrugatedMetalShapes:ladderRails,1
14927,corrugatedMetalShapes:plateLocalNorthSouthFace,4
14928,corrugatedMetalShapes:plateHalfLocalNorthSouthFace,7
14972,corrugatedMetalShapes:cubeQuarterBaseboardChairRail4Sided,2
15065,corrugatedMetalShapes:cubeTrimQuarterEdge,1
15312,corrugatedMetalShapes:doorTrim0.5m,2
15314,corrugatedMetalShapes:doorTrim1m,28
15330,corrugatedMetalShapes:windowTrim,3
15350,corrugatedMetalShapes:windowStoreFourSidedBulletproofFull,1
15432,corrugatedMetalShapes:windowStoreOneSidedEmpty,14
15498,corrugatedMetalShapes:windowPlateRoundedSquare4SidedHalfWidthFull,3
15504,corrugatedMetalShapes:windowPlateRoundedSquare2SidedFull,1
15505,corrugatedMetalShapes:windowPlateRoundedSquare3SidedFull,8
15506,corrugatedMetalShapes:windowPlateRoundedSquare4SidedFull,1
15519,corrugatedMetalShapes:windowPlateRoundedSquare3SidedBroken,2
15533,corrugatedMetalShapes:windowPlateRoundedSquare3SidedEmpty,2
15849,corrugatedMetalShapes:bookcaseEmpty,4
15879,corrugatedMetalShapes:ladderRound,3
16099,corrugatedMetalShapes:metalTruss3D,1
18373,bulletproofShapes:windowStoreTwoSidedBulletproofFull,2
18375,bulletproofShapes:windowStoreThreeSidedBulletproofFull,6
