id,name,count
2,terrainFiller,1981
5,terrDirt,10785
16,terrGravel,78
17,terrAsphalt,950
383,woodShapes:plate,35
1705,woodShapes:doorTrimTop,20
2481,brickShapes:cube,24
6925,concreteShapes:cube,675
6940,concreteShapes:cubeHalf,96
7121,concreteShapes:pillar100,2
7234,concreteShapes:cube5mRound01,7
7235,concreteShapes:cube5mRound02,20
7236,concreteShapes:cube5mRound03,20
7237,concreteShapes:cube5mRound04,20
7405,concreteShapes:wedge60,2
7406,concreteShapes:wedge60Tip,2
7518,concreteShapes:wedge60InclineHalfLeftFiller,9
7519,concreteShapes:wedge60InclineHalfRightFiller,3
8146,concreteShapes:cubeTrimCircle,2
8162,concreteShapes:cubeTrimQuarterCornerInside,8
8237,concreteShapes:cubeTrimQuarterEdgeTwoSided,71
8243,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,1
8257,concreteShapes:cubeTrimCornerRound,8
8718,concreteShapes:cubeTrimDestroyed03,2
8739,concreteShapes:concreteDestroyed05,2
8740,concreteShapes:concreteDestroyed06,2
8888,concreteShapes:cubeTileBroken,6
8966,concreteShapes:farmPlot,4
8977,concreteShapes:roadPaintDashCNTR,68
9185,steelShapes:cubeQuarter,9
11145,steelShapes:mirror,4
13591,corrugatedMetalShapes:cube,49
13606,corrugatedMetalShapes:cubeHalf,366
13648,corrugatedMetalShapes:pole,48
13692,corrugatedMetalShapes:catwalkPlate,2
13715,corrugatedMetalShapes:plate,21
13727,corrugatedMetalShapes:plateCorner,4
13799,corrugatedMetalShapes:pillar50,19
13816,corrugatedMetalShapes:pillar50CenteredSquareTop,6
13828,corrugatedMetalShapes:pillar0.025,1
13876,corrugatedMetalShapes:3mTubeCenter,16
13877,corrugatedMetalShapes:3mTubeCorner,46
13880,corrugatedMetalShapes:3mTunnelCenter,2
14031,corrugatedMetalShapes:plateQuarterRoundOutside,4
14071,corrugatedMetalShapes:wedge60,16
14255,corrugatedMetalShapes:wedgeTipHalf,6
14329,corrugatedMetalShapes:rampInclineFiller,134
14332,corrugatedMetalShapes:rampInclineInsideCnrFiller,16
14342,corrugatedMetalShapes:plateDiagonal,4
14352,corrugatedMetalShapes:plateDiagonalWallLeft,4
14353,corrugatedMetalShapes:plateDiagonalWallRight,4
14529,corrugatedMetalShapes:stairsRailingMetal,4
14589,corrugatedMetalShapes:catwalkV2,27
14590,corrugatedMetalShapes:catwalkV2RailSingle,4
14592,corrugatedMetalShapes:catwalkV2Rail,13
14598,corrugatedMetalShapes:catwalkV2WedgeRailing,12
14602,corrugatedMetalShapes:catwalkV2Railing2End,2
14640,corrugatedMetalShapes:catwalkV2RailOnlyDoubleEndCorner,2
14647,corrugatedMetalShapes:ladderRails,1
14650,corrugatedMetalShapes:railing,18
14722,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,1
15030,corrugatedMetalShapes:doorTrim1m,26
15034,corrugatedMetalShapes:doorTrim1mDouble,2
15423,corrugatedMetalShapes:plateDestroyed03,4
15464,corrugatedMetalShapes:scaffoldingLadder,29
15765,corrugatedMetalShapes:signNumber_7,1
15768,corrugatedMetalShapes:signLetter_a,2
15772,corrugatedMetalShapes:signLetter_e,2
15785,corrugatedMetalShapes:signLetter_r,2
15786,corrugatedMetalShapes:signLetter_s,1
15787,corrugatedMetalShapes:signLetter_t,1
18039,bulletproofShapes:windowStoreThreeSidedBulletproofFull,6
18041,bulletproofShapes:windowStoreFourSidedBulletproofFull,1
18267,cntAmmoPileSmall,1
18285,cntFoodPileSmallCornerRandomHelper,1
18423,wallMountSinkCommercial,4
18439,cntToilet03,4
18441,drinkingfountainSingle,3
18442,drinkingfountainDouble,1
18443,bathroomStallDoor,4
18444,bathroomStallWall,12
18445,bathroomStallSupport,2
18446,bathroomStallSupportRight,2
18447,bathroomStallSupportLeft,2
18448,bathroomStallSCTRBeam,4
18449,bathroomStallCTRBeam,12
18497,cntTrashPile03,1
18501,cntTrashPile07,1
18505,garbage_decor2,1
18585,cntDomedTrashCanCornerRandomLootHelper,3
18588,cntBruteStyleTrashCanRandomLootHelper,4
18627,cntJanitorCartFull,1
18630,cntCoolerRandomLootHelper,1
18656,cntSportsBag02Red,1
18678,cntSportsBag01RandomLootHelper,3
18800,commercialDualMeter,1
19022,lightCeilingBulbMountWhite,3
19071,lightIndustrialHangingBrown,1
19132,signExitFrameMountHigh,2
19184,streetLight01,2
19634,chainlinkFenceBottomPlain,64
19635,chainlinkFenceBottomPlainPoleLeft,67
19636,chainlinkFenceBottomPlainPoleRight,3
19638,chainlinkFenceTopPlainRail,64
19639,chainlinkFenceTopPlainPoleLeft,67
19640,chainlinkFenceTopPlainPoleRight,3
19667,guardRailStraight,11
19668,guardRailPole,4
19671,guardRailBend,6
19672,guardRailStraightLong,10
20509,commercialBulletproofGlassDoor,1
20522,commercialDoorV1Grey,2
20566,commercialDoorV3Grey,2
21492,decoPicnicTable,5
21728,parkBenchA,3
21754,decoMetalSlide,7
21755,decoSwingSet,1
21977,decoMetalBollard,2
21987,parkingBlockYellow,13
21988,parkingBlockCrooked1Yellow,3
22007,cntVendingMachine2,2
22607,ladderMetal,7
22662,barrierPlasticOrange,4
22784,concreteHalfDestroyed05Left,1
22785,concreteHalfDestroyed05Right,1
22786,concreteHalfDestroyed06,2
22803,rubblePileCement,1
22804,rubblePileConcreteSmall,2
22810,rubblePileWoodBurntSmall,1
22837,metalPipeStraight,4
22851,pipeSmallWall1x1,5
22853,pipeSmallWallBroke,1
22858,pipeSmallWallCorner,3
22947,pipeSmallWall1x3Grey,3
22949,pipeSmallWallCapGrey,3
23235,signBulletinBoard01,1
23256,signBathroomSignWomenWallMount,2
23258,signBathroomSignMenWallMount,2
23396,cntSedan01RandomHelper,2
23522,cntMinivan01RandomHelper,1
23568,cntPickupTruck01RandomHelper,1
23597,cntSemiTruck01Blue,1
23727,cntSemiTruck01AirRandomHelper,1
23859,treeSmallRandomHelper,1
23861,treeMediumRandomHelper,2
23901,plantedCoffee3Harvest,2
23930,plantedChrysanthemum3Harvest,2
23992,sleeperSit,1
23996,sleeperStomach,1
23997,sleeperIdle,4
