id,name,count
2,terrainFiller,5517
16,terrGravel,646
17,terrAsphalt,715
259,woodShapes:cube,194
274,woodShapes:cubeHalf,53
297,woodShapes:cubeQuarter,12
300,woodShapes:cubeQuarterRampInclineHalfFillerLeft,1
301,woodShapes:cubeQuarterRampInclineHalfFillerRight,1
313,woodShapes:cubeHalfPoleCorner,12
316,woodShapes:pole,65
319,woodShapes:poleHalf,21
322,woodShapes:poleTwoWayCorner,2
336,woodShapes:poleSquareBracketLeft,4
337,woodShapes:poleSquareBracketRight,4
364,woodShapes:polePlateHalfOffCentered,118
383,woodShapes:plate,193
413,woodShapes:plateHalf,8
426,woodShapes:platePoleCornerFiller,2
427,woodShapes:platePoleCorner,39
428,woodShapes:platePoleCorner2,16
435,woodShapes:platePoleCornerCorner,6
468,woodShapes:pillar50,18
506,woodShapes:pillar0.05,8
690,woodShapes:plateRound,2
703,woodShapes:plateFenderSkirtLeft,2
704,woodShapes:plateFenderSkirtRight,2
706,woodShapes:ramp,36
792,woodShapes:rampInclineInsideCnr,6
1005,woodShapes:rampIncline,54
1006,woodShapes:rampInclineFiller,48
1009,woodShapes:rampInclineInsideCnrFiller,4
1019,woodShapes:plateDiagonal,11
1020,woodShapes:plateDiagonalHalfLeft,12
1021,woodShapes:plateDiagonalHalfRight,12
1022,woodShapes:plateDiagonalFiller,1
1112,woodShapes:slopePlate01,12
1113,woodShapes:slopePlate02,12
1114,woodShapes:slopePlate03,12
1116,woodShapes:slopeHalfPlateLeft01,1
1117,woodShapes:slopeHalfPlateLeft02,1
1118,woodShapes:slopeHalfPlateLeft03,1
1121,woodShapes:slopeHalfPlateRight01,1
1122,woodShapes:slopeHalfPlateRight02,1
1123,woodShapes:slopeHalfPlateRight03,1
1132,woodShapes:slopePlateLeft01,1
1134,woodShapes:slopePlateLeft02,1
1136,woodShapes:slopePlateLeft03,1
1137,woodShapes:slopePlateLeft04,1
1138,woodShapes:slopePlateRight01,1
1140,woodShapes:slopePlateRight02,1
1142,woodShapes:slopePlateRight03,1
1143,woodShapes:slopePlateRight04,1
1188,woodShapes:rampInclineFillerPillar0.025,4
1205,woodShapes:stairsRailing,10
1332,woodShapes:railing,3
1334,woodShapes:railingCorner,2
1335,woodShapes:railingBroke01,3
1411,woodShapes:cubeTrimHalfSplit,32
1591,woodShapes:cubeTrimQuarterEdgeTwoSided,12
1726,woodShapes:doorTrimCorner,1
1730,woodShapes:doorTrim1m,15
1733,woodShapes:doorTrimDiagonal,2
1746,woodShapes:windowTrim,4
1820,woodShapes:windowStoreTwoSidedFull,1
1821,woodShapes:windowStoreThreeSidedFull,6
1974,woodShapes:window01,12
1975,woodShapes:window01Broken,6
2001,woodShapes:rampWindow01Centered,14
2002,woodShapes:rampWindow01CenteredBroken,2
2203,woodShapes:plateBracketCentered,2
2224,woodShapes:dynamicGrate,1
2237,woodShapes:counterFlipDoorOpen,1
2249,woodShapes:plateCounter02,9
2250,woodShapes:plateCounter03,3
2263,woodShapes:cubeHalfBookshelfDouble,3
2264,woodShapes:cubeHalfBookshelfTriple,3
2312,woodShapes:fence,33
2523,brickShapes:cube,65
2538,brickShapes:cubeHalf,7
4527,brickShapes:cubeHalfBookshelfDouble,3
7051,concreteShapes:cube,6
7238,concreteShapes:billboardHalf,12
9139,concreteShapes:roadPaintDashCNTR,55
13843,corrugatedMetalShapes:cube,27
13846,corrugatedMetalShapes:cubeThreeQuarter,50
13852,corrugatedMetalShapes:cubeHalfCorner,1
13858,corrugatedMetalShapes:cubeHalf,141
13865,corrugatedMetalShapes:cube0.25m,1
13875,corrugatedMetalShapes:halfBlockPoleQuarter,4
13880,corrugatedMetalShapes:cubeQuarterPlateCorner2,4
13881,corrugatedMetalShapes:cubeQuarter,2
13895,corrugatedMetalShapes:cubeEighth,14
13900,corrugatedMetalShapes:pole,5
13905,corrugatedMetalShapes:poleHalfSideCentered,4
13964,corrugatedMetalShapes:cubeHalfPlateCorner2,23
13967,corrugatedMetalShapes:plate,270
13968,corrugatedMetalShapes:plateCentered,6
13979,corrugatedMetalShapes:plateCorner,29
13980,corrugatedMetalShapes:plateCornerHalfTop,3
13981,corrugatedMetalShapes:plateCornerHalfTopOffset,5
13985,corrugatedMetalShapes:plateCornerHalfTopHalf,4
13994,corrugatedMetalShapes:plateCornerRound1m02,79
