id,name,count
2,terrainFiller,334
16,terrGravel,182
17,terrAsphalt,2195
259,woodShapes:cube,20
383,woodShapes:plate,199
424,woodShapes:platePoleSideCentered,4
461,woodShapes:halfPillar1mPlate,1
483,woodShapes:pillar50CornerPlate,1
704,woodShapes:ramp,24
720,woodShapes:rampOutsideCornerFull,8
923,woodShapes:wedgeTipHalf,1
1369,woodShapes:cubeQuarterBaseboardChairRail4SidedCentered,5
1649,woodShapes:plateTrimSplit,8
1698,woodShapes:doorTrim1m,6
2090,woodShapes:plateDestroyed02,2
2091,woodShapes:plateDestroyed03,5
2096,woodShapes:plateDiagonalDestroyed05,3
2128,woodShapes:shantywall01,1
2279,woodShapes:fenceBroken1,1
2304,woodShapes:plateSidewalkBroke01,3
2481,brickShapes:cube,160
3950,brickShapes:windowStoreOneSidedBulletproofFull,4
3956,brickShapes:windowStoreFourSidedBulletproofFull,2
6925,concreteShapes:cube,1698
6940,concreteShapes:cubeHalf,131
6963,concreteShapes:cubeQuarter,33
6977,concreteShapes:cubeEighth,2
6982,concreteShapes:pole,2
7049,concreteShapes:plate,12
7355,concreteShapes:plateHalfCornerRoundLeft,1
7356,concreteShapes:plateHalfCornerRoundRight,1
7406,concreteShapes:wedge60Tip,4
7996,concreteShapes:plateHalfLocalNorthSouthFace,2
7997,concreteShapes:cubeBaseboard,201
7998,concreteShapes:cubeBaseboardCorner,64
8001,concreteShapes:cubeBaseboard2Sided,9
8003,concreteShapes:cubeBaseboard4Sided,54
8056,concreteShapes:cubeTrimHalfSplit4Sided,2
8057,concreteShapes:cubeTrimHalfSplit,63
8127,concreteShapes:cubeTrimQuarterEdge,130
8165,concreteShapes:cubeTrimQuarterCornerInside2,3
8252,concreteShapes:cubeTrimQuarterEdgeDouble,45
8257,concreteShapes:cubeTrimCornerRound,7
8261,concreteShapes:cubeTrimQuarterEdgeRound,6
8360,concreteShapes:doorTrimCorner,20
8364,concreteShapes:doorTrim1m,94
8372,concreteShapes:doorTrimTwoSided,6
8720,concreteShapes:cubeTrimDestroyed05,2
8739,concreteShapes:concreteDestroyed05,2
8740,concreteShapes:concreteDestroyed06,1
8744,concreteShapes:concreteDestroyedFiller01,2
8888,concreteShapes:cubeTileBroken,7
8923,concreteShapes:mirror,4
10616,steelShapes:windowStoreOneSidedBulletproofFull,10
10618,steelShapes:windowStoreTwoSidedBulletproofFull,16
10620,steelShapes:windowStoreThreeSidedBulletproofFull,18
10622,steelShapes:windowStoreFourSidedBulletproofFull,8
10624,steelShapes:windowStoreCornerBulletproofFull,10
13591,corrugatedMetalShapes:cube,148
13606,corrugatedMetalShapes:cubeHalf,25
13614,corrugatedMetalShapes:cubeCornerBeveled,6
13648,corrugatedMetalShapes:pole,81
13654,corrugatedMetalShapes:poleTwoWayCorner,4
13687,corrugatedMetalShapes:poleSquareTipLeft,3
13688,corrugatedMetalShapes:poleSquareTipRight,5
13715,corrugatedMetalShapes:plate,543
13727,corrugatedMetalShapes:plateCorner,22
13731,corrugatedMetalShapes:plateHalfThreeSided,2
13735,corrugatedMetalShapes:plateCornerTwoWall,4
13745,corrugatedMetalShapes:plateHalf,25
13778,corrugatedMetalShapes:billboardHalf,2
13779,corrugatedMetalShapes:billboard,1
13787,corrugatedMetalShapes:pillar100,10
13799,corrugatedMetalShapes:pillar50,56
13813,corrugatedMetalShapes:pillar50CenterPlate,8
13822,corrugatedMetalShapes:halfBlockPillar50,6
13864,corrugatedMetalShapes:pipeThin,16
13865,corrugatedMetalShapes:pipeThinCornerDown,3
13866,corrugatedMetalShapes:pipeThinCornerUp,6
13889,corrugatedMetalShapes:cube3mCenter,2
13892,corrugatedMetalShapes:cube3mCorner,4
14020,corrugatedMetalShapes:plateRound,2
14029,corrugatedMetalShapes:cubeQuarterRoundOutside,8
14030,corrugatedMetalShapes:cubeHalfQuarterRoundOutside,4
14036,corrugatedMetalShapes:ramp,2
14196,corrugatedMetalShapes:wedgeNarrowLow,6
14286,corrugatedMetalShapes:awningTip,6
14459,corrugatedMetalShapes:slopePlateLeft03,1
14538,corrugatedMetalShapes:stairsHollowRailingRight,8
14576,corrugatedMetalShapes:stairsHollowRailingMetalFillerLeft,7
14650,corrugatedMetalShapes:railing,2
14722,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,276
14822,corrugatedMetalShapes:cubeHalfTrimQuarterSquare,15
15026,corrugatedMetalShapes:doorTrimCorner,2
15028,corrugatedMetalShapes:doorTrim0.5m,1
15030,corrugatedMetalShapes:doorTrim1m,147
15038,corrugatedMetalShapes:doorTrimTwoSided,6
15060,corrugatedMetalShapes:windowStoreOneSidedBulletproofFull,4
15068,corrugatedMetalShapes:windowStoreCornerBulletproofFull,12
15405,corrugatedMetalShapes:concreteDestroyed05,4
15407,corrugatedMetalShapes:concreteDestroyed07,4
15408,corrugatedMetalShapes:concreteDestroyed08,1
15421,corrugatedMetalShapes:plateDestroyed,7
15422,corrugatedMetalShapes:plateDestroyed02,3
15527,corrugatedMetalShapes:prepTable,2
15531,corrugatedMetalShapes:prepTableCornerRight,4
15542,corrugatedMetalShapes:counterHalfHollowTopOffset,2
15548,corrugatedMetalShapes:plateCounterSquareHole,2
15562,corrugatedMetalShapes:bookcaseEmpty,6
15563,corrugatedMetalShapes:bookcaseFull,8
15564,corrugatedMetalShapes:bookcaseHalfEmpty,2
15570,corrugatedMetalShapes:bookcaseOpenEnded,8
15636,corrugatedMetalShapes:plateSidewalkBroke01,6
15760,corrugatedMetalShapes:signNumber_2,3
15762,corrugatedMetalShapes:signNumber_4,3
15768,corrugatedMetalShapes:signLetter_a,5
15770,corrugatedMetalShapes:signLetter_c,7
15772,corrugatedMetalShapes:signLetter_e,3
15773,corrugatedMetalShapes:signLetter_f,3
15775,corrugatedMetalShapes:signLetter_h,4
15776,corrugatedMetalShapes:signLetter_i,1
15778,corrugatedMetalShapes:signLetter_k,4
15781,corrugatedMetalShapes:signLetter_n,1
15782,corrugatedMetalShapes:signLetter_o,3
15783,corrugatedMetalShapes:signLetter_p,4
15784,corrugatedMetalShapes:signLetter_q,1
15785,corrugatedMetalShapes:signLetter_r,5
15786,corrugatedMetalShapes:signLetter_s,5
15787,corrugatedMetalShapes:signLetter_t,4
15788,corrugatedMetalShapes:signLetter_u,3
15790,corrugatedMetalShapes:signLetter_w,1
18260,cntWeaponsBagSmall,2
18268,cntAmmoPileMedium,1
18279,cntMedicLootPileB,1
18284,cntFoodPileSmallRandomHelper,1
18285,cntFoodPileSmallCornerRandomHelper,1
18311,cntLootChestHero,1
18331,cntQuestInfestedT3LootHelper,1
18397,cntCupboardCabinetRedTopLootHelper,5
18401,cntCupboardCabinetFullRedTopClosed,2
18420,utilitySink,1
18421,sinkKitchen,2
18423,wallMountSinkCommercial,4
18430,showerHead,1
18439,cntToilet03,4
18440,urinalCommercialMounted,1
18443,bathroomStallDoor,2
18444,bathroomStallWall,6
18445,bathroomStallSupport,4
18448,bathroomStallSCTRBeam,4
18449,bathroomStallCTRBeam,8
18465,cntbasketLaundryEmptyOrange,1
18466,cntbasketLaundryEmptyYellow,1
18478,cntbasketLaundryFullGrey,1
18494,laundryLoose,2
18501,cntTrashPile07,1
18502,cntTrashPile08,1
18504,garbage_decor1,1
18505,garbage_decor2,1
18506,garbage_decor3,1
18513,newspaperDecor01,1
18529,bloodDecor01,1
18530,bloodDecor02,1
18582,cntDomedTrashCanRandomLootHelper,6
18585,cntDomedTrashCanCornerRandomLootHelper,5
18609,cntUtilityCartEmptyGrey,1
18660,cntSportsBag02Blue,1
18677,cntBagsRandomLootHelper,1
18689,airConditioner,2
18690,airConditionVentFan,2
18700,controlPanelBase06,3
18794,breakerBoxWallClosed,2
18798,commercialSingleMeterDisconnect,1
18800,commercialDualMeter,1
18802,commercialQuadMeter,1
18819,keyRackWood01,2
18820,pipeSmallValveSwitch,1
18856,motionsensorPOI,19
18857,motionsensorLeftPOI,4
18858,motionsensorRightPOI,4
18875,cntFridgeStainlessSteelRandomLootHelper,1
18879,hoodRangeGrey,4
18894,cntgasRangeGrey,2
18939,cntWasherIndustrialClosed,1
18940,cntWasherIndustrialOpen,1
18942,cntWasherIndustrialRandomLootHelper,1
18950,cntMicrowaveRandomLootHelper,1
18959,cntCoffeeMakerCommercial,1
18960,cntSodaFountain,1
18962,decoCookingPotRandomLootHelper,1
19022,lightCeilingBulbMountWhite,44
19053,lightPanelLEDSilver,24
19055,lightPanelLEDBlack,16
19122,ceilingFanLight,2
19131,signExitFrameMount,1
19132,signExitFrameMountHigh,1
19184,streetLight01,4
19667,guardRailStraight,12
19668,guardRailPole,1
19671,guardRailBend,6
19672,guardRailStraightLong,16
19730,pictureCanvasRandomHelper,1
19759,calendar2034,1
19787,pictureSmallRandomHelper,1
19788,pictureMediumRandomHelper,1
19789,pictureLargeRandomHelper,1
