id,name,count
2,terrainFiller,2614
16,terrGravel,202
29,terrStoneHelper,589
259,woodShapes:cube,79
274,woodShapes:cubeHalf,6
316,woodShapes:pole,6
383,woodShapes:plate,5
413,woodShapes:plateHalf,10
418,woodShapes:plateHalfTriangle,5
419,woodShapes:plateQuarterTriangle,2
741,woodShapes:wedge60,22
742,woodShapes:wedge60Tip,74
743,woodShapes:wedge60TipHalf,17
744,woodShapes:wedge60TipHalfOutsideCorner,1
746,woodShapes:wedge60TipHalfCornerLeft,1
747,woodShapes:wedge60TipHalfCornerRight,1
754,woodShapes:wedge60Incline,16
758,woodShapes:wedge60SplitInclineLeft,1
759,woodShapes:wedge60SplitInclineRight,1
826,woodShapes:wedge60SplitLeft05,2
827,woodShapes:wedge60SplitRight05,2
848,woodShapes:wedge60InclineHalfLeft,5
849,woodShapes:wedge60InclineHalfRight,5
852,woodShapes:wedge60TipHalfLeft,10
853,woodShapes:wedge60TipHalfRight,10
950,woodShapes:gable3Quarter,7
954,woodShapes:gable3QuarterHalf,1
998,woodShapes:rampIncline,2
999,woodShapes:rampInclineFiller,2
1031,woodShapes:plateWedge60Left,3
1032,woodShapes:plateWedge60Right,6
1033,woodShapes:plateWedge60LeftTip,20
1034,woodShapes:plateWedge60RightTip,30
1041,woodShapes:plateWedge60LeftHollow,7
1042,woodShapes:plateWedge60RightHollow,9
1187,woodShapes:stairsFilledVerticalUV,1
1201,woodShapes:stairsFilledRailingRight,2
1336,woodShapes:cubeBaseboard,10
1340,woodShapes:cubeBaseboard2Sided,3
1472,woodShapes:cubeTrimQuarterEdge,7
1709,woodShapes:doorTrim1m,34
1815,woodShapes:windowStoreThreeSidedBroken,9
1817,woodShapes:windowStoreCornerBroken,5
2061,woodShapes:cubeTrimDestroyed01,7
2062,woodShapes:cubeTrimDestroyed02,5
2063,woodShapes:cubeTrimDestroyed03,7
2064,woodShapes:cubeTrimDestroyed04,5
2070,woodShapes:cubeTrimDestroyed10,2
2085,woodShapes:concreteDestroyed06,2
2154,woodShapes:floorJoist,28
2233,woodShapes:cubeTileBroken,4
2241,woodShapes:bookcaseEmpty,2
2254,woodShapes:tvStand04,1
2255,woodShapes:tvStand05,1
2291,woodShapes:fenceBroken1,1
2292,woodShapes:fenceBroken2,1
2296,woodShapes:fencePicketFull,18
2297,woodShapes:fencePicketBroken01,6
2299,woodShapes:fencePicketBroken03,2
2300,woodShapes:fencePicketBroken04,4
2301,woodShapes:fencePicketBroken05,4
2302,woodShapes:fencePicketFallen,3
2499,brickShapes:cube,120
2501,brickShapes:cubeHalfInsideCorner,2
2508,brickShapes:cubeHalfCorner,2
2509,brickShapes:cubeHalfCorner2,6
2514,brickShapes:cubeHalf,36
2619,brickShapes:cubeHalfPlateCorner,15
3805,brickShapes:cubeTrimHalfSplitDiagonal,5
3945,brickShapes:doorTrimCorner,2
3949,brickShapes:doorTrim1m,15
4283,brickShapes:brickDestroyed01,9
4284,brickShapes:brickDestroyed02,1
4285,brickShapes:brickDestroyed03,2
4286,brickShapes:brickDestroyed04,1
4294,brickShapes:brickHalfDestroyed03,1
4296,brickShapes:brickHalfDestroyed05,1
4299,brickShapes:brickHalfDestroyed08,1
4395,brickShapes:cubeHalfFloorJoist,3
4479,brickShapes:cubeHalfBookshelfDouble,2
4480,brickShapes:cubeHalfBookshelfTriple,4
6979,concreteShapes:cube,43
8804,concreteShapes:concreteDestroyed05,3
8805,concreteShapes:concreteDestroyed06,3
8806,concreteShapes:concreteDestroyed07,1
8807,concreteShapes:concreteDestroyed08,5
13967,corrugatedMetalShapes:pipeStraightOpenEnded,3
15644,corrugatedMetalShapes:tableDynamic,6
15681,corrugatedMetalShapes:bookcaseEmpty,2
18428,cntFoodPileSmallRandomHelper,1
18547,cntCabinetOldBottomLootHelper,3
18581,cntToilet01,1
18646,cntTrashPile08,1
18648,cntTrashBoxRandomLootHelper,1
18663,rubbishDecor02,1
18666,rubbishDecor05,1
18672,rubbishDecor12,1
18822,cntBagsRandomLootHelper,1
18941,residentialSingleMeterDisconnect,1
18953,conduitSingleCentered,1
18954,conduitSingleCenteredEnd,1
18959,powerSwitch01,1
19016,cntRetroFridgeRandomLootHelper,1
19037,cntStoveRandomLootHelper,1
19103,cntCoffeeMaker,1
19138,tvSmallWall2x1,1
19165,lightWallGooseneckGrey,1
19275,endTableLamp,2
19908,posterCalendarWorkingStiff,1
19997,hubCapsHanging,1
