id,name,count
2,terrainFiller,1629
5,terrDirt,24
14,terrDestroyedStone,739
383,woodShapes:plate,10
1112,woodShapes:slopePlate01,6
1256,woodShapes:railingFloatLeft,2
2130,woodShapes:plateDiagonalDestroyed04,2
2165,woodShapes:shantywall03,1
2291,woodShapes:pictureFrame,1
2523,brickShapes:cube,71
2538,brickShapes:cubeHalf,20
2647,brickShapes:plate,3
2677,brickShapes:plateHalf,4
3838,brickShapes:cubeTrimHalfSplitDiagonal,2
4328,brickShapes:brickDestroyed01,15
4329,brickShapes:brickDestroyed02,13
4330,brickShapes:brickDestroyed03,24
4331,brickShapes:brickDestroyed04,11
4332,brickShapes:brickDestroyed05,17
4348,brickShapes:cubeTrimDestroyed03,2
4385,brickShapes:plateDestroyed,3
4386,brickShapes:plateDestroyed02,6
4387,brickShapes:plateDestroyed03,2
4604,brickShapes:plateSidewalkBroke01,2
7051,concreteShapes:cube,862
7066,concreteShapes:cubeHalf,15
7074,concreteShapes:cubeCornerBeveled,6
7077,concreteShapes:cubeBeveledCorner,2
7083,concreteShapes:halfBlockPoleQuarter,1
7089,concreteShapes:cubeQuarter,6
7103,concreteShapes:cubeEighth,1
7171,concreteShapes:cubeHalfPlateCorner,41
7244,concreteShapes:plateDouble3,13
7799,concreteShapes:rampInclineFillerHalfLeft,6
7823,concreteShapes:plateRamp,20
8301,concreteShapes:cubeTrimQuarterSquare,1
8366,concreteShapes:cubeTrimHalfSplitDiagonal,7
8518,concreteShapes:doorTrimCorner,4
8522,concreteShapes:doorTrim1m,8
8876,concreteShapes:cubeTrimDestroyed03,10
8877,concreteShapes:cubeTrimDestroyed04,2
8882,concreteShapes:cubeTrimDestroyed09,2
8887,concreteShapes:cubeTrimStairsHollow2,5
8890,concreteShapes:cubeTrimStairsHollowFiller,4
8892,concreteShapes:stairsHollowDestroyed,2
8894,concreteShapes:concreteDestroyed02,1
8896,concreteShapes:concreteDestroyed04,3
8897,concreteShapes:concreteDestroyed05,6
8898,concreteShapes:concreteDestroyed06,12
8899,concreteShapes:concreteDestroyed07,6
8900,concreteShapes:concreteDestroyed08,2
8901,concreteShapes:concreteDestroyed09,1
9128,concreteShapes:farmPlot,3
13858,corrugatedMetalShapes:cubeHalf,1
13963,corrugatedMetalShapes:cubeHalfPlateCorner,2
13967,corrugatedMetalShapes:plate,8
13997,corrugatedMetalShapes:plateHalf,4
14247,corrugatedMetalShapes:arch,1
14954,corrugatedMetalShapes:cubeBaseboardChairRail,15
14955,corrugatedMetalShapes:cubeBaseboardChairRail2Sided,1
14994,corrugatedMetalShapes:cubeTrimHalfSplit4Sided,1
14995,corrugatedMetalShapes:cubeTrimHalfSplit,15
15314,corrugatedMetalShapes:doorTrim1m,7
15317,corrugatedMetalShapes:doorTrimDiagonal,1
15403,corrugatedMetalShapes:windowStoreOneSidedFull,10
15407,corrugatedMetalShapes:windowStoreCornerFull,14
15408,corrugatedMetalShapes:windowStorePaneFull,2
15418,corrugatedMetalShapes:windowStoreOneSidedBroken,14
15419,corrugatedMetalShapes:windowStoreTwoSidedBroken,3
15420,corrugatedMetalShapes:windowStoreThreeSidedBroken,4
15422,corrugatedMetalShapes:windowStoreCornerBroken,9
15643,corrugatedMetalShapes:windowPanel,12
15665,corrugatedMetalShapes:rebar,4
15705,corrugatedMetalShapes:plateDestroyed,1
15706,corrugatedMetalShapes:plateDestroyed02,2
15737,corrugatedMetalShapes:sidingBurnt01,1
15741,corrugatedMetalShapes:sidingBurnt05,1
15742,corrugatedMetalShapes:sidingBurnt06,1
15743,corrugatedMetalShapes:sidingBurnt07,2
15749,corrugatedMetalShapes:shantywall03,2
15750,corrugatedMetalShapes:shantywall04,4
15767,corrugatedMetalShapes:wallStud,2
15768,corrugatedMetalShapes:wallStudBroken,4
15771,corrugatedMetalShapes:iBeamCentered,2
15786,corrugatedMetalShapes:bracketDouble,1
15804,corrugatedMetalShapes:airDuctHalfBroken,1
15807,corrugatedMetalShapes:securityGatePlate,6
15808,corrugatedMetalShapes:dynamicGrate,1
15817,corrugatedMetalShapes:prepTableCornerLeft,2
15842,corrugatedMetalShapes:cubeHollow,1
15920,corrugatedMetalShapes:farmPlot,2
18521,cntGunSafe,1
18613,cntMedicLootPileA,1
18616,cntFoodPileSmall,1
18631,cntShippingCrateMoPowerElectronics,1
18852,newspaperDecor01,2
18853,newspaperDecor02,1
18854,newspaperDecor03,5
18855,newspaperDecor04,2
18856,rubbishDecor01,3
18857,rubbishDecor02,2
18858,rubbishDecor03,1
18859,rubbishDecor04,2
18860,rubbishDecor05,25
18861,rubbishDecor06,4
18862,rubbishDecor08,7
18863,rubbishDecor09,2
18864,rubbishDecor10,3
18865,rubbishDecor11,3
18866,rubbishDecor12,3
18867,rubbishDecor13,2
18869,bloodDecor01,2
18870,bloodDecor02,1
18871,bloodDecor05,1
18925,cntDomedTrashCanCornerRandomLootHelper,1
18950,cntUtilityCartEmptyBlack,2
19018,cntSportsBag01RandomLootHelper,1
19019,cntSportsBag02RandomLootHelper,1
19036,satelliteUnitSmallFloor,1
19139,commercialDistributionBox,1
19141,commercialSingleMeter,1
19145,conduit01,2
19147,conduit01Curve,1
19150,conduitSingleCentered,2
19156,powerSwitch01,1
19200,motionsensorPOI,1
19201,motionsensorLeftPOI,3
19202,motionsensorRightPOI,2
19313,wallClockRandomLootHelper,1
19322,decoComputerMonitorKeyboardMouse,3
19324,decoComputerMonitorKeyboardMouse2,1
19340,decoServerRackGrey,1
