id,name,count
2,terrainFiller,1829
5,terrDirt,36
14,terrDestroyedStone,37
16,terrGravel,117
259,woodShapes:cube,40
268,woodShapes:cubeHalfCorner,1
274,woodShapes:cubeHalf,2
302,woodShapes:quarterInsideCorner,1
316,woodShapes:pole,37
322,woodShapes:poleTwoWayCorner,1
345,woodShapes:cubePoleCorner,3
379,woodShapes:cubeHalfPlateCorner,77
383,woodShapes:plate,3
418,woodShapes:plateHalfTriangle,1
469,woodShapes:pillar50Corner,1
1206,woodShapes:stairsHollow,1
1813,woodShapes:windowStoreOneSidedBroken,3
1815,woodShapes:windowStoreThreeSidedBroken,8
1816,woodShapes:windowStoreFourSidedBroken,2
2038,woodShapes:windowPanel,15
2096,woodShapes:pillar50CornerDestroyed,2
2101,woodShapes:plateDestroyed02,4
2102,woodShapes:plateDestroyed03,2
2103,woodShapes:plateDiagonalDestroyed,1
2130,woodShapes:sidingBurnt02,1
2131,woodShapes:sidingBurnt03,1
2225,woodShapes:plateCounter02,3
2241,woodShapes:bookcaseEmpty,1
2251,woodShapes:tvStand01,2
2316,woodShapes:plateSidewalkBroke01,1
2499,brickShapes:cube,66
2514,brickShapes:cubeHalf,1
2556,brickShapes:pole,8
2559,brickShapes:poleHalf,1
2585,brickShapes:cubePoleCorner,1
2623,brickShapes:plate,14
2666,brickShapes:platePoleCornerFiller,1
2667,brickShapes:platePoleCorner,2
3502,brickShapes:catwalkV2,6
3641,brickShapes:cubeTrimHalfSplit4Sided,1
3747,brickShapes:cubeTrimQuarterCornerInside,1
3822,brickShapes:cubeTrimQuarterEdgeTwoSided,8
3945,brickShapes:doorTrimCorner,1
3947,brickShapes:doorTrim0.5m,1
3949,brickShapes:doorTrim1m,27
3956,brickShapes:doorTrimTop,2
4283,brickShapes:brickDestroyed01,5
4284,brickShapes:brickDestroyed02,9
4285,brickShapes:brickDestroyed03,20
4286,brickShapes:brickDestroyed04,2
4287,brickShapes:brickDestroyed05,8
4303,brickShapes:cubeTrimDestroyed03,4
4304,brickShapes:cubeTrimDestroyed04,1
4340,brickShapes:plateDestroyed,3
4341,brickShapes:plateDestroyed02,1
4342,brickShapes:plateDestroyed03,3
4365,brickShapes:slopePlateDestroyedLeft07,1
4366,brickShapes:slopePlateDestroyedRight07,1
4556,brickShapes:plateSidewalkBroke01,1
6979,concreteShapes:cube,526
6982,concreteShapes:cubeThreeQuarter,2
6988,concreteShapes:cubeHalfCorner,4
6994,concreteShapes:cubeHalf,34
7036,concreteShapes:pole,2
7065,concreteShapes:cubePoleCorner,2
7195,concreteShapes:logsHalf,9
7425,concreteShapes:ramp,11
7744,concreteShapes:plateRamp,2
7906,concreteShapes:stairsFilledQuarterVerticalUV,3
7907,concreteShapes:stairsFilledVerticalUV,6
7923,concreteShapes:stairsFilledRailingMetalRight,1
7949,concreteShapes:wedgeTipStairsRailingMetalLeft,1
7950,concreteShapes:wedgeTipStairsRailingMetalRight,1
7958,concreteShapes:wedgeStairsRailingMetalLeft,1
7959,concreteShapes:wedgeStairsRailingMetalRight,1
8227,concreteShapes:cubeTrimQuarterCornerInside,4
8285,concreteShapes:cubeTrimHalfSplitDiagonal,8
8302,concreteShapes:cubeTrimQuarterEdgeTwoSided,5
8372,concreteShapes:cubeHeatVent,1
8445,concreteShapes:windowTrim,18
8446,concreteShapes:windowTrimBottom,10
8781,concreteShapes:cubeTrimDestroyed01,5
8783,concreteShapes:cubeTrimDestroyed03,2
8789,concreteShapes:cubeTrimDestroyed09,1
8801,concreteShapes:concreteDestroyed02,1
8803,concreteShapes:concreteDestroyed04,1
8804,concreteShapes:concreteDestroyed05,7
8805,concreteShapes:concreteDestroyed06,7
8808,concreteShapes:concreteDestroyed09,1
8945,concreteShapes:plateCounter02,6
9036,concreteShapes:plateSidewalkBroke01,1
9037,concreteShapes:plateSidewalkBroke02,1
9038,concreteShapes:plateSidewalkBroke03,1
9039,concreteShapes:plateSidewalkBroke04,3
9107,concreteShapes:cubeDrainStraightEnd,7
9109,concreteShapes:cubeDrainEndCap,7
9132,concreteShapes:bowlingGutterSingle,36
13699,corrugatedMetalShapes:cube,6
13714,corrugatedMetalShapes:cubeHalf,12
13720,corrugatedMetalShapes:cubeHalfPoleSquareCorner3Way,4
13853,corrugatedMetalShapes:plateHalf,1
13936,corrugatedMetalShapes:pillar0.025,4
14127,corrugatedMetalShapes:cornerRound,2
14138,corrugatedMetalShapes:cubeQuarterRoundOutside,13
14742,corrugatedMetalShapes:catwalkV2RailOnly,1
14744,corrugatedMetalShapes:catwalkV2RailOnlyLeftCap,1
14745,corrugatedMetalShapes:catwalkV2RailOnlyRightCap,1
14749,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,1
14750,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,1
15161,corrugatedMetalShapes:doorTrimHalfThreeSidedLeft,1
15162,corrugatedMetalShapes:doorTrimHalfThreeSidedRight,1
15240,corrugatedMetalShapes:windowStoreThreeSidedFull,5
15255,corrugatedMetalShapes:windowStoreThreeSidedBroken,2
15500,corrugatedMetalShapes:rebar,2
15649,corrugatedMetalShapes:prepTableCornerLeft,2
15660,corrugatedMetalShapes:counterHollowTop,1
15664,corrugatedMetalShapes:plateCounter,2
15667,corrugatedMetalShapes:plateCounterSquareHole,1
15669,corrugatedMetalShapes:plateCounterHoleSquare,1
15675,corrugatedMetalShapes:cubeBookcase,4
15681,corrugatedMetalShapes:bookcaseEmpty,2
15690,corrugatedMetalShapes:bookcaseOpenEnded,2
15706,corrugatedMetalShapes:verticalBlindsBottomOpen,2
15710,corrugatedMetalShapes:mirrorRound,1
15744,corrugatedMetalShapes:industrialFenceBottom,1
15745,corrugatedMetalShapes:industrialFenceBottomBrokenLeft,2
15746,corrugatedMetalShapes:industrialFenceBottomBrokenRight,1
18181,bulletproofShapes:windowStoreTwoSidedBulletproofFull,2
18183,bulletproofShapes:windowStoreThreeSidedBulletproofFull,3
18418,cntChemPileSmall,1
18420,cntChemPileLarge,1
18433,cntShippingCrateLabEquipment,1
18533,cntCabinetBottomRandomLootHelper,1
18535,cntCabinetBottomOpen,1
18541,cntCupboardCabinetRedTopLootHelper,1
18543,cntCupboardCabinetRedTopOpen,1
18565,sinkKitchen,2
18567,wallMountSinkCommercial,1
18581,cntToilet01,1
18654,glassBroken_02,1
18658,newspaperDecor01,1
18659,newspaperDecor02,1
18660,newspaperDecor03,3
18661,newspaperDecor04,2
18663,rubbishDecor02,1
18664,rubbishDecor03,2
18665,rubbishDecor04,1
18666,rubbishDecor05,12
18667,rubbishDecor06,2
18668,rubbishDecor08,3
18669,rubbishDecor09,1
18670,rubbishDecor10,1
18671,rubbishDecor11,1
18672,rubbishDecor12,2
