id,name,count
1,terrStone,394
2,terrainFiller,31832
5,terrDirt,23
16,terrGravel,577
259,woodShapes:cube,1762
261,woodShapes:cubeHalfInsideCorner,4
268,woodShapes:cubeHalfCorner,56
274,woodShapes:cubeHalf,109
277,woodShapes:cubeCornerBeveled,8
287,woodShapes:halfQuarterPost,8
291,woodShapes:cubeQuarter,40
307,woodShapes:cubeHalfPoleCorner,8
310,woodShapes:pole,249
312,woodShapes:poleSideCentered,118
316,woodShapes:poleTwoWayCorner,11
317,woodShapes:poleThreeWayCorner,4
320,woodShapes:poleSquareSideCenteredTee,6
321,woodShapes:poleSquareSideCenteredTeeFourWay,20
322,woodShapes:poleSquareCornerBracketLeft,2
324,woodShapes:poleSquareCornerBracketRight,2
325,woodShapes:poleSquareBracketCorner,21
328,woodShapes:poleSquareBracketLeft,20
329,woodShapes:poleSquareBracketRight,18
333,woodShapes:poleSquareDouble,27
336,woodShapes:poleSquareDoubleTopDouble,2
337,woodShapes:cubePoleCorner,1
342,woodShapes:cubePoleCornerDouble,4
352,woodShapes:catwalkPlate,39
359,woodShapes:polePlate,21
366,woodShapes:poleSquareCornerRound,4
369,woodShapes:cubeQuarterCornerSquareTop,10
375,woodShapes:plate,65
376,woodShapes:plateCentered,8
378,woodShapes:plateCladding01,2
388,woodShapes:plateCornerHalfTop,2
405,woodShapes:plateHalf,4
415,woodShapes:platePole,4
420,woodShapes:platePoleCorner2,10
461,woodShapes:pillar50Corner,16
463,woodShapes:halfLengthPillar50,3
475,woodShapes:pillar50CenteredSquareTop,2
509,woodShapes:poleSupport,4
510,woodShapes:poleSupport2,4
512,woodShapes:poleCross,2
694,woodShapes:ramp,87
728,woodShapes:wedge60,22
729,woodShapes:wedge60Tip,5
730,woodShapes:wedge60TipHalf,4
733,woodShapes:wedge60TipHalfCornerLeft,1
734,woodShapes:wedge60TipHalfCornerRight,1
775,woodShapes:rampInclineHalfLeft,18
776,woodShapes:rampInclineHalfRight,17
827,woodShapes:wedge60InclineHalfLeft,1
828,woodShapes:wedge60InclineHalfRight,1
836,woodShapes:wedge60TipCornerBase,8
844,woodShapes:wedgeNarrowLow,8
845,woodShapes:wedgeNarrowTip,8
847,woodShapes:wedgeNarrowHighCorner,4
848,woodShapes:wedgeNarrowMidCorner,4
849,woodShapes:wedgeNarrowLowCorner,8
850,woodShapes:wedgeNarrowTipCorner,8
976,woodShapes:rampIncline,230
977,woodShapes:rampInclineFiller,148
978,woodShapes:rampInclineFillerHalfLeft,14
979,woodShapes:rampInclineFillerHalfRight,15
988,woodShapes:plateDiagonal,2
991,woodShapes:plateDiagonalFiller,1
1009,woodShapes:plateWedge60LeftTip,4
1010,woodShapes:plateWedge60RightTip,4
1136,woodShapes:stairsFilledQuarterVerticalUV,2
1137,woodShapes:stairsFilledVerticalUV,9
1146,woodShapes:stairs,10
1172,woodShapes:wedgeTipStairs,12
1268,woodShapes:cubeLocalNorthFace,217
1273,woodShapes:cubeBaseboard,6
1289,woodShapes:halfBaseboard4Sided,2
1371,woodShapes:cubeTrimCenterHalf,21
1399,woodShapes:cubeTrimQuarterEdge,16
1492,woodShapes:cubeTrimHalfSplitDiagonal,23
1496,woodShapes:cubeHalfTrimHalfSplitDiagonalOffset,2
1500,woodShapes:cubeTrimSplitWedge60Right,1
1509,woodShapes:cubeTrimQuarterEdgeTwoSided,66
1521,woodShapes:cubeTrimQuarterEdgeDouble,1
1624,woodShapes:doorTrimCorner,6
1626,woodShapes:doorTrim0.5m,2
1628,woodShapes:doorTrim1m,122
1629,woodShapes:doorTrim1mOffCenter,4
1635,woodShapes:doorTrimTop,9
1643,woodShapes:doorWindowTrim,8
1644,woodShapes:windowTrim,118
1645,woodShapes:windowTrimBottom,18
