id,name,count
1,terrStone,568
2,terrainFiller,40053
5,terrDirt,4740
16,terrGravel,657
259,woodShapes:cube,278
268,woodShapes:cubeHalfCorner,4
274,woodShapes:cubeHalf,207
310,woodShapes:pole,97
311,woodShapes:poleCentered,10
322,woodShapes:poleSquareCornerBracketLeft,8
337,woodShapes:cubePoleCorner,4
350,woodShapes:poleSquareDiagonal,5
375,woodShapes:plate,129
389,woodShapes:plateCornerHalfTopOffset,2
405,woodShapes:plateHalf,16
417,woodShapes:platePoleCentered,4
442,woodShapes:plateDouble,2
496,woodShapes:pillar0.05,30
497,woodShapes:pillar0.05Half,10
500,woodShapes:pillar0.05Middle,6
689,woodShapes:plateQuarterRoundOutside,40
1000,woodShapes:plateRamp,4
1106,woodShapes:gazeboRoofV102,4
1107,woodShapes:gazeboRoofV103,4
1108,woodShapes:gazeboRoofV104,4
1109,woodShapes:gazeboRoofV105,4
1110,woodShapes:gazeboRoofV106,4
1111,woodShapes:gazeboRoofV107,4
1112,woodShapes:gazeboRoofV108,4
1113,woodShapes:gazeboRoofV109,4
1114,woodShapes:gazeboRoofV110,8
1115,woodShapes:gazeboRoofV111,4
1116,woodShapes:gazeboRoofV1Topper,1
1120,woodShapes:platePillar0.025,1
1122,woodShapes:cubeHalfPillar0.025,12
1172,woodShapes:wedgeTipStairs,4
1176,woodShapes:wedgeStairs,4
1188,woodShapes:catwalkV1,3
1189,woodShapes:catwalkV1RailSingle,7
1196,woodShapes:catwalkV1RailOnly,53
1260,woodShapes:railing,2
1261,woodShapes:railingDiagonal,4
1263,woodShapes:railingBroke01,1
1399,woodShapes:cubeTrimQuarterEdge,11
1401,woodShapes:halfTrimQuarterEdge,24
1424,woodShapes:cubeTrimQuarterCircle,4
1436,woodShapes:cubeHalfTrimQuarterCornerInsideOffset,4
1545,woodShapes:rampTrimQuarterEdge2Sided,4
1627,woodShapes:doorTrim0.6m,3
1628,woodShapes:doorTrim1m,27
1629,woodShapes:doorTrim1mOffCenter,4
1631,woodShapes:doorTrimDiagonal,4
1632,woodShapes:doorTrim1mDouble,2
1656,woodShapes:archDoorTrim,2
1710,woodShapes:windowStoreCornerEmpty,2
1763,woodShapes:windowPlateCircleEmpty,4
1877,woodShapes:windowPanel,2
1968,woodShapes:sidingBurnt02,4
1969,woodShapes:sidingBurnt03,2
2047,woodShapes:prepTableCornerRight,2
2106,woodShapes:mirror,6
2107,woodShapes:mirrorRound,1
2116,woodShapes:trellisDiamond,60
2125,woodShapes:fence,110
2128,woodShapes:fenceBroken1,6
2129,woodShapes:fenceBroken2,4
2148,woodShapes:farmPlot,2
2317,brickShapes:cube,40
2533,brickShapes:pillar50CenteredSquareTop,2
3981,brickShapes:concreteDestroyed05,8
3983,brickShapes:concreteDestroyed07,2
3984,brickShapes:concreteDestroyed08,1
3985,brickShapes:concreteDestroyed09,3
3987,brickShapes:concreteDestroyedFiller02,1
6433,concreteShapes:cube,3
10729,awningShapes:billboard,108
10775,awningShapes:pillar0.0125Centered,10
12520,awningShapes:bowlingBall,4
12607,corrugatedMetalShapes:cube,4
12622,corrugatedMetalShapes:cubeHalf,5
12624,corrugatedMetalShapes:cube0.25m,5
12625,corrugatedMetalShapes:cubeCornerBeveled,4
12637,corrugatedMetalShapes:cubeQuarterPlateCorner,6
12680,corrugatedMetalShapes:poleSquareSideCenteredBracketDouble,1
12700,corrugatedMetalShapes:catwalkPlate,2
12723,corrugatedMetalShapes:plate,111
12735,corrugatedMetalShapes:plateCorner,3
12736,corrugatedMetalShapes:plateCornerHalfTop,1
12741,corrugatedMetalShapes:plateCornerHalfTopHalf,2
12753,corrugatedMetalShapes:plateHalf,26
12757,corrugatedMetalShapes:plateCornerBeveled,2
12765,corrugatedMetalShapes:platePoleCentered,4
12768,corrugatedMetalShapes:platePoleCorner2,12
12799,corrugatedMetalShapes:halfPillar1m,3
12832,corrugatedMetalShapes:pillar0.0125,66
12834,corrugatedMetalShapes:pillar0.0125SideCentered,7
12837,corrugatedMetalShapes:pillar0.025Centered,45
12844,corrugatedMetalShapes:pillar0.05,2
12848,corrugatedMetalShapes:pillar0.05Middle,6
13038,corrugatedMetalShapes:plateFenderSkirt,2
13039,corrugatedMetalShapes:plateFenderSkirtLeft,2
13040,corrugatedMetalShapes:plateFenderSkirtRight,2
13192,corrugatedMetalShapes:wedgeNarrowLow,2
13494,corrugatedMetalShapes:stairs,1
13515,corrugatedMetalShapes:stairsSpiralPillar,10
13972,corrugatedMetalShapes:doorTrimCorner,8
13974,corrugatedMetalShapes:doorTrim0.5m,6
13976,corrugatedMetalShapes:doorTrim1m,58
13983,corrugatedMetalShapes:doorTrimTop,1
13984,corrugatedMetalShapes:doorTrimTwoSided,2
13985,corrugatedMetalShapes:doorTrimThreeSided,2
14054,corrugatedMetalShapes:windowStoreOneSidedEmpty,4
14098,corrugatedMetalShapes:windowPlateRoundedSquare4SidedHalfWidthBroken,3
