id,name,count
2,terrainFiller,19832
5,terrDirt,17
16,terrGravel,1552
259,woodShapes:cube,241
274,woodShapes:cubeHalf,240
292,woodShapes:cubeHalfPoleQuarterSideCentered,4
293,woodShapes:halfQuarterPost,13
316,woodShapes:pole,31
318,woodShapes:poleSideCentered,109
319,woodShapes:poleHalf,1
340,woodShapes:poleSquareSideCenteredBracketDouble,35
360,woodShapes:catwalkPlate,2
362,woodShapes:polePlateHalf,3
383,woodShapes:plate,34
384,woodShapes:plateCentered,2
413,woodShapes:plateHalf,39
416,woodShapes:plateQuarter,1
428,woodShapes:platePoleCorner2,10
430,woodShapes:poleTwoWayPlate2,4
456,woodShapes:halfPillar100,53
468,woodShapes:halfPillar50,1
469,woodShapes:pillar50Corner,74
741,woodShapes:wedge60,105
742,woodShapes:wedge60Tip,173
743,woodShapes:wedge60TipHalf,58
744,woodShapes:wedge60TipHalfOutsideCorner,1
745,woodShapes:wedge60TipHalfInsideCorner,1
748,woodShapes:wedge60Corner,1
749,woodShapes:wedge60TipCorner,3
750,woodShapes:wedge60InsideCorner2,1
751,woodShapes:wedge60InsideCorner,3
754,woodShapes:wedge60Incline,57
789,woodShapes:wedgeInclineCornerTop,1
858,woodShapes:wedge60TipCornerBase,1
950,woodShapes:gable3Quarter,28
953,woodShapes:gable3QuarterFull,2
1109,woodShapes:slopeHalfPlateLeft01,3
1110,woodShapes:slopeHalfPlateLeft02,2
1112,woodShapes:slopeHalfPlateLeft04,1
1113,woodShapes:slopeHalfPlateLeftFiller,1
1171,woodShapes:wedge60InclinePillar0.025,1
1176,woodShapes:wedge60TipPillar0.025,1
1196,woodShapes:stairs,4
1222,woodShapes:wedgeTipStairs,38
1259,woodShapes:catwalkV1RailOnly,2
1401,woodShapes:cubeTrimHalfSplit4Sided,14
1402,woodShapes:cubeTrimHalfSplit,70
1582,woodShapes:cubeTrimQuarterEdgeTwoSided,18
1652,woodShapes:cubeHeatVent,3
1707,woodShapes:doorTrim0.5m,1
1709,woodShapes:doorTrim1m,2
1715,woodShapes:doorTrim2m,28
1716,woodShapes:doorTrimTop,16
1725,woodShapes:windowTrim,16
1726,woodShapes:windowTrimBottom,14
1800,woodShapes:windowStoreThreeSidedFull,9
1801,woodShapes:windowStoreFourSidedFull,9
1815,woodShapes:windowStoreThreeSidedBroken,5
1816,woodShapes:windowStoreFourSidedBroken,6
2136,woodShapes:woodDebris01,9
2138,woodShapes:woodDebris03,1
2140,woodShapes:shantywall02,1
2142,woodShapes:shantywall04,1
2153,woodShapes:sawhorse,6
2154,woodShapes:floorJoist,111
2204,woodShapes:tableDynamic,2
2206,woodShapes:prepTable,1
2241,woodShapes:bookcaseEmpty,7
2288,woodShapes:fence,115
2291,woodShapes:fenceBroken1,6
2292,woodShapes:fenceBroken2,6
