id,name,count
2,terrainFiller,4397
14,terrDestroyedStone,24
16,terrGravel,932
17,terrAsphalt,2739
18,terrConcrete,49
259,woodShapes:cube,1629
274,woodShapes:cubeHalf,64
297,woodShapes:cubeQuarter,212
299,woodShapes:quarterCenteredWall,7
383,woodShapes:plate,488
384,woodShapes:plateCentered,18
413,woodShapes:plateHalf,4
793,woodShapes:rampInclineHalfLeft,12
853,woodShapes:wedge60InclineHalfLeft,12
854,woodShapes:wedge60InclineHalfRight,12
859,woodShapes:wedge60TipHalfLeft,16
860,woodShapes:wedge60TipHalfRight,16
1008,woodShapes:rampInclineFillerHalfRight,12
1193,woodShapes:stairsFilledQuarterVerticalUV,4
1345,woodShapes:cubeBaseboard,103
1346,woodShapes:cubeBaseboardCorner,4
1730,woodShapes:doorTrim1m,8
1737,woodShapes:doorTrimTop,1
1746,woodShapes:windowTrim,179
1747,woodShapes:windowTrimBottom,2
1974,woodShapes:window01,3
1976,woodShapes:window01Broken02,5
1977,woodShapes:window01Broken03,7
1978,woodShapes:window01Broken04,4
1979,woodShapes:window01Broken05,4
2236,woodShapes:counterFlipDoorClosed,2
2246,woodShapes:counterHollowFront,1
2247,woodShapes:counterHollowCombo,2
2276,woodShapes:tvStand02,1
2523,brickShapes:cube,5150
2532,brickShapes:cubeHalfCorner,4
2538,brickShapes:cubeHalf,741
2539,brickShapes:cubeHalfCentered,22
2562,brickShapes:cubeQuarterCenter,64
2644,brickShapes:cubeHalfPlateCorner2,8
3267,brickShapes:halfRampStairs50,2
3609,brickShapes:cubeBaseboard,162
3615,brickShapes:cubeBaseboard4Sided,20
3624,brickShapes:halfBaseboard,44
3625,brickShapes:halfBaseboardOffset,2
3626,brickShapes:cubeHalfBaseboard2SidedLeft,5
3627,brickShapes:cubeHalfBaseboard2SidedRight,5
3838,brickShapes:cubeTrimHalfSplitDiagonal,15
3840,brickShapes:cubeTrimHalfSplitDiagonalBaseboard,1
4272,brickShapes:archWindowCentered,8
4329,brickShapes:brickDestroyed02,2
4330,brickShapes:brickDestroyed03,2
4331,brickShapes:brickDestroyed04,1
7051,concreteShapes:cube,4527
7066,concreteShapes:cubeHalf,135
7089,concreteShapes:cubeQuarter,3
7175,concreteShapes:plate,112
7239,concreteShapes:billboard,1
7247,concreteShapes:pillar100,4
7482,concreteShapes:plateRound,7
7498,concreteShapes:ramp,10
7663,concreteShapes:wedgeNarrowHigh,6
7664,concreteShapes:wedgeNarrowMid,6
7665,concreteShapes:wedgeNarrowLow,6
7666,concreteShapes:wedgeNarrowTip,6
7796,concreteShapes:halfRampStairs50Filler,2
7985,concreteShapes:stairsFilledQuarterVerticalUV,15
7986,concreteShapes:stairsFilledVerticalUV,14
7999,concreteShapes:stairsFilledRailingLeft,14
8000,concreteShapes:stairsFilledRailingRight,14
8023,concreteShapes:wedgeTipStairs,7
8032,concreteShapes:wedgeStairs,7
8094,concreteShapes:wedgeNarrowHighRightTrim2SidedRailEnd,1
8095,concreteShapes:wedgeNarrowMidRightTrim2SidedRail,1
8096,concreteShapes:wedgeNarrowLowRightTrim2SidedRail,1
8098,concreteShapes:wedgeNarrowTipRightTrim2SidedRailEnd,1
8308,concreteShapes:cubeTrimQuarterCornerInside,2
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,209
8389,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,1
8403,concreteShapes:cubeTrimCornerRound,7
9049,concreteShapes:cubeTileBroken,57
9132,concreteShapes:plateSidewalkBroke01,1
9133,concreteShapes:plateSidewalkBroke02,3
9134,concreteShapes:plateSidewalkBroke03,4
9135,concreteShapes:plateSidewalkBroke04,1
9138,concreteShapes:roadPaintDash,107
9139,concreteShapes:roadPaintDashCNTR,84
9141,concreteShapes:roadPaintDiagonal,19
9142,concreteShapes:roadPaintDashDiagonalFiller,33
9353,steelShapes:cubeQuarter,26
9524,steelShapes:pillar50,1
9806,steelShapes:wedge60TipCorner,2
10048,steelShapes:pyramid,1
11279,steelShapes:securityGatePlate,8
13843,corrugatedMetalShapes:cube,127
13858,corrugatedMetalShapes:cubeHalf,1156
13900,corrugatedMetalShapes:pole,10
13901,corrugatedMetalShapes:poleCentered,40
13902,corrugatedMetalShapes:poleSideCentered,20
13967,corrugatedMetalShapes:plate,184
13968,corrugatedMetalShapes:plateCentered,62
14052,corrugatedMetalShapes:pillar50,71
14083,corrugatedMetalShapes:pillar0.025Centered,4
14125,corrugatedMetalShapes:pillar25,9
14126,corrugatedMetalShapes:pillar25x25x25Tee,3
14272,corrugatedMetalShapes:cornerRound,18
14274,corrugatedMetalShapes:plateRound,2
14326,corrugatedMetalShapes:wedge60,11
14327,corrugatedMetalShapes:wedge60Tip,301
14336,corrugatedMetalShapes:wedge60InsideCorner,1
14339,corrugatedMetalShapes:wedge60Incline,174
14351,corrugatedMetalShapes:wedge60InclineCorner,2
14449,corrugatedMetalShapes:wedge60TipCornerBase,12
14590,corrugatedMetalShapes:rampInclineFiller,3
14715,corrugatedMetalShapes:slopePlateFiller,5
14902,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,1
14903,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,1
14909,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
14910,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,1
14916,corrugatedMetalShapes:railing,6
14918,corrugatedMetalShapes:railingCorner,1
