id,name,count
2,terrainFiller,1995
16,terrGravel,180
17,terrAsphalt,466
259,woodShapes:cube,366
274,woodShapes:cubeHalf,237
316,woodShapes:pole,88
317,woodShapes:poleCentered,2
319,woodShapes:poleHalf,8
345,woodShapes:cubePoleCorner,15
360,woodShapes:catwalkPlate,26
367,woodShapes:polePlate,1
383,woodShapes:plate,230
386,woodShapes:plateCladding01,2
389,woodShapes:plateCladding04,30
395,woodShapes:plateCorner,36
403,woodShapes:plateCornerTwoWall,8
412,woodShapes:plateThreeQuarter,10
413,woodShapes:plateHalf,44
416,woodShapes:plateQuarter,1
418,woodShapes:plateHalfTriangle,2
425,woodShapes:platePoleCentered,1
428,woodShapes:platePoleCorner2,30
434,woodShapes:poleThreeWayPlate2,12
447,woodShapes:billboard,1
467,woodShapes:pillar100Cap,2
468,woodShapes:pillar50,5
470,woodShapes:pillar50Corner,23
472,woodShapes:halfLengthPillar50,11
473,woodShapes:halfLengthPillar50Corner,2
497,woodShapes:pillar0.025,2
533,woodShapes:pipeCap,2
570,woodShapes:cube5mRound01,1
571,woodShapes:cube5mRound02,1
573,woodShapes:cube5mRound04,1
579,woodShapes:cubeQuarter5mRound02,1
580,woodShapes:cubeQuarter5mRound03,2
581,woodShapes:cubeQuarter5mRound04,2
582,woodShapes:cubeQuarter5mRound05,1
629,woodShapes:cubeHalf7mRound01,4
630,woodShapes:cubeHalf7mRound02,4
631,woodShapes:cubeHalf7mRound03,4
632,woodShapes:cubeHalf7mRound04,4
633,woodShapes:cubeHalf7mRound05,4
690,woodShapes:plateRound,2
691,woodShapes:plateHalfCornerRoundLeft,2
692,woodShapes:plateHalfCornerRoundRight,2
702,woodShapes:plateFenderSkirt,1
742,woodShapes:wedge60,64
743,woodShapes:wedge60Tip,56
744,woodShapes:wedge60TipHalf,72
745,woodShapes:wedge60TipHalfOutsideCorner,4
749,woodShapes:wedge60Corner,4
750,woodShapes:wedge60TipCorner,4
946,woodShapes:wedgeTipQuarter,1
948,woodShapes:wedgeTipQuarterTee,1
966,woodShapes:gablePlateHalf,2
967,woodShapes:gablePlateEnd,2
980,woodShapes:cubeHalfgableInvertedQuarter,1
1004,woodShapes:halfRampStairs50Filler,4
1019,woodShapes:plateDiagonal,1
1031,woodShapes:plateRamp,2
1054,woodShapes:plateWedge60Tip,2
1055,woodShapes:plateWedge60TipHalfLeft,3
1056,woodShapes:plateWedge60TipHalfRight,3
1062,woodShapes:plateWedge60InclineHalfLeft,1
1063,woodShapes:plateWedge60InclineHalfRight,1
1065,woodShapes:plateWedge60FillerHalfLeft,2
1066,woodShapes:plateWedge60FillerHalfRight,2
1073,woodShapes:plateWedge60TipWallLeft,2
1074,woodShapes:plateWedge60TipWallRight,2
1112,woodShapes:slopePlate01,8
