id,name,count
1,terrStone,259
2,terrainFiller,2618
16,terrGravel,92
22,terrOrePotassiumNitrate,72
29,terrStoneHelper,843
13985,corrugatedMetalShapes:pillar0.05Middle,2
18459,cntAmmoPileSmall,1
18698,cntTrashBoxRandomLootHelper,2
18699,garbage_decor1,1
18708,newspaperDecor01,1
18713,rubbishDecor02,1
18825,cntCoolerRandomLootHelper,1
18872,cntBagsRandomLootHelper,1
19298,lanternDecorLightRandomHelper,1
19684,cntCampingTentDomeRandomHelper,1
19685,cntCampingTentAngularRandomHelper,2
20113,goreBlockHumanCorpse1,1
20147,cntBirdnest,1
20154,modularFireWoodStackC,2
20203,emberPileFireplaceLogsLightPOI,1
20491,cntCollapsedCampfire,1
21851,chairCampingRandomHelper,3
22620,cntShoesPileLeatherBoots,1
22621,cntShoesPileBusinessShoes,1
22673,cntBookPileRandomLootHelper2,1
23657,signCanvasWood0.75x0.75,1
24338,treeSmallThinRandomHelper,3
24455,biomeHarvestRandomHelper,3
24480,sleeperBack,4
24481,sleeperSideLeft,3
24482,sleeperSideRight,2
24483,sleeperStomach,1
24493,sleeperVultureAnimal,2
