id,name,count
2,terrainFiller,2184
5,terrDirt,41
16,terrGravel,124
29,terrStoneHelper,11
2626,brickShapes:plateCladding01,4
3179,brickShapes:wedgeTipQuarter,6
3945,brickShapes:doorTrimCorner,12
3949,brickShapes:doorTrim1m,30
4509,brickShapes:mirror,16
4739,cobblestoneShapes:cube,19
4755,cobblestoneShapes:cubeHalfCentered,50
4863,cobblestoneShapes:plate,2
5630,cobblestoneShapes:gazeboRoofV1Topper,5
6215,cobblestoneShapes:archTrim,2
6528,cobblestoneShapes:brickHalfCenteredDestroyed01,6
6529,cobblestoneShapes:brickHalfCenteredDestroyed02,6
6530,cobblestoneShapes:brickHalfCenteredDestroyed03,15
6979,concreteShapes:cube,10
7096,concreteShapes:cubeQuarterCenteredSquareTop,2
7109,concreteShapes:plateCladding04,16
7714,concreteShapes:poleSquareCenteredPyramid,1
7907,concreteShapes:stairsFilledVerticalUV,4
8429,concreteShapes:doorTrim1m,13
8812,concreteShapes:concreteDestroyedFiller04,7
9003,concreteShapes:crossSmall,1
9004,concreteShapes:balusterCorner01,2
9036,concreteShapes:plateSidewalkBroke01,5
9037,concreteShapes:plateSidewalkBroke02,6
9039,concreteShapes:plateSidewalkBroke04,3
15149,corrugatedMetalShapes:doorTrim1m,8
15175,corrugatedMetalShapes:archTrim,4
18487,cntOldWestChestRandomLootHelper,1
18658,newspaperDecor01,1
18659,newspaperDecor02,1
18660,newspaperDecor03,1
18663,rubbishDecor02,3
18666,rubbishDecor05,2
18671,rubbishDecor11,2
18672,rubbishDecor12,2
19155,lightPorchGrey,2
19764,chainlinkFenceDoorDouble,1
19844,ironWroughtFence_01,15
19846,ironWroughtFenceWall_01,11
19850,ironWroughtFenceWallDamageFallen_01,1
19851,ironWroughtFenceWallDamageFallen_02,1
19853,ironWroughtFenceWallBrokenLeft_01,1
19856,ironWroughtFenceWallBrokenRight_01,1
20071,birdBathPlanter,1
20072,planter,3
21886,parkBenchA,3
21998,cntCasketModernClosedRandomHelper,2
22020,cntCoffinWildWestRandomHelper,6
22027,graveStone01,1
22030,graveStone04,1
22031,graveStone05,1
22913,rebarDestroyed,1
22939,concreteDestroyed05,1
23978,treeDeadPineLeaf,2
23988,plantShrubRandomHelper,27
23989,plantHangingIvy01,1
23991,treeDeadTree01,2
23992,treeDeadTree02,1
24036,treeSmallRandomHelper,1
24038,treeMediumRandomHelper,1
24184,sleeperSit,3
24185,sleeperBack,1
24186,sleeperSideLeft,3
