id,name,count
2,terrainFiller,3491
5,terrDirt,9
16,terrGravel,92
259,woodShapes:cube,13
316,woodShapes:pole,38
322,woodShapes:poleTwoWayCorner,4
383,woodShapes:plate,40
401,woodShapes:plateCornerHalfTopHalf,1
413,woodShapes:plateHalf,5
416,woodShapes:plateQuarter,1
420,woodShapes:plateQuarterTriangleCorner,2
427,woodShapes:platePoleCorner,4
428,woodShapes:platePoleCorner2,14
795,woodShapes:rampInclinePlateRight,2
1033,woodShapes:plateWedge60LeftTip,4
1034,woodShapes:plateWedge60RightTip,4
1041,woodShapes:plateWedge60LeftHollow,2
1042,woodShapes:plateWedge60RightHollow,2
1047,woodShapes:plateWedge60Tip,10
1054,woodShapes:plateWedge60Incline,10
1064,woodShapes:plateWedge60InclineWallLeft,2
1065,woodShapes:plateWedge60InclineWallRight,2
1066,woodShapes:plateWedge60TipWallLeft,2
1067,woodShapes:plateWedge60TipWallRight,2
1196,woodShapes:stairs,1
1251,woodShapes:catwalkV1,6
1255,woodShapes:catwalkV1Wedge,1
1472,woodShapes:cubeTrimQuarterEdge,7
1503,woodShapes:cubeTrimQuarterCornerOutside,1
1707,woodShapes:doorTrim0.5m,6
1709,woodShapes:doorTrim1m,14
1710,woodShapes:doorTrim1mOffCenter,1
1712,woodShapes:doorTrimDiagonal,1
1713,woodShapes:doorTrim1mDouble,1
1801,woodShapes:windowStoreFourSidedFull,2
2032,woodShapes:windowBoarded,14
2203,woodShapes:table,1
2241,woodShapes:bookcaseEmpty,2
2247,woodShapes:bookcaseQuarterEmptyOffset,1
2288,woodShapes:fence,19
2291,woodShapes:fenceBroken1,2
2292,woodShapes:fenceBroken2,3
2499,brickShapes:cube,1
2785,brickShapes:3mTubeCenter,4
2786,brickShapes:3mTubeCorner,4
2789,brickShapes:3mTunnelCenter,19
2793,brickShapes:3mTunnelCorner,20
13823,corrugatedMetalShapes:plate,8
13853,corrugatedMetalShapes:plateHalf,12
13856,corrugatedMetalShapes:plateQuarter,4
13931,corrugatedMetalShapes:pillar50Plate,2
13940,corrugatedMetalShapes:pillar0.025Middle,2
13949,corrugatedMetalShapes:pillar0.05Middle,5
13980,corrugatedMetalShapes:pillar25,1
14520,corrugatedMetalShapes:plateWedge60TipPipe,1
15151,corrugatedMetalShapes:doorTrim1mOffCenterCorner,2
18411,cntAmmoPileSmall,1
18429,cntFoodPileSmallCornerRandomHelper,1
18479,cntWoodenChestClosed,1
18547,cntCabinetOldBottomLootHelper,1
18555,cntCupboardCabinetOldTopLootHelper,1
18557,cntCupboardCabinetOldTopOpen,1
18564,utilitySink,1
18660,newspaperDecor03,2
18663,rubbishDecor02,1
18664,rubbishDecor03,1
18665,rubbishDecor04,1
18670,rubbishDecor10,1
18671,rubbishDecor11,1
18672,rubbishDecor12,1
18673,rubbishDecor13,1
18675,bloodDecor02,1
18676,bloodDecor05,1
18688,cntBinTrashMetalEmptyWhite,1
18789,cntBackpack03,1
18964,keyRackWood01,1
19053,cntWoodBurningStove,1
19238,lanternOld_02,2
19356,candleWallLight,1
19627,tarpFenceGreen,2
19628,tarpFenceFallingRightGreen,1
19762,chainlinkFenceDoorDouble,1
19877,pictureFrame_01b,1
19886,pictureFrame_01k,1
19904,calendar2034,1
19991,hubCapsHanging,1
20015,decoCarTireFlat,1
20037,goreBlockHumanCorpse2,1
20087,horseshoe_02,1
20088,horseshoe_03,1
20092,modularRopeTiledSideCentered,6
20093,modularRopeTopTiedSideCentered,1
20103,resourceRock01,1
20104,resourceRock02,1
20233,palletBagFertilizerBaseMed,1
20237,palletBagFertilizerSingleFlat,1
20406,cntCollapsedWorkbench,1
20443,oldWoodDoor,2
21225,curtainDrapesRightHalfTopDirtyWhite,1
21491,cntArmoireDoorsBlack,1
21513,cntArmoireSideOffsetBlack,2
21535,cntArmoireTopBackBlack,1
21579,cntArmoireDrawerBlackRandomLootHelper,1
21681,woodChair1,1
21682,woodChair1Broken,1
21747,barStoolBrown,1
21889,wineBarrelPlain,2
21898,decoWineBottleShelfRow,1
21899,decoWineBottlePile01,1
21932,bunkBedMessy,1
22071,cntRollingToolBoxClosedRed,1
22406,cntShoesPileLeatherBoots,1
22413,cntBookcaseGoodRandomLootHelper,1
23004,pipeSmallWall1x1,1
23014,pipeSmallWallCenterBridge,1
23440,barbedWireSheet,12
23966,plantShrubRandomHelper,8
23969,treeDeadTree01,1
23971,treePlainsTree2,1
24015,treeLargeRandomHelper,1
24028,treeForestGrassDiagonal,5
24087,plantedPotatoHarvestRandomHelper,4
24121,plantedPumpkin3HarvestRandomHelper,3
24125,farmPlotBlockPlayer,12
24160,sleeperSit,1
24162,sleeperSideLeft,1
24163,sleeperSideRight,2
24165,sleeperIdle,2
