id,name,count
2,terrainFiller,1867
16,terrGravel,106
2499,brickShapes:cube,185
2556,brickShapes:pole,4
2607,brickShapes:polePlate,72
2610,brickShapes:polePlateCorner,6
2981,brickShapes:wedge60,5
2982,brickShapes:wedge60Tip,9
3190,brickShapes:gable3Quarter,2
3576,brickShapes:cubeBaseboard,29
3580,brickShapes:cubeBaseboard2Sided,2
3642,brickShapes:cubeTrimHalfSplit,3
3712,brickShapes:cubeTrimQuarterEdge,4
4283,brickShapes:brickDestroyed01,14
4284,brickShapes:brickDestroyed02,8
4285,brickShapes:brickDestroyed03,4
4286,brickShapes:brickDestroyed04,7
4287,brickShapes:brickDestroyed05,1
4301,brickShapes:cubeTrimDestroyed01,4
4303,brickShapes:cubeTrimDestroyed03,3
4304,brickShapes:cubeTrimDestroyed04,2
4308,brickShapes:cubeTrimDestroyed08,1
4309,brickShapes:cubeTrimDestroyed09,1
4465,brickShapes:plateCounter02,6
6979,concreteShapes:cube,321
7081,concreteShapes:polePlateQuarter,2
7082,concreteShapes:polePlateHalf,1
8056,concreteShapes:cubeBaseboard,42
8192,concreteShapes:cubeTrimQuarterEdge,3
8227,concreteShapes:cubeTrimQuarterCornerInside,2
8429,concreteShapes:doorTrim1m,12
9042,concreteShapes:roadPaintDash,4
9107,concreteShapes:cubeDrainStraightEnd,10
9109,concreteShapes:cubeDrainEndCap,4
13699,corrugatedMetalShapes:cube,22
13714,corrugatedMetalShapes:cubeHalf,4
13720,corrugatedMetalShapes:cubeHalfPoleSquareCorner3Way,4
13756,corrugatedMetalShapes:pole,69
13757,corrugatedMetalShapes:poleCentered,1
13758,corrugatedMetalShapes:poleSideCentered,9
13765,corrugatedMetalShapes:poleSquareCenteredTee,2
13766,corrugatedMetalShapes:poleSquareSideCenteredTee,6
13767,corrugatedMetalShapes:poleSquareSideCenteredTeeFourWay,2
13770,corrugatedMetalShapes:poleSquareCornerBracketLeft,3
13772,corrugatedMetalShapes:poleSquareCornerBracketRight,4
13773,corrugatedMetalShapes:poleSquareBracketCorner,7
13775,corrugatedMetalShapes:poleSquareBracketCornerPlate02,3
13776,corrugatedMetalShapes:poleSquareBracketLeft,7
13777,corrugatedMetalShapes:poleSquareBracketRight,6
13785,corrugatedMetalShapes:cubePoleCorner,4
13786,corrugatedMetalShapes:cubePoleCentered,1
13787,corrugatedMetalShapes:cubePoleSideCentered,2
13797,corrugatedMetalShapes:corniceBracketHalfCentered,2
13798,corrugatedMetalShapes:poleSquareDiagonal,7
13801,corrugatedMetalShapes:polePlateQuarter,4
13802,corrugatedMetalShapes:polePlateHalf,23
13807,corrugatedMetalShapes:polePlate,23
13823,corrugatedMetalShapes:plate,16
13830,corrugatedMetalShapes:plateCladding05,2
13868,corrugatedMetalShapes:platePoleCorner2,8
13902,corrugatedMetalShapes:quarterPillar1m,24
13903,corrugatedMetalShapes:plateQuarterRoundCorner,4
13907,corrugatedMetalShapes:pillar50,13
13909,corrugatedMetalShapes:pillar50Corner,1
13910,corrugatedMetalShapes:halfPillar50Corner,1
13925,corrugatedMetalShapes:pillar50CenteredSquareBottom,1
13928,corrugatedMetalShapes:cubeHalfTopPole1mBottom,2
13929,corrugatedMetalShapes:cubeHalfBottomPole1mTop,2
13933,corrugatedMetalShapes:pillar0.0125,4
13936,corrugatedMetalShapes:pillar0.025,4
13937,corrugatedMetalShapes:pillar0.025Half,4
13942,corrugatedMetalShapes:pillar0.025Double,2
13949,corrugatedMetalShapes:pillar0.05Middle,1
13954,corrugatedMetalShapes:pillar0.25Triple,2
13968,corrugatedMetalShapes:pipeJoint,2
13971,corrugatedMetalShapes:pipeCorner,2
13973,corrugatedMetalShapes:pipeThin,1
13974,corrugatedMetalShapes:pipeThinCornerDown,6
13981,corrugatedMetalShapes:pillar25x25x25Tee,2
13982,corrugatedMetalShapes:pillar50x25x50Tee,3
13985,corrugatedMetalShapes:3mTubeCenter,24
13986,corrugatedMetalShapes:3mTubeCorner,24
13998,corrugatedMetalShapes:cube3mCenter,10
14001,corrugatedMetalShapes:cube3mCorner,16
14182,corrugatedMetalShapes:wedge60Tip,25
14398,corrugatedMetalShapes:gablePlate,13
14399,corrugatedMetalShapes:gablePlateHalf,2
14464,corrugatedMetalShapes:plateRamp,4
14478,corrugatedMetalShapes:plateWedge60HalfOffset,22
14479,corrugatedMetalShapes:plateWedge60HalfLeftOffset,1
14480,corrugatedMetalShapes:plateWedge60HalfRightOffset,1
14487,corrugatedMetalShapes:plateWedge60Tip,31
14488,corrugatedMetalShapes:plateWedge60TipHalfLeft,5
14489,corrugatedMetalShapes:plateWedge60TipHalfRight,4
14494,corrugatedMetalShapes:plateWedge60Incline,30
14495,corrugatedMetalShapes:plateWedge60InclineHalfLeft,3
14496,corrugatedMetalShapes:plateWedge60InclineHalfRight,2
14498,corrugatedMetalShapes:plateWedge60FillerHalfLeft,4
