id,name,count
1,terrStone,89
2,terrainFiller,1696
5,terrDirt,36
16,terrGravel,128
413,woodShapes:plateHalf,2
1729,woodShapes:doorTrim1m,2
2223,woodShapes:table,1
2224,woodShapes:tableDynamic,2
2312,woodShapes:fenceBroken2,2
18571,cntAmmoPileSmall,1
18913,cntUtilityCartEmptyYellow,1
18937,cntCoolerRandomLootHelper,1
19222,cntCharcoalGrillRandomLootHelper,1
19800,cntCampingTentAngularRandomHelper,1
19930,logWallPillarCap,1
20320,palletBrownBoxesTile,1
20322,palletBrownBoxesTopSmall,2
20323,palletBrownBoxesLoose,2
20516,treePlant02,2
20535,plantAloePottedCornerGrey,1
20555,plantHousePottedCornerPurple,1
21927,chairFoldingMetalUnfoldedGrey,1
21958,chairCampingRed,1
21960,chairCampingYellow,2
22124,decoWineBottlePile01,1
22356,cntToolBoxRandomLootHelperGrey,1
22587,cntStoreProduceBasketCornerRandomLootHelper,4
22590,cntStoreProduceBasketRandomLootHelper,10
22592,cntStoreProduceBasketEmpty2,1
22595,cntStoreProduceBasketGourds1,1
23776,signCanvasWood2x1,1
24258,cntPickupTruck3Wide01RandomHelper,1
24416,semiFlatbedBack,1
24423,semiFlatbedFront,1
24482,treeDeadPineLeaf,1
24492,plantShrubRandomHelper,7
24495,treeDeadTree01,1
24497,treePlainsTree2,1
24540,treeSmallRandomHelper,1
24541,treeSmallThinRandomHelper,1
24542,treeMediumRandomHelper,1
24597,plantedGoldenrodHarvestRandomHelper,4
24684,sleeperSideLeft,1
24697,sleeperSnakeAnimal,1
24698,sleeperZombieDogAnimal,1
