id,name,count
2,terrainFiller,4472
5,terrDirt,125
16,terrGravel,239
259,woodShapes:cube,66
274,woodShapes:cubeHalf,173
275,woodShapes:cubeHalfCentered,10
282,woodShapes:cubeCornerBeveled,5
291,woodShapes:halfBlockPoleQuarter,6
293,woodShapes:halfQuarterPost,1
297,woodShapes:cubeQuarter,5
298,woodShapes:cubeQuarterCenter,2
376,woodShapes:cubeQuarterCenteredSquareTop,5
383,woodShapes:plate,156
395,woodShapes:plateCorner,14
403,woodShapes:plateCornerTwoWall,4
413,woodShapes:plateHalf,50
418,woodShapes:plateHalfTriangle,3
419,woodShapes:plateQuarterTriangle,2
420,woodShapes:plateQuarterTriangleCorner,4
428,woodShapes:platePoleCorner2,2
698,woodShapes:cubeQuarterRoundOutside,4
705,woodShapes:ramp,4
996,woodShapes:halfRampStairs50,4
997,woodShapes:halfRampStairs50Filler,6
998,woodShapes:rampIncline,28
999,woodShapes:rampInclineFiller,16
1031,woodShapes:plateWedge60Left,10
1032,woodShapes:plateWedge60Right,10
1190,woodShapes:stairsFilledDiagonal1,2
1191,woodShapes:stairsFilledDiagonal2,3
1196,woodShapes:stairs,1
1198,woodShapes:stairsRailing,1
1254,woodShapes:catwalkV1Corner,1
1323,woodShapes:railing,1
1364,woodShapes:cubeBaseboardChairRail4Sided,2
1376,woodShapes:halfChairRail4Sided,11
1387,woodShapes:rampInclineBaseboard4Sided,11
1388,woodShapes:rampInclineBaseboardChairRail4Sided,16
1389,woodShapes:rampInclineBaseboardFiller,13
1390,woodShapes:rampInclineBaseboardChairRailFiller,14
1402,woodShapes:cubeTrimHalfSplit,3
1474,woodShapes:halfTrimQuarterEdge,12
1583,woodShapes:cubeHalfTrimQuarterEdgeTwoSided,4
1589,woodShapes:cubeHalfTrimQuarterCornerOutsideTwoSided,4
1611,woodShapes:rampHalfTrimQuarterEdgeOffset,12
1614,woodShapes:rampHalfTrimQuarterEdgeFillerOffset,12
1620,woodShapes:rampHalfTrimQuarterEdgeFillerOffsetRight,2
1678,woodShapes:halfCrownCorner3,2
1679,woodShapes:halfCrownCorner4,2
1696,woodShapes:crownInsideCornerHalfLeft,1
1697,woodShapes:crownInsideCornerHalfRight,1
1709,woodShapes:doorTrim1m,1
1712,woodShapes:doorTrimDiagonal,4
2037,woodShapes:windowCentered,10
2038,woodShapes:windowPanel,33
2154,woodShapes:floorJoist,106
2179,woodShapes:plateBracketCentered,1
2202,woodShapes:coffeeTable,3
2203,woodShapes:table,3
2204,woodShapes:tableDynamic,4
2222,woodShapes:counterHollowFront,2
2223,woodShapes:counterHollowCombo,2
2224,woodShapes:plateCounter,5
2228,woodShapes:plateCounterHole,18
2241,woodShapes:bookcaseEmpty,2
2269,woodShapes:mirror,2
2288,woodShapes:fence,41
2293,woodShapes:fenceCentered,26
6979,concreteShapes:cube,16689
6988,concreteShapes:cubeHalfCorner,1
6994,concreteShapes:cubeHalf,1882
