id,name,count
2,terrainFiller,13716
5,terrDirt,282
14,terrDestroyedStone,46
16,terrGravel,43
17,terrAsphalt,2021
18,terrConcrete,136
29,terrStoneHelper,190
259,woodShapes:cube,131
375,woodShapes:plate,15
376,woodShapes:plateCentered,8
405,woodShapes:plateHalf,2
459,woodShapes:pillar50,6
476,woodShapes:pillar50CenteredSquareTop,2
729,woodShapes:wedge60,2
1274,woodShapes:cubeBaseboard,3
1610,woodShapes:crown,108
1615,woodShapes:crownInsideCorner,23
1625,woodShapes:doorTrimCorner,4
1629,woodShapes:doorTrim1m,10
1635,woodShapes:doorTrim2m,10
1636,woodShapes:doorTrimTop,12
1872,woodShapes:windowBoarded,10
1975,woodShapes:woodDebris01,1
1976,woodShapes:woodDebris02,1
1977,woodShapes:woodDebris03,1
1979,woodShapes:shantywall02,1
1980,woodShapes:shantywall03,4
1981,woodShapes:shantywall04,5
2040,woodShapes:coffeeTable,2
2042,woodShapes:tableDynamic,2
2062,woodShapes:plateCounter,2
2066,woodShapes:plateCounterHole,4
2105,woodShapes:pictureFrameFilled,1
3941,brickShapes:brickDestroyed01,2
6433,concreteShapes:cube,1459
6448,concreteShapes:cubeHalf,74
6484,concreteShapes:pole,418
6511,concreteShapes:cubePoleCorner,1
6540,concreteShapes:poleSquareCornerRound,11
6621,concreteShapes:pillar100,4
6869,concreteShapes:ramp,34
6876,concreteShapes:rampInsideCornerFull,2
7448,concreteShapes:cubeBaseboard,3
7469,concreteShapes:cubeBaseboardChairRail,86
7472,concreteShapes:cubeBaseboardChairRail4Sided,11
7574,concreteShapes:cubeTrimQuarterEdge,5
7609,concreteShapes:cubeTrimQuarterCornerInside,6
7684,concreteShapes:cubeTrimQuarterEdgeTwoSided,132
7696,concreteShapes:cubeTrimQuarterEdgeDouble,6
7701,concreteShapes:cubeTrimCornerRound,10
7705,concreteShapes:cubeTrimQuarterEdgeRound,2
8229,concreteShapes:cupboardCorner,7
8245,concreteShapes:cubeTileBroken,24
8333,concreteShapes:roadPaintDashCNTR,105
8491,steelShapes:cube,8
8523,steelShapes:cubeQuarter,4
12607,corrugatedMetalShapes:cube,467
12622,corrugatedMetalShapes:cubeHalf,28
12639,corrugatedMetalShapes:cubeQuarter,21
12653,corrugatedMetalShapes:cubeEighth,8
12723,corrugatedMetalShapes:plate,2
12753,corrugatedMetalShapes:plateHalf,28
12787,corrugatedMetalShapes:billboard,13
12807,corrugatedMetalShapes:pillar50,50
12821,corrugatedMetalShapes:pillar50CenterPlate,8
12838,corrugatedMetalShapes:pillar0.025Centered,1
13025,corrugatedMetalShapes:cornerRound,26
13043,corrugatedMetalShapes:ramp,14
13077,corrugatedMetalShapes:wedge60,5
13078,corrugatedMetalShapes:wedge60Tip,18
13090,corrugatedMetalShapes:wedge60Incline,5
13978,corrugatedMetalShapes:doorTrim1mOffCenter,2
13986,corrugatedMetalShapes:doorTrimThreeSided,2
