id,name,count
2,terrainFiller,10454
17,terrAsphalt,852
259,woodShapes:cube,3
383,woodShapes:plate,18
413,woodShapes:plateHalf,2
687,woodShapes:cornerRound,10
691,woodShapes:plateHalfCornerRoundRight,2
1105,woodShapes:slopePlate01,3
1109,woodShapes:slopeHalfPlateLeft01,1
1114,woodShapes:slopeHalfPlateRight01,1
1336,woodShapes:cubeBaseboard,10
1705,woodShapes:doorTrimCorner,6
1707,woodShapes:doorTrim0.5m,1
1709,woodShapes:doorTrim1m,31
1713,woodShapes:doorTrim1mDouble,2
1716,woodShapes:doorTrimTop,4
1718,woodShapes:doorTrimThreeSided,4
1725,woodShapes:windowTrim,2
1739,woodShapes:windowStoreOneSidedBulletproofFull,4
1747,woodShapes:windowStoreCornerBulletproofFull,12
1798,woodShapes:windowStoreOneSidedFull,7
1799,woodShapes:windowStoreTwoSidedFull,2
1800,woodShapes:windowStoreThreeSidedFull,2
1801,woodShapes:windowStoreFourSidedFull,7
1802,woodShapes:windowStoreCornerFull,10
1813,woodShapes:windowStoreOneSidedBroken,2
1817,woodShapes:windowStoreCornerBroken,2
1827,woodShapes:windowStoreOneSidedEmpty,3
2038,woodShapes:windowPanel,17
2146,woodShapes:scaffoldingPlankSupported,1
2203,woodShapes:table,1
2204,woodShapes:tableDynamic,2
2234,woodShapes:cubeHollow,6
2235,woodShapes:cubeBookcase,4
2241,woodShapes:bookcaseEmpty,6
2244,woodShapes:bookcaseHalfEmpty,3
2248,woodShapes:bookcaseQuarterDoubleEmpty,6
2250,woodShapes:bookcaseOpenEnded,4
2263,woodShapes:verticalBlindsTopRailOnly,11
2267,woodShapes:pictureFrame,4
2269,woodShapes:mirror,7
2279,woodShapes:trellisDiamond,7
2499,brickShapes:cube,530
2514,brickShapes:cubeHalf,95
2537,brickShapes:cubeQuarter,10
2556,brickShapes:pole,8
2600,brickShapes:catwalkPlate,6
2607,brickShapes:polePlate,12
2623,brickShapes:plate,83
2653,brickShapes:plateHalf,19
3426,brickShapes:stairsFilledQuarterVerticalUV,2
3576,brickShapes:cubeBaseboard,69
3580,brickShapes:cubeBaseboard2Sided,4
3581,brickShapes:cubeBaseboard3Sided,1
3591,brickShapes:halfBaseboard,6
3592,brickShapes:halfBaseboardOffset,4
3593,brickShapes:cubeHalfBaseboard2SidedLeft,1
3595,brickShapes:cubeHalfBaseboard3Sided,2
3601,brickShapes:cubeBaseboardChairRail,7
3602,brickShapes:cubeBaseboardChairRail2Sided,2
3611,brickShapes:halfChairRail,4
3633,brickShapes:counterBottomFiller,2
3642,brickShapes:cubeTrimHalfSplit,2
3652,brickShapes:cubeTrimHalfEdge2,2
3712,brickShapes:cubeTrimQuarterEdge,118
3713,brickShapes:cubeHalfTrimQuarterEdgeBottom,3
3714,brickShapes:halfTrimQuarterEdge,5
3743,brickShapes:cubeTrimQuarterCornerOutside,4
3822,brickShapes:cubeTrimQuarterEdgeTwoSided,2
3823,brickShapes:cubeHalfTrimQuarterEdgeTwoSided,1
3828,brickShapes:cubeTrimQuarterCornerOutsideTwoSided,4
3949,brickShapes:doorTrim1m,27
4284,brickShapes:brickDestroyed02,4
4301,brickShapes:cubeTrimDestroyed01,2
4302,brickShapes:cubeTrimDestroyed02,1
4303,brickShapes:cubeTrimDestroyed03,6
4304,brickShapes:cubeTrimDestroyed04,4
4305,brickShapes:cubeTrimDestroyed05,1
4481,brickShapes:bookcaseEmpty,4
6979,concreteShapes:cube,1718
6994,concreteShapes:cubeHalf,454
7002,concreteShapes:cubeCornerBeveled,4
7017,concreteShapes:cubeQuarter,137
7022,concreteShapes:quarterInsideCorner,9
7031,concreteShapes:cubeEighth,7
7082,concreteShapes:polePlateHalf,8
7087,concreteShapes:polePlate,20
7100,concreteShapes:cubeHalfPlateCorner2,13
7103,concreteShapes:plate,2
7416,concreteShapes:cubeHalfQuarterRoundInside,2
7426,concreteShapes:cubeHalfRamp,12
7744,concreteShapes:plateRamp,12
8006,concreteShapes:wedgeNarrowHighLeftTrim2SidedRail,1
8008,concreteShapes:wedgeNarrowMidLeftTrim2SidedRail,1
8009,concreteShapes:wedgeNarrowLowLeftTrim2SidedRail,1
8011,concreteShapes:wedgeNarrowTipLeftTrim2SidedRailEnd,1
8056,concreteShapes:cubeBaseboard,24
8122,concreteShapes:cubeTrimHalfSplit,2
8192,concreteShapes:cubeTrimQuarterEdge,124
8220,concreteShapes:cubeTrimQuarterSquare,1
8223,concreteShapes:cubeTrimQuarterCornerOutside,10
8227,concreteShapes:cubeTrimQuarterCornerInside,3
8296,concreteShapes:cubeTrimQuarterEdgeTwoSidedBottomCorner2,1
8299,concreteShapes:cubeTrimQuarterEdgeTwoSidedBottomCorner,1
8302,concreteShapes:cubeTrimQuarterEdgeTwoSided,117
8317,concreteShapes:cubeTrimQuarterEdgeDouble,12
8322,concreteShapes:cubeTrimCornerRound,6
8326,concreteShapes:cubeTrimQuarterEdgeRound,2
8362,concreteShapes:wedgeNarrowHighRightTrim2Sided,1
8363,concreteShapes:wedgeNarrowMidRightTrim2Sided,1
