id,name,count
2,terrainFiller,632
16,terrGravel,21
17,terrAsphalt,1316
259,woodShapes:cube,2
274,woodShapes:cubeHalf,4
316,woodShapes:pole,2
358,woodShapes:poleSquareDiagonal,4
383,woodShapes:plate,63
413,woodShapes:plateHalf,3
706,woodShapes:ramp,4
1711,woodShapes:crown,84
1716,woodShapes:crownInsideCorner,5
1730,woodShapes:doorTrim1m,2
1736,woodShapes:doorTrim2m,16
2236,woodShapes:counterFlipDoorClosed,4
2312,woodShapes:fence,1
2316,woodShapes:fenceBroken2,1
2523,brickShapes:cube,911
2538,brickShapes:cubeHalf,85
2970,brickShapes:ramp,4
3609,brickShapes:cubeBaseboard,7
3615,brickShapes:cubeBaseboard4Sided,28
3838,brickShapes:cubeTrimHalfSplitDiagonal,13
4350,brickShapes:cubeTrimDestroyed05,4
4351,brickShapes:cubeTrimDestroyed06,1
5768,cobblestoneShapes:wedgeStairs,3
7051,concreteShapes:cube,2251
7061,concreteShapes:cubeHalfCorner2,8
7066,concreteShapes:cubeHalf,616
7067,concreteShapes:cubeHalfCentered,87
7089,concreteShapes:cubeQuarter,140
7090,concreteShapes:cubeQuarterCenter,30
7091,concreteShapes:quarterCenteredWall,53
7094,concreteShapes:quarterInsideCorner,4
7095,concreteShapes:quarterInsideCorner3way,4
7108,concreteShapes:pole,127
7166,concreteShapes:poleSquareCornerRound,19
7247,concreteShapes:pillar100,4
7498,concreteShapes:ramp,8
7663,concreteShapes:wedgeNarrowHigh,1
7664,concreteShapes:wedgeNarrowMid,1
7665,concreteShapes:wedgeNarrowLow,1
7666,concreteShapes:wedgeNarrowTip,1
7795,concreteShapes:halfRampStairs50,5
7796,concreteShapes:halfRampStairs50Filler,8
7985,concreteShapes:stairsFilledQuarterVerticalUV,2
8094,concreteShapes:wedgeNarrowHighRightTrim2SidedRailEnd,1
8095,concreteShapes:wedgeNarrowMidRightTrim2SidedRail,1
8096,concreteShapes:wedgeNarrowLowRightTrim2SidedRail,1
8098,concreteShapes:wedgeNarrowTipRightTrim2SidedRailEnd,1
8143,concreteShapes:cubeBaseboard4Sided,2
8202,concreteShapes:cubeTrimHalfSplit4Sided,26
8203,concreteShapes:cubeTrimHalfSplit,15
8206,concreteShapes:halfTrimSplit,3
8273,concreteShapes:cubeTrimQuarterEdge,50
8304,concreteShapes:cubeTrimQuarterCornerOutside,13
8308,concreteShapes:cubeTrimQuarterCornerInside,7
8321,concreteShapes:cubeTrimQuarterCornerInsideTriangle,5
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,191
8389,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,20
8403,concreteShapes:cubeTrimCornerRound,3
8438,concreteShapes:cubeTrimQuarterRamp,6
9033,concreteShapes:cupboardCorner,4
9049,concreteShapes:cubeTileBroken,29
9139,concreteShapes:roadPaintDashCNTR,80
9353,steelShapes:cubeQuarter,22
9367,steelShapes:cubeEighth,4
9373,steelShapes:poleCentered,15
13843,corrugatedMetalShapes:cube,149
13858,corrugatedMetalShapes:cubeHalf,86
13900,corrugatedMetalShapes:pole,9
13967,corrugatedMetalShapes:plate,99
13979,corrugatedMetalShapes:plateCorner,5
14031,corrugatedMetalShapes:billboard,3
14052,corrugatedMetalShapes:pillar50,24
14081,corrugatedMetalShapes:pillar0.025,14
14272,corrugatedMetalShapes:cornerRound,9
14326,corrugatedMetalShapes:wedge60,11
14327,corrugatedMetalShapes:wedge60Tip,133
14333,corrugatedMetalShapes:wedge60Corner,4
14334,corrugatedMetalShapes:wedge60TipCorner,2
14336,corrugatedMetalShapes:wedge60InsideCorner,4
14339,corrugatedMetalShapes:wedge60Incline,42
14351,corrugatedMetalShapes:wedge60InclineCorner,2
14449,corrugatedMetalShapes:wedge60TipCornerBase,8
14603,corrugatedMetalShapes:plateDiagonal,6
14606,corrugatedMetalShapes:plateDiagonalFiller,3
14905,corrugatedMetalShapes:catwalkV2RailOnlyDoubleEnd,1
14909,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
14910,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,1
15323,corrugatedMetalShapes:doorTrimThreeSided,18
15405,corrugatedMetalShapes:windowStoreThreeSidedFull,24
15406,corrugatedMetalShapes:windowStoreFourSidedFull,13
15407,corrugatedMetalShapes:windowStoreCornerFull,20
15418,corrugatedMetalShapes:windowStoreOneSidedBroken,1
15420,corrugatedMetalShapes:windowStoreThreeSidedBroken,29
15421,corrugatedMetalShapes:windowStoreFourSidedBroken,15
15422,corrugatedMetalShapes:windowStoreCornerBroken,15
15433,corrugatedMetalShapes:windowStoreTwoSidedEmpty,3
15434,corrugatedMetalShapes:windowStoreThreeSidedEmpty,6
15435,corrugatedMetalShapes:windowStoreFourSidedEmpty,5
15572,corrugatedMetalShapes:window04Empty,1
15747,corrugatedMetalShapes:shantywall01,1
15750,corrugatedMetalShapes:shantywall04,3
18375,bulletproofShapes:windowStoreThreeSidedBulletproofFull,2
18379,bulletproofShapes:windowStoreCornerBulletproofFull,4
18515,cntDeskSafe,1
18603,cntAmmoPileSmall,1
18618,cntFoodPileMedium,1
18626,cntShippingCrateBookstore,2
18646,cntLootChestHeroInsecureT2,1
18666,cntQuestInfestedT2LootHelper,1
18724,cntCabinetBottomFiller,40
18745,cntCounterHollowCabinetOldRandomLootHelper,1
18746,cntCabinetOldCNRRoundFiller,8
18747,cntCupboardCabinetOldTopLootHelper,2
18756,utilitySink,1
18757,sinkKitchen,1
18759,wallMountSinkCommercial,2
18775,cntToilet03,2
18776,urinalCommercialMounted,1
18777,drinkingfountainSingle,1
18779,bathroomStallDoor,1
18780,bathroomStallWall,1
18781,bathroomStallSupport,1
18784,bathroomStallSCTRBeam,1
18785,bathroomStallCTRBeam,1
18791,cntMedicineCabinetClosedRandomLootHelper,2
18832,cntTrashPile02,2
18833,cntTrashPile03,1
18837,cntTrashPile07,4
18843,garbage_decor1,16
18844,garbage_decor2,19
18847,glassBroken_01,1
18848,glassBroken_02,1
18850,glassBrokenCapLeft,1
18851,glassBrokenCapRight,1
18919,cntFancyGarbageCan,1
18926,cntBruteStyleTrashCanEmpty,2
18929,cntDumpster,1
18934,cntDumpsterFlies,1
18943,cntUtilityCartEmpty,2
19017,cntBagsRandomLootHelper,2
19029,airConditioner,2
19030,airConditionVentFan,3
19133,breakerBoxClosed,1
19150,conduitSingleCentered,1
19151,conduitSingleCenteredEnd,1
19157,powerSwitch02,1
19198,motionsensorPOI,3
19199,motionsensorLeftPOI,2
19200,motionsensorRightPOI,1
19218,cntFridgeStainlessSteelRandomLootHelper,1
19252,cntGasGrillRandomLootHelper,1
19293,cntMicrowaveRandomLootHelper,1
19303,cntCoffeeMaker,1
19318,decoComputerMonitorKeyboardMousePC,1
19320,decoComputerMonitorKeyboardMouse,1
19347,tvSmallWall2x1,1
19378,lightWallGooseneckGreen,1
19406,recessedLight_2x2,4
19411,fluorescentLight,22
19427,trackLight,6
19428,industrialLight01,3
19431,lightIndustrialMountedWall,1
19437,lightSconce,4
19446,lanternDecorLightRandomHelper,1
19455,lanternOld_01,2
19490,endTable,2
19491,endTableLamp,1
19494,signExitFrameMount,2
19499,signExitWallMountHigh,1
19507,deskLampLight02Green,2
19546,workLightPOI,1
19548,streetLight01,1
19978,chainlinkGateDoubleWide,1
20262,goreBlockHumanCorpse1,1
20263,goreBlockHumanCorpse2,1
20265,goreBlockHumanCorpse3,2
20296,cntBirdnest,2
20303,modularFireWoodStackC,1
20344,emberPileDeco3,2
20351,emberPileLightPOI2,1
20354,palletBrownBoxesTile,7
20355,palletBrownBoxesTop,3
20357,palletBrownBoxesLoose,2
20399,palletTarpBaseArmyGreen,3
20414,palletCompressedCardboard,2
20562,plantAloePottedCornerBrown,1
20647,cntCollapsedWorkbench,1
20905,commercialGlassDoor,1
20938,commercialDoorV2Green,3
20982,commercialDoorV4Green,3
21193,rollUpGate3x3White,1
21202,rollUpDoor3x3Green,8
21302,opaqueBusinessGlass,13
21305,glassIndustrialPlate,14
21316,curtainDrapesRod1m,10
21319,curtainDrapesFullTopRed,4
21330,curtainDrapesFullTileRed,8
21341,curtainDrapesFullBottomRed,4
21517,miniblindTopSheet,2
21847,cntDeskWoodRandomLootHelper,2
21881,cntDeskMetalGreyRandomLootHelper,1
21899,rustyIronTable,2
21925,officeChair01,1
22060,couchModernCornerGreen,6
22061,couchModernSectionGreen,1
22138,parkBenchA,1
22140,cntWaterCoolerFull,1
22165,decoClassicDogHouse,1
22190,bed02,1
22478,decoConcreteBollard,8
22479,decoConcreteBollardDestroyed01,2
22480,decoConcreteBollardDestroyed02,1
22481,decoConcreteBollardDestroyed03,1
22492,parkingBlockYellow,8
22493,parkingBlockCrooked1Yellow,2
22494,parkingBlockCrooked2Yellow,2
22495,parkingBlockBrokenYellow,2
22515,cntVendingMachine2RandomLootHelper,1
22524,cntAllVendingMachinesRandomLootHelper,1
22587,cntStoreShelfSingleTopHardwareRandomLootHelper,1
22606,cntStoreShelfSingleTopTrash02,1
22775,cntBookcaseEmpty,3
22778,cntBookcasePoorRandomLootHelper,8
22783,cntBookShelfSingleBottomEmpty,42
22784,cntBookShelfSingleBottomFull01,1
