id,name,count
2,terrainFiller,3834
16,terrGravel,4
17,terrAsphalt,742
259,woodShapes:cube,227
261,woodShapes:cubeHalfInsideCorner,2
274,woodShapes:cubeHalf,215
297,woodShapes:cubeQuarter,20
302,woodShapes:quarterInsideCorner,3
316,woodShapes:pole,8
383,woodShapes:plate,138
413,woodShapes:plateHalf,6
418,woodShapes:plateHalfTriangle,18
419,woodShapes:plateQuarterTriangle,10
704,woodShapes:ramp,17
1184,woodShapes:stairsFilledQuarterVerticalUV,39
1220,woodShapes:wedgeTipStairs,7
1223,woodShapes:wedgeTipStairsOutsideCorner,1
1237,woodShapes:wedgeTipStairsQuarterPole,1
1394,woodShapes:halfTrimSplit,128
1461,woodShapes:cubeTrimQuarterEdge,76
1496,woodShapes:cubeTrimQuarterCornerInside,7
1509,woodShapes:cubeTrimQuarterCornerInsideTriangle,3
1571,woodShapes:cubeTrimQuarterEdgeTwoSided,287
1614,woodShapes:cubeTrimQuarterRamp,34
1698,woodShapes:doorTrim1m,2
1704,woodShapes:doorTrim2m,2
1705,woodShapes:doorTrimTop,37
1714,woodShapes:windowTrim,34
2021,woodShapes:windowBoarded,2
2091,woodShapes:plateDestroyed03,1
2192,woodShapes:table,6
2216,woodShapes:plateCounterSquareHole,1
2257,woodShapes:mirror,16
2276,woodShapes:fence,1
2284,woodShapes:fencePicketFull,1
2481,brickShapes:cube,178
2496,brickShapes:cubeHalf,222
3612,brickShapes:cubeTrimHalfSplit4Sided,16
3616,brickShapes:halfTrimSplit,76
3718,brickShapes:cubeTrimQuarterCornerInside,68
3793,brickShapes:cubeTrimQuarterEdgeTwoSided,70
6925,concreteShapes:cube,4912
6940,concreteShapes:cubeHalf,290
6963,concreteShapes:cubeQuarter,40
6964,concreteShapes:cubeQuarterCenter,84
6965,concreteShapes:quarterCenteredWall,27
7041,concreteShapes:poleQuarterCenteredPlate4way,11
7121,concreteShapes:pillar100,5
7370,concreteShapes:ramp,6
7405,concreteShapes:wedge60,6
7406,concreteShapes:wedge60Tip,303
7523,concreteShapes:wedge60TipCornerTop,17
7524,concreteShapes:wedgeInsideCornerBase,7
7529,concreteShapes:wedgeNarrowMid,11
7530,concreteShapes:wedgeNarrowLow,11
7531,concreteShapes:wedgeNarrowTip,11
7850,concreteShapes:stairsFilledQuarterVerticalUV,39
8056,concreteShapes:cubeTrimHalfSplit4Sided,18
8057,concreteShapes:cubeTrimHalfSplit,212
8059,concreteShapes:rampTrimHalfSplit,2
8099,concreteShapes:cubeTrimCenterHalf,3
8127,concreteShapes:cubeTrimQuarterEdge,34
8158,concreteShapes:cubeTrimQuarterCornerOutside,12
8162,concreteShapes:cubeTrimQuarterCornerInside,14
8175,concreteShapes:cubeTrimQuarterCornerInsideTriangle,16
8220,concreteShapes:cubeTrimHalfSplitDiagonal,42
8237,concreteShapes:cubeTrimQuarterEdgeTwoSided,152
8257,concreteShapes:cubeTrimCornerRound,6
8280,concreteShapes:cubeTrimQuarterRamp,3
8720,concreteShapes:cubeTrimDestroyed05,1
8888,concreteShapes:cubeTileBroken,25
8977,concreteShapes:roadPaintDashCNTR,80
9185,steelShapes:cubeQuarter,96
11557,awningShapes:billboard,3
12193,awningShapes:rampGlassSheet,4
12195,awningShapes:rampGlassSheetCap,4
12196,awningShapes:rampGlassSheetCap2,4
13591,corrugatedMetalShapes:cube,200
13606,corrugatedMetalShapes:cubeHalf,206
13629,corrugatedMetalShapes:cubeQuarter,34
13643,corrugatedMetalShapes:cubeEighth,12
13649,corrugatedMetalShapes:poleCentered,18
13650,corrugatedMetalShapes:poleSideCentered,27
13715,corrugatedMetalShapes:plate,1858
13745,corrugatedMetalShapes:plateHalf,4
13748,corrugatedMetalShapes:plateQuarter,4
13799,corrugatedMetalShapes:pillar50,40
13828,corrugatedMetalShapes:pillar0.025,7
13830,corrugatedMetalShapes:pillar0.025Centered,2
13832,corrugatedMetalShapes:pillar0.025Middle,32
13839,corrugatedMetalShapes:pillar0.05Centered,12
14018,corrugatedMetalShapes:cornerRound,26
14071,corrugatedMetalShapes:wedge60,48
14078,corrugatedMetalShapes:wedge60Corner,24
14828,corrugatedMetalShapes:cubeTrimQuarterCornerInside,2
14903,corrugatedMetalShapes:cubeTrimQuarterEdgeTwoSided,11
14957,corrugatedMetalShapes:wedgeNarrowHighLeftTrim2Sided,2
14958,corrugatedMetalShapes:wedgeNarrowMidLeftTrim2Sided,2
14959,corrugatedMetalShapes:wedgeNarrowLowLeftTrim2Sided,2
14960,corrugatedMetalShapes:wedgeNarrowTipLeftTrim2Sided,1
14961,corrugatedMetalShapes:wedgeNarrowBottomTrimLeft,1
14963,corrugatedMetalShapes:wedgeNarrowHighRightTrim2Sided,2
14964,corrugatedMetalShapes:wedgeNarrowMidRightTrim2Sided,2
14965,corrugatedMetalShapes:wedgeNarrowLowRightTrim2Sided,2
14966,corrugatedMetalShapes:wedgeNarrowTipRightTrim2Sided,1
14971,corrugatedMetalShapes:wedgeNarrowBottomTrimRight,1
15030,corrugatedMetalShapes:doorTrim1m,78
15031,corrugatedMetalShapes:doorTrim1mOffCenter,1
15039,corrugatedMetalShapes:doorTrimThreeSided,27
15119,corrugatedMetalShapes:windowStoreOneSidedFull,2
15120,corrugatedMetalShapes:windowStoreTwoSidedFull,1
15121,corrugatedMetalShapes:windowStoreThreeSidedFull,11
15122,corrugatedMetalShapes:windowStoreFourSidedFull,6
15123,corrugatedMetalShapes:windowStoreCornerFull,10
15134,corrugatedMetalShapes:windowStoreOneSidedBroken,7
15135,corrugatedMetalShapes:windowStoreTwoSidedBroken,5
15136,corrugatedMetalShapes:windowStoreThreeSidedBroken,14
15137,corrugatedMetalShapes:windowStoreFourSidedBroken,5
