id,name,count
2,terrainFiller,4661
17,terrAsphalt,622
259,woodShapes:cube,21
274,woodShapes:cubeHalf,5
383,woodShapes:plate,19
413,woodShapes:plateHalf,13
416,woodShapes:plateQuarter,4
701,woodShapes:plateQuarterRoundOutside,2
1121,woodShapes:slopeHalfPlateRight01,2
1122,woodShapes:slopeHalfPlateRight02,1
1123,woodShapes:slopeHalfPlateRight03,1
1124,woodShapes:slopeHalfPlateRight04,1
1125,woodShapes:slopeHalfPlateRightFiller,1
1402,woodShapes:counterBottomFiller,4
1403,woodShapes:counterRound1m,3
2000,woodShapes:windowIndustrial02Empty,1
2059,woodShapes:windowPanel,9
2230,woodShapes:prepTable,1
2259,woodShapes:cubeBookcase,5
2260,woodShapes:cubeCornerBeveledBookcaseEmpty,2
2265,woodShapes:bookcaseEmpty,1
2272,woodShapes:bookcaseQuarterDoubleEmpty,3
2293,woodShapes:mirror,5
2523,brickShapes:cube,672
2532,brickShapes:cubeHalfCorner,3
2538,brickShapes:cubeHalf,179
2545,brickShapes:cube0.25m,2
2557,brickShapes:halfQuarterPost,1
2583,brickShapes:poleHalf,4
2643,brickShapes:cubeHalfPlateCorner,11
2710,brickShapes:billboardHalf,8
3006,brickShapes:wedge60,32
3008,brickShapes:wedge60TipHalf,40
3009,brickShapes:wedge60TipHalfOutsideCorner,4
3013,brickShapes:wedge60Corner,4
3504,brickShapes:wedgeStairs,8
3609,brickShapes:cubeBaseboard,93
3613,brickShapes:cubeBaseboard2Sided,14
3615,brickShapes:cubeBaseboard4Sided,4
3624,brickShapes:halfBaseboard,2
3627,brickShapes:cubeHalfBaseboard2SidedRight,1
3628,brickShapes:cubeHalfBaseboard3Sided,1
3629,brickShapes:halfBaseboard4Sided,36
3634,brickShapes:cubeBaseboardChairRail,57
3635,brickShapes:cubeBaseboardChairRail2Sided,12
3668,brickShapes:cubeTrimHalfQuadTop,1
3674,brickShapes:cubeTrimHalfSplit4Sided,2
3675,brickShapes:cubeTrimHalfSplit,39
3678,brickShapes:halfTrimSplit,14
3990,brickShapes:doorTrimCorner,6
3992,brickShapes:doorTrim0.5m,12
3994,brickShapes:doorTrim1m,93
3995,brickShapes:doorTrim1mOffCenter,12
4112,brickShapes:windowStoreOneSidedEmpty,2
4338,brickShapes:brickHalfDestroyed02,1
4339,brickShapes:brickHalfDestroyed03,1
4341,brickShapes:brickHalfDestroyed05,3
4343,brickShapes:brickHalfDestroyed07,1
4344,brickShapes:brickHalfDestroyed08,1
4346,brickShapes:cubeTrimDestroyed01,1
4347,brickShapes:cubeTrimDestroyed02,2
4348,brickShapes:cubeTrimDestroyed03,6
4349,brickShapes:cubeTrimDestroyed04,2
4526,brickShapes:cubeHalfBookshelfSingle,2
4527,brickShapes:cubeHalfBookshelfDouble,2
4528,brickShapes:cubeHalfBookshelfTriple,2
7051,concreteShapes:cube,1501
7054,concreteShapes:cubeThreeQuarter,4
7066,concreteShapes:cubeHalf,230
7073,concreteShapes:cube0.25m,16
7089,concreteShapes:cubeQuarter,2
7108,concreteShapes:pole,128
7111,concreteShapes:poleHalf,4
7114,concreteShapes:poleTwoWayCorner,2
7137,concreteShapes:cubePoleCorner,4
7154,concreteShapes:polePlateHalf,115
7159,concreteShapes:polePlate,19
7163,concreteShapes:polePlateHalfCorner,2
7171,concreteShapes:cubeHalfPlateCorner,241
7823,concreteShapes:plateRamp,22
7969,concreteShapes:cubeHalfPillar0.025,5
7985,concreteShapes:stairsFilledQuarterVerticalUV,5
8137,concreteShapes:cubeBaseboard,48
8139,concreteShapes:cubeBaseboardCorner03,4
8141,concreteShapes:cubeBaseboard2Sided,3
8142,concreteShapes:cubeBaseboard3Sided,2
8152,concreteShapes:halfBaseboard,4
8153,concreteShapes:halfBaseboardOffset,2
8160,concreteShapes:cubeQuarterBaseboard4Sided,1
8162,concreteShapes:cubeBaseboardChairRail,19
8163,concreteShapes:cubeBaseboardChairRail2Sided,4
8175,concreteShapes:cubeHalfBaseboardChairRail2SidedRight,1
8266,concreteShapes:cubeTrimCenterArrowHalf,4
8273,concreteShapes:cubeTrimQuarterEdge,50
8308,concreteShapes:cubeTrimQuarterCornerInside,13
8333,concreteShapes:cubeTrimQuarterDiagonalCornerOutside,4
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,69
8403,concreteShapes:cubeTrimCornerRound,2
8416,concreteShapes:rampTrimQuarterEdgeFillerLeft,4
8419,concreteShapes:rampTrimQuarterEdgeFillerRight,4
8522,concreteShapes:doorTrim1m,48
8529,concreteShapes:doorTrimTop,6
9055,concreteShapes:cubeHalfBookshelfDouble,1
9056,concreteShapes:cubeHalfBookshelfTriple,1
9128,concreteShapes:farmPlot,13
9139,concreteShapes:roadPaintDashCNTR,85
9157,concreteShapes:roadPaintHandicapOffset,1
9202,concreteShapes:cubeDrainStraight,1
9203,concreteShapes:cubeDrainStraightEnd,5
9205,concreteShapes:cubeDrainEndCap,1
13843,corrugatedMetalShapes:cube,50
13858,corrugatedMetalShapes:cubeHalf,57
13881,corrugatedMetalShapes:cubeQuarter,2
13962,corrugatedMetalShapes:cubeQuarterCornerInsideTrim,3
13964,corrugatedMetalShapes:cubeHalfPlateCorner2,10
13967,corrugatedMetalShapes:plate,72
13968,corrugatedMetalShapes:plateCentered,4
13970,corrugatedMetalShapes:plateCladding01,2
13981,corrugatedMetalShapes:plateCornerHalfTopOffset,22
13997,corrugatedMetalShapes:plateHalf,42
14034,corrugatedMetalShapes:plateDouble,5
14052,corrugatedMetalShapes:pillar50,2
14058,corrugatedMetalShapes:logsWall01,4
14079,corrugatedMetalShapes:pillar0.0125Centered,6
14081,corrugatedMetalShapes:pillar0.025,4
14083,corrugatedMetalShapes:pillar0.025Centered,2
14085,corrugatedMetalShapes:pillar0.025Middle,27
14087,corrugatedMetalShapes:pillar0.025Double,3
14090,corrugatedMetalShapes:pillar0.05,7
14097,corrugatedMetalShapes:pillar0.05InsideCorner,2
14099,corrugatedMetalShapes:pillar0.25Triple,7
14118,corrugatedMetalShapes:pipeThin,6
14119,corrugatedMetalShapes:pipeThinCornerDown,2
14120,corrugatedMetalShapes:pipeThinCornerUp,4
14283,corrugatedMetalShapes:cubeQuarterRoundOutside,4
14284,corrugatedMetalShapes:cubeHalfQuarterRoundOutside,5
14327,corrugatedMetalShapes:wedge60Tip,1
14615,corrugatedMetalShapes:plateRamp,2
14625,corrugatedMetalShapes:plateWedge60RightTip,1
14658,corrugatedMetalShapes:plateWedge60TipWallRight,1
14790,corrugatedMetalShapes:stairsRailingMetal,13
14895,corrugatedMetalShapes:catwalkV2RailOnly,20
14897,corrugatedMetalShapes:catwalkV2RailOnlyLeftCap,3
14898,corrugatedMetalShapes:catwalkV2RailOnlyRightCap,1
14902,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,2
14903,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,2
14909,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,5
14910,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,5
14911,corrugatedMetalShapes:catwalkV2RailOnlySingleDoubleEnd,2
14913,corrugatedMetalShapes:ladderRails,7
14929,corrugatedMetalShapes:cubeBaseboard,1
15266,corrugatedMetalShapes:plateTrimSplitInside,2
15310,corrugatedMetalShapes:doorTrimCorner,1
15312,corrugatedMetalShapes:doorTrim0.5m,5
15313,corrugatedMetalShapes:doorTrim0.6m,8
15314,corrugatedMetalShapes:doorTrim1m,34
15315,corrugatedMetalShapes:doorTrim1mOffCenter,8
15332,corrugatedMetalShapes:windowTrimSides,4
15432,corrugatedMetalShapes:windowStoreOneSidedEmpty,27
15433,corrugatedMetalShapes:windowStoreTwoSidedEmpty,12
15434,corrugatedMetalShapes:windowStoreThreeSidedEmpty,4
15719,corrugatedMetalShapes:plateWedge60TipDestroyed,1
15750,corrugatedMetalShapes:shantywall04,1
15787,corrugatedMetalShapes:plateBracketCentered,5
15792,corrugatedMetalShapes:airDuct,2
15808,corrugatedMetalShapes:dynamicGrate,5
15809,corrugatedMetalShapes:fakeDynamicGrate,2
15833,corrugatedMetalShapes:plateCounter02,12
15843,corrugatedMetalShapes:cubeBookcase,3
15844,corrugatedMetalShapes:cubeCornerBeveledBookcaseEmpty,2
15851,corrugatedMetalShapes:bookcaseFull,8
15879,corrugatedMetalShapes:ladderRound,7
15920,corrugatedMetalShapes:farmPlot,5
18371,bulletproofShapes:windowStoreOneSidedBulletproofFull,23
18373,bulletproofShapes:windowStoreTwoSidedBulletproofFull,4
18375,bulletproofShapes:windowStoreThreeSidedBulletproofFull,28
18377,bulletproofShapes:windowStoreFourSidedBulletproofFull,4
18379,bulletproofShapes:windowStoreCornerBulletproofFull,12
18381,bulletproofShapes:windowStorePaneBulletproofFull,2
18511,cntWallSafeRandomLootHelper,1
18596,cntWeaponsBagSmall,1
18603,cntAmmoPileSmall,1
18604,cntAmmoPileMedium,1
18615,cntMedicLootPileB,1
18647,cntLootChestHero,1
