id,name,count
2,terrainFiller,1320
16,terrGravel,318
17,terrAsphalt,1058
375,woodShapes:plate,29
405,woodShapes:plateHalf,3
1610,woodShapes:crown,8
1615,woodShapes:crownInsideCorner,4
1872,woodShapes:windowBoarded,1
1981,woodShapes:shantywall04,2
2317,brickShapes:cube,243
3332,brickShapes:cubeBaseboard,4
3353,brickShapes:cubeBaseboardChairRail,26
3493,brickShapes:cubeTrimQuarterCornerInside,2
3568,brickShapes:cubeTrimQuarterEdgeTwoSided,96
3574,brickShapes:cubeTrimQuarterCornerOutsideTwoSided,6
3941,brickShapes:brickDestroyed01,10
4113,brickShapes:cupboardCorner,13
6433,concreteShapes:cube,802
6449,concreteShapes:cubeHalfCentered,78
6465,concreteShapes:cubeQuarter,74
6479,concreteShapes:cubeEighth,6
6484,concreteShapes:pole,68
6540,concreteShapes:poleSquareCornerRound,10
6621,concreteShapes:pillar100,2
7017,concreteShapes:wedgeNarrowHigh,20
7018,concreteShapes:wedgeNarrowMid,10
7019,concreteShapes:wedgeNarrowLow,10
7020,concreteShapes:wedgeNarrowTip,10
7469,concreteShapes:cubeBaseboardChairRail,11
7472,concreteShapes:cubeBaseboardChairRail4Sided,1
7574,concreteShapes:cubeTrimQuarterEdge,1
7667,concreteShapes:cubeTrimHalfSplitDiagonal,4
7684,concreteShapes:cubeTrimQuarterEdgeTwoSided,82
7690,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,1
7701,concreteShapes:cubeTrimCornerRound,5
8229,concreteShapes:cupboardCorner,5
8245,concreteShapes:cubeTileBroken,12
8333,concreteShapes:roadPaintDashCNTR,40
8691,steelShapes:pillar50,5
12607,corrugatedMetalShapes:cube,22
12622,corrugatedMetalShapes:cubeHalf,43
12639,corrugatedMetalShapes:cubeQuarter,12
12653,corrugatedMetalShapes:cubeEighth,4
12660,corrugatedMetalShapes:poleSideCentered,7
12723,corrugatedMetalShapes:plate,27
12787,corrugatedMetalShapes:billboard,1
12807,corrugatedMetalShapes:pillar50,15
12836,corrugatedMetalShapes:pillar0.025,8
12840,corrugatedMetalShapes:pillar0.025Middle,1
12847,corrugatedMetalShapes:pillar0.05Centered,3
13025,corrugatedMetalShapes:cornerRound,8
13324,corrugatedMetalShapes:halfRampStairs50Filler,18
13748,corrugatedMetalShapes:cubeTrimQuarterEdge,3
13779,corrugatedMetalShapes:cubeTrimQuarterCornerOutside,5
13981,corrugatedMetalShapes:doorTrim1mDouble,9
14026,corrugatedMetalShapes:windowStoreOneSidedFull,9
14027,corrugatedMetalShapes:windowStoreTwoSidedFull,4
14028,corrugatedMetalShapes:windowStoreThreeSidedFull,12
14029,corrugatedMetalShapes:windowStoreFourSidedFull,2
14030,corrugatedMetalShapes:windowStoreCornerFull,9
14044,corrugatedMetalShapes:windowStoreFourSidedBroken,1
14158,corrugatedMetalShapes:window04Broken01,7
14159,corrugatedMetalShapes:window04Empty,7
16911,cntAmmoPileSmall,1
16921,cntMedicLootPileA,1
16939,cntShippingCrateMoPowerElectronics,4
16942,cntCardboardBox,1
16953,cntLootChestHeroInsecureT1,1
16972,cntQuestInfestedT1LootHelper,1
17038,cntCabinetBottomFiller,13
17060,cntCabinetOldCNRRoundFiller,2
17073,wallMountSinkCommercial,1
17089,cntToilet03,1
17090,urinalCommercialMounted,1
17092,drinkingfountainDouble,1
17093,bathroomStallDoor,1
17095,bathroomStallSupport,2
17096,bathroomStallSupportRight,1
17098,bathroomStallSCTRBeam,1
17108,wallMirrorRandomHelper,1
17145,cntTrashPile01,2
17150,cntTrashPile06,1
17154,garbage_decor1,5
17155,garbage_decor2,4
17156,garbage_decor3,5
17174,cntBinTrashMetalWhiteRandomLootHelper,1
17209,cntFancyGarbageCan,2
17218,cntBruteStyleTrashCanRandomLootHelper,1
17220,cntDumpsterFlies,1
17224,cntTiltTruckRandomLootHelper,1
17311,airConditionVentFan,1
17420,commercialSingleMeter,1
17424,conduit01,1
17425,conduit01End,1
17439,keyRackBoxMetal01,1
17493,cntFridgeStainlessSteelVer2Open,3
17552,cntWasherOpen,2
17556,cntDryerOpen,1
17565,cntMicrowaveOvenVer1Open,1
17572,cntToaster,1
17573,cntCoffeeMaker,1
17580,wallClockRandomLootHelper,1
17587,decoComputerMonitorKeyboardMousePC,3
17588,decoComputerMonitorKeyboardMouse,1
17605,tvSmallWall2x1,4
17653,lightCeiling07,3
17655,fluorescentLight,6
17661,lightPanelLEDGrey,2
17690,lanternDecorLightRandomHelper,1
17733,signExitFrameMount,3
18419,goreBlockHumanCorpse3,1
18471,cobweb,1
18483,palletBrownBoxesBase,5
18484,palletBrownBoxesTile,9
18485,palletBrownBoxesTop,7
18487,palletBrownBoxesLoose,1
18530,palletTarpBaseRandomHelper,2
18580,palletBagConcreteBaseFull,2
18582,palletBagConcreteBaseMed,1
18583,palletBagConcreteCapMed,2
19018,commercialGlassDoor,1
19053,commercialDoorV2Purple,2
19097,commercialDoorV4Purple,1
19304,rollUpDoor3x3Purple,1
19340,ironHatchBlack,1
19743,cntDeskMetalGreyRandomLootHelper,1
19787,officeChair01,1
19976,parkBenchA,2
19978,cntWaterCoolerFull,1
20219,decoMetalBollard,5
20220,decoMetalBollardDestroyed01,1
20221,parkingBlock,4
20222,parkingBlockCrooked1,1
20223,parkingBlockCrooked2,1
20224,parkingBlockBroken,1
20300,cntFreezerBeveragesStandaloneRandomLootHelper,1
20384,cntDisplayCaseEmptyLeft,3
20386,cntDisplayCaseEmptyMiddle,1
20388,cntDisplayCaseEmptyRight,3
20413,cntStoreShelfElectronicsSingleBottomElectronicsMonitor,1
20414,cntStoreShelfElectronicsSingleBottomGoodsMisc,1
20415,cntStoreShelfElectronicsSingleBottomHeadphones,2
20416,cntStoreShelfElectronicsSingleBottomKeyboard,2
20417,cntStoreShelfElectronicsSingleBottomLaptopClosed,1
20418,cntStoreShelfElectronicsSingleBottomLaptopOpen,3
20419,cntStoreShelfElectronicsSingleBottomSpeaker,2
20423,cntStoreShelfElectronicsDoubleBottomGoods02,1
20424,cntStoreShelfElectronicsDoubleBottomGoods03,4
20425,cntStoreShelfElectronicsDoubleBottomGoods04,3
20429,cntStoreElectronicsBookShelfSpeaker,4
20431,cntStoreElectronicsPalletTvStanding,3
20548,cashRegisterScanner,1
20549,cntCashRegisterRandomLootHelper,1
20728,cntFileCabinetTallRandomLootHelper,1
20829,ladderMetal,5
20837,metalCatwalkRailing2,1
20846,metalRailing,20
20848,metalRailingCNR,1
20854,metalStairsBoardRailing,1
20879,decoHandTruck,1
20954,metalTrussingCentered,24
21072,pipeSmallWall1x3,2
21074,pipeSmallWallCap,1
21235,signShopOpen,1
21385,signShopMoPowerElectronicsLargeLit,1
21387,signShopMoPowerElectronicsLargeWallLit,1
21401,signBulletinBoard01,1
21412,signNotice01,1
21445,signBathroomSignUnisexWallMount,1
21536,carsRandomHelper,2
21900,semiFlatbedBack,1
21904,semiFlatbedMiddle,1
21907,semiFlatbedFront,1
21928,shippingContainerDoorRightOpenBlue,1
21929,shippingContainerDoorRightRotatedBlue,1
21930,shippingContainerSideBlue,2
21932,shippingContainerSideTextBlue,1
21934,shippingContainerCapBlue,4
22006,treeSmallRandomHelper,2
22124,questRallyMarker,1
22126,cntQuestRandomLootHelper,6
22132,sleeperSit,5
22133,sleeperBack,5
22134,sleeperSideLeft,3
22135,sleeperSideRight,2
22136,sleeperStomach,3
22137,sleeperIdle,2
22145,sleeperVultureAnimal,1
22149,infestedSleeperSit,6
22150,infestedSleeperBack,2
22151,infestedSleeperSideLeft,3
22152,infestedSleeperSideRight,2
22153,infestedSleeperStomach,2
22154,infestedSleeperIdle,4
