id,name,count
2,terrainFiller,286
16,terrGravel,7
17,terrAsphalt,1808
259,woodShapes:cube,605
383,woodShapes:plate,119
384,woodShapes:plateCentered,4
413,woodShapes:plateHalf,7
423,woodShapes:platePole,1
990,woodShapes:halfRampStairs50,6
993,woodShapes:rampInclineFiller,2
1335,woodShapes:cubeBaseboardChairRail4Sided,5
1679,woodShapes:doorTrim2m,2
1689,woodShapes:windowTrim,32
1963,woodShapes:windowBoarded,1
2409,brickShapes:cube,1241
2418,brickShapes:cubeHalfCorner,9
2424,brickShapes:cubeHalf,664
2853,brickShapes:ramp,19
3141,brickShapes:halfRampStairs50Filler,13
3314,brickShapes:stairsFilledQuarterVerticalUV,2
3461,brickShapes:cubeBaseboard,3
6709,concreteShapes:cube,2248
6718,concreteShapes:cubeHalfCorner,1
6724,concreteShapes:cubeHalf,11
6725,concreteShapes:cubeHalfCentered,5
6747,concreteShapes:cubeQuarter,67
6766,concreteShapes:pole,134
6824,concreteShapes:poleSquareCornerRound,17
6830,concreteShapes:cubeHalfPlateCorner2,2
6863,concreteShapes:plateHalf,26
6905,concreteShapes:pillar100,2
7614,concreteShapes:stairsFilledQuarterVerticalUV,26
7615,concreteShapes:stairsFilledVerticalUV,2
7628,concreteShapes:stairsFilledRailingLeft,1
7819,concreteShapes:cubeTrimHalfSplit,40
7889,concreteShapes:cubeTrimQuarterEdge,102
7920,concreteShapes:cubeTrimQuarterCornerOutside,29
7924,concreteShapes:cubeTrimQuarterCornerInside,4
7982,concreteShapes:cubeTrimHalfSplitDiagonal,8
7999,concreteShapes:cubeTrimQuarterEdgeTwoSided,149
8005,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,8
8016,concreteShapes:cubeTrimCornerRound,5
8613,concreteShapes:cubeTileBroken,23
8701,concreteShapes:roadPaintDashCNTR,115
8859,steelShapes:cube,1
8897,steelShapes:cubeQuarter,217
8902,steelShapes:quarterInsideCorner,1
8911,steelShapes:cubeEighth,5
9067,steelShapes:pillar50,1
9579,steelShapes:pyramid,1
13159,corrugatedMetalShapes:cube,212
13174,corrugatedMetalShapes:cubeHalf,337
13182,corrugatedMetalShapes:cubeCornerBeveled,32
13190,corrugatedMetalShapes:cubeHalfCornerBeveled,2
13197,corrugatedMetalShapes:cubeQuarter,33
13202,corrugatedMetalShapes:quarterInsideCorner,4
13211,corrugatedMetalShapes:cubeEighth,12
13216,corrugatedMetalShapes:pole,30
13218,corrugatedMetalShapes:poleSideCentered,9
13245,corrugatedMetalShapes:cubePoleCorner,2
13283,corrugatedMetalShapes:plate,103
13284,corrugatedMetalShapes:plateCentered,10
13295,corrugatedMetalShapes:plateCorner,1
13347,corrugatedMetalShapes:billboard,7
13350,corrugatedMetalShapes:plateDouble,13
13367,corrugatedMetalShapes:pillar50,52
13396,corrugatedMetalShapes:pillar0.025,16
13585,corrugatedMetalShapes:cornerRound,24
13587,corrugatedMetalShapes:plateRound,2
13637,corrugatedMetalShapes:wedge60,26
13638,corrugatedMetalShapes:wedge60Tip,1
13644,corrugatedMetalShapes:wedge60Corner,12
13752,corrugatedMetalShapes:wedge60TipCornerBase,8
13893,corrugatedMetalShapes:rampInclineFiller,1
14198,corrugatedMetalShapes:railing,2
14571,corrugatedMetalShapes:doorTrim0.5m,3
14573,corrugatedMetalShapes:doorTrim1m,12
14574,corrugatedMetalShapes:doorTrim1mOffCenter,3
14582,corrugatedMetalShapes:doorTrimThreeSided,20
14633,corrugatedMetalShapes:windowStoreOneSidedFull,8
14634,corrugatedMetalShapes:windowStoreTwoSidedFull,10
14635,corrugatedMetalShapes:windowStoreThreeSidedFull,19
14636,corrugatedMetalShapes:windowStoreFourSidedFull,2
14637,corrugatedMetalShapes:windowStoreCornerFull,16
14648,corrugatedMetalShapes:windowStoreOneSidedBroken,6
14649,corrugatedMetalShapes:windowStoreTwoSidedBroken,10
14650,corrugatedMetalShapes:windowStoreThreeSidedBroken,12
14651,corrugatedMetalShapes:windowStoreFourSidedBroken,11
14652,corrugatedMetalShapes:windowStoreCornerBroken,12
14969,corrugatedMetalShapes:shantywall01,3
14970,corrugatedMetalShapes:shantywall02,3
14971,corrugatedMetalShapes:shantywall03,1
15026,corrugatedMetalShapes:airDuctHalfBroken,2
15040,corrugatedMetalShapes:prepTableCornerRight,2
15048,corrugatedMetalShapes:buffetCounter,1
15051,corrugatedMetalShapes:counterHalfHollowTopOffset,1
15064,corrugatedMetalShapes:cubeHollow,6
15087,corrugatedMetalShapes:morticianDrawer,4
