id,name,count
2,terrainFiller,5909
16,terrGravel,1757
17,terrAsphalt,833
259,woodShapes:cube,211
268,woodShapes:cubeHalfCorner,20
274,woodShapes:cubeHalf,8
310,woodShapes:pole,104
375,woodShapes:plate,631
376,woodShapes:plateCentered,12
387,woodShapes:plateCorner,22
405,woodShapes:plateHalf,36
415,woodShapes:platePole,26
728,woodShapes:wedge60,60
729,woodShapes:wedge60Tip,60
836,woodShapes:wedge60TipCornerBase,4
837,woodShapes:wedge60TipCornerTop,4
838,woodShapes:wedgeInsideCornerBase,2
839,woodShapes:wedgeInsideCornerTop,2
928,woodShapes:gable3Quarter,25
1148,woodShapes:stairsRailing,20
1260,woodShapes:railing,2
1263,woodShapes:railingBroke01,1
1634,woodShapes:doorTrim2m,14
1635,woodShapes:doorTrimTop,19
1644,woodShapes:windowTrim,2
1991,woodShapes:sawhorse,12
1996,woodShapes:wallStud,334
2049,woodShapes:counterFlipDoorClosed,1
2125,woodShapes:fence,79
2128,woodShapes:fenceBroken1,3
2129,woodShapes:fenceBroken2,2
2317,brickShapes:cube,788
2332,brickShapes:cubeHalf,164
3386,brickShapes:cubeTrimHalfSplit4Sided,14
3387,brickShapes:cubeTrimHalfSplit,48
3492,brickShapes:cubeTrimQuarterCornerInside,16
3567,brickShapes:cubeTrimQuarterEdgeTwoSided,20
6433,concreteShapes:cube,1944
6442,concreteShapes:cubeHalfCorner,36
6448,concreteShapes:cubeHalf,150
6449,concreteShapes:cubeHalfCentered,11
6465,concreteShapes:cubeQuarter,5
6470,concreteShapes:quarterInsideCorner,2
6579,concreteShapes:plateHalf,4
6868,concreteShapes:ramp,8
7016,concreteShapes:wedgeNarrowHigh,59
7017,concreteShapes:wedgeNarrowMid,61
7018,concreteShapes:wedgeNarrowLow,60
7019,concreteShapes:wedgeNarrowTip,60
7310,concreteShapes:stairsFilledQuarterVerticalUV,3
7311,concreteShapes:stairsFilledVerticalUV,10
7324,concreteShapes:stairsFilledRailingLeft,5
7447,concreteShapes:cubeBaseboard,16
7502,concreteShapes:cubeTrimHalfSplit4Sided,356
7503,concreteShapes:cubeTrimHalfSplit,55
7506,concreteShapes:halfTrimSplit,16
7545,concreteShapes:cubeTrimCenterHalf,6
7592,concreteShapes:cubeTrimCircle,1
7608,concreteShapes:cubeTrimQuarterCornerInside,9
7683,concreteShapes:cubeTrimQuarterEdgeTwoSided,261
7689,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,11
7700,concreteShapes:cubeTrimCornerRound,25
8245,concreteShapes:cubeTileBroken,7
8491,steelShapes:cube,24
8523,steelShapes:cubeQuarter,75
8528,steelShapes:quarterInsideCorner,7
8537,steelShapes:cubeEighth,2
10729,awningShapes:billboard,37
12607,corrugatedMetalShapes:cube,315
12622,corrugatedMetalShapes:cubeHalf,416
12658,corrugatedMetalShapes:pole,249
12660,corrugatedMetalShapes:poleSideCentered,20
