id,name,count
2,terrainFiller,1587
17,terrAsphalt,611
259,woodShapes:cube,273
274,woodShapes:cubeHalf,29
276,woodShapes:cube0.25m,6
291,woodShapes:cubeQuarter,1
310,woodShapes:pole,28
337,woodShapes:cubePoleCorner,3
375,woodShapes:plate,54
388,woodShapes:plateCornerHalfTop,8
685,woodShapes:cubeHalfQuarterRoundInside,2
728,woodShapes:wedge60,21
729,woodShapes:wedge60Tip,22
741,woodShapes:wedge60Incline,20
746,woodShapes:wedge60SplitInclineRight,1
773,woodShapes:wedgeInclineCornerTop2,1
836,woodShapes:wedge60TipCornerBase,1
837,woodShapes:wedge60TipCornerTop,1
1000,woodShapes:plateRamp,9
1074,woodShapes:slopePlate04,1
1294,woodShapes:cubeBaseboardChairRail,12
1295,woodShapes:cubeBaseboardChairRail2Sided,1
1301,woodShapes:halfChairRailOffset,6
1328,woodShapes:cubeTrimHalfSplit4Sided,1
1329,woodShapes:cubeTrimHalfSplit,15
1333,woodShapes:halfTrimSplitOffset,1
1338,woodShapes:cubeTrimHalfEdge,3
1492,woodShapes:cubeTrimHalfSplitDiagonal,1
1624,woodShapes:doorTrimCorner,3
1628,woodShapes:doorTrim1m,53
1635,woodShapes:doorTrimTop,4
1645,woodShapes:windowTrimBottom,7
1678,woodShapes:windowStoreTwoSidedFull,3
1679,woodShapes:windowStoreThreeSidedFull,2
1877,woodShapes:windowPanel,2
1902,woodShapes:cubeTrimDestroyed03,2
1974,woodShapes:woodDebris01,1
2050,woodShapes:counterFlipDoorOpen,1
2085,woodShapes:bookcaseQuarterDoubleEmpty,3
2275,woodShapes:signLetter_d,1
2280,woodShapes:signLetter_i,1
2289,woodShapes:signLetter_r,1
2291,woodShapes:signLetter_t,1
2296,woodShapes:signLetter_y,2
2317,brickShapes:cube,339
2332,brickShapes:cubeHalf,5
2370,brickShapes:poleSideCentered,8
2752,brickShapes:ramp,8
3347,brickShapes:halfBaseboard4Sided,30
3352,brickShapes:cubeBaseboardChairRail,22
3353,brickShapes:cubeBaseboardChairRail2Sided,5
3358,brickShapes:halfChairRail,2
3374,brickShapes:rampInclineBaseboard4Sided,2
3387,brickShapes:cubeTrimHalfSplit,24
3457,brickShapes:cubeTrimQuarterEdge,43
3459,brickShapes:halfTrimQuarterEdge,1
3492,brickShapes:cubeTrimQuarterCornerInside,3
3567,brickShapes:cubeTrimQuarterEdgeTwoSided,1
3960,brickShapes:cubeTrimDestroyed03,2
3965,brickShapes:cubeTrimDestroyed08,1
3966,brickShapes:cubeTrimDestroyed09,2
6433,concreteShapes:cube,1038
6448,concreteShapes:cubeHalf,35
6449,concreteShapes:cubeHalfCentered,10
6472,concreteShapes:cubeTee,18
7016,concreteShapes:wedgeNarrowHigh,3
7017,concreteShapes:wedgeNarrowMid,3
7018,concreteShapes:wedgeNarrowLow,3
7019,concreteShapes:wedgeNarrowTip,3
7311,concreteShapes:stairsFilledVerticalUV,3
7327,concreteShapes:stairsFilledRailingMetalRight,1
7447,concreteShapes:cubeBaseboard,43
7451,concreteShapes:cubeBaseboard2Sided,1
7468,concreteShapes:cubeBaseboardChairRail,18
7470,concreteShapes:cubeBaseboardChairRail3Sided,1
7474,concreteShapes:halfChairRail,5
7477,concreteShapes:cubeHalfBaseboardChairRail2SidedRight,1
7573,concreteShapes:cubeTrimQuarterEdge,29
7608,concreteShapes:cubeTrimQuarterCornerInside,2
7666,concreteShapes:cubeTrimHalfSplitDiagonal,1
7683,concreteShapes:cubeTrimQuarterEdgeTwoSided,287
7700,concreteShapes:cubeTrimCornerRound,12
7733,concreteShapes:wedgeNarrowHighLeftTrim2Sided,1
7734,concreteShapes:wedgeNarrowMidLeftTrim2Sided,1
7735,concreteShapes:wedgeNarrowLowLeftTrim2Sided,1
7736,concreteShapes:wedgeNarrowTipLeftTrim2Sided,1
7739,concreteShapes:wedgeNarrowHighRightTrim2Sided,1
7740,concreteShapes:wedgeNarrowMidRightTrim2Sided,1
7741,concreteShapes:wedgeNarrowLowRightTrim2Sided,1
7742,concreteShapes:wedgeNarrowTipRightTrim2Sided,1
8100,concreteShapes:concreteDestroyed08,3
8245,concreteShapes:cubeTileBroken,5
8322,concreteShapes:farmPlot,7
8333,concreteShapes:roadPaintDashCNTR,75
8339,concreteShapes:roadPaintHandicapOffset,1
8384,concreteShapes:cubeDrainStriaght,1
8385,concreteShapes:cubeDrainStriaghtEnd,7
8387,concreteShapes:cubeDrainEndCap,3
12607,corrugatedMetalShapes:cube,24
12622,corrugatedMetalShapes:cubeHalf,4
12660,corrugatedMetalShapes:poleSideCentered,10
12723,corrugatedMetalShapes:plate,6
12753,corrugatedMetalShapes:plateHalf,13
12756,corrugatedMetalShapes:plateQuarter,2
12786,corrugatedMetalShapes:billboardHalf,4
12787,corrugatedMetalShapes:billboard,2
12807,corrugatedMetalShapes:pillar50,1
12833,corrugatedMetalShapes:pillar0.0125Centered,1
12835,corrugatedMetalShapes:pillar0.025,1
12846,corrugatedMetalShapes:pillar0.05Centered,48
12848,corrugatedMetalShapes:pillar0.05Middle,48
12853,corrugatedMetalShapes:pillar0.25Triple,10
12864,corrugatedMetalShapes:pipeStraight,8
12867,corrugatedMetalShapes:pipeFlange,2
13024,corrugatedMetalShapes:cornerRound,1
13035,corrugatedMetalShapes:cubeQuarterRoundOutside,3
13037,corrugatedMetalShapes:plateQuarterRoundOutside,2
13043,corrugatedMetalShapes:cubeHalfRamp,1
13532,corrugatedMetalShapes:railingFloatLeft,1
13533,corrugatedMetalShapes:railingFloatRight,1
13587,corrugatedMetalShapes:catwalkV2RailOnly,8
13588,corrugatedMetalShapes:catwalkV2RailOnlyDblCap,2
13590,corrugatedMetalShapes:catwalkV2RailOnlyRightCap,1
13601,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
13602,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,2
13605,corrugatedMetalShapes:ladderRails,2
13621,corrugatedMetalShapes:cubeBaseboard,2
13637,corrugatedMetalShapes:halfBaseboard4Sided,2
13640,corrugatedMetalShapes:cubeQuarterBaseboard4Sided,2
13645,corrugatedMetalShapes:cubeBaseboardChairRail4Sided,2
13677,corrugatedMetalShapes:cubeTrimHalfSplit,11
13682,corrugatedMetalShapes:halfTrimSplit2,4
13972,corrugatedMetalShapes:doorTrimCorner,5
13974,corrugatedMetalShapes:doorTrim0.5m,3
13975,corrugatedMetalShapes:doorTrim0.6m,4
13976,corrugatedMetalShapes:doorTrim1m,31
13977,corrugatedMetalShapes:doorTrim1mOffCenter,6
13984,corrugatedMetalShapes:doorTrimTwoSided,2
14026,corrugatedMetalShapes:windowStoreTwoSidedFull,1
