id,name,count
2,terrainFiller,1874
14,terrDestroyedStone,22
17,terrAsphalt,895
375,woodShapes:plate,195
1610,woodShapes:crown,57
1611,woodShapes:crownStraight,1
1613,woodShapes:crownHalfLeft,1
1615,woodShapes:crownInsideCorner,8
1872,woodShapes:windowBoarded,1
1975,woodShapes:woodDebris01,2
1976,woodShapes:woodDebris02,1
1977,woodShapes:woodDebris03,1
3941,brickShapes:brickDestroyed01,5
6433,concreteShapes:cube,972
6448,concreteShapes:cubeHalf,132
6465,concreteShapes:cubeQuarter,12
6621,concreteShapes:pillar100,4
7347,concreteShapes:wedgeTipStairs,13
7454,concreteShapes:cubeBaseboard4Sided,1
7469,concreteShapes:cubeBaseboardChairRail,47
7503,concreteShapes:cubeTrimHalfSplit4Sided,2
7504,concreteShapes:cubeTrimHalfSplit,64
7609,concreteShapes:cubeTrimQuarterCornerInside,4
7681,concreteShapes:cubeTrimQuarterEdgeTwoSidedBottomCorner,1
7684,concreteShapes:cubeTrimQuarterEdgeTwoSided,329
7696,concreteShapes:cubeTrimQuarterEdgeDouble,26
7701,concreteShapes:cubeTrimCornerRound,20
7772,concreteShapes:halfCrownCorner3,1
8229,concreteShapes:cupboardCorner,2
8245,concreteShapes:cubeTileBroken,23
8333,concreteShapes:roadPaintDashCNTR,80
8691,steelShapes:pillar50,16
12607,corrugatedMetalShapes:cube,40
12622,corrugatedMetalShapes:cubeHalf,16
12639,corrugatedMetalShapes:cubeQuarter,18
12653,corrugatedMetalShapes:cubeEighth,8
12807,corrugatedMetalShapes:pillar50,10
13025,corrugatedMetalShapes:cornerRound,8
13077,corrugatedMetalShapes:wedge60,1
13324,corrugatedMetalShapes:halfRampStairs50Filler,1
13477,corrugatedMetalShapes:pillar50PlatePillar0.025,1
13977,corrugatedMetalShapes:doorTrim1m,9
14028,corrugatedMetalShapes:windowStoreThreeSidedFull,4
14029,corrugatedMetalShapes:windowStoreFourSidedFull,2
14030,corrugatedMetalShapes:windowStoreCornerFull,4
14043,corrugatedMetalShapes:windowStoreThreeSidedBroken,4
14044,corrugatedMetalShapes:windowStoreFourSidedBroken,1
14045,corrugatedMetalShapes:windowStoreCornerBroken,4
14059,corrugatedMetalShapes:windowStoreCornerEmpty,2
14328,corrugatedMetalShapes:shantywall03,1
14329,corrugatedMetalShapes:shantywall04,1
14454,corrugatedMetalShapes:mirror,1
16725,bulletproofShapes:windowStoreThreeSidedBulletproofFull,3
16726,bulletproofShapes:windowStoreFourSidedBulletproofFull,1
16921,cntMedicLootPileA,1
16923,cntMedicLootPileB,1
16933,cntShippingCrateLabEquipment,3
16953,cntLootChestHeroInsecureT1,1
16972,cntQuestInfestedT1LootHelper,1
17038,cntCabinetBottomFiller,4
17039,cntCabinetBottomRandomLootHelper,5
17060,cntCabinetOldCNRRoundFiller,1
17073,wallMountSinkCommercial,1
17089,cntToilet03,1
17108,wallMirrorRandomHelper,1
17111,cntPillCaseRandomLootHelper,1
17145,cntTrashPile01,1
17146,cntTrashPile02,1
17149,cntTrashPile05,1
17154,garbage_decor1,7
17155,garbage_decor2,7
17156,garbage_decor3,11
17209,cntFancyGarbageCan,2
17212,cntDomedTrashCanRandomLootHelper,3
17218,cntBruteStyleTrashCanRandomLootHelper,1
17220,cntDumpsterFlies,1
17224,cntTiltTruckRandomLootHelper,1
17241,cntUtilityCartRandomLootHelper,1
17656,fluorescentLightBayIntact,1
17661,lightPanelLEDGrey,6
17680,lightIndustrialHangingBlack,1
17733,signExitFrameMount,4
18416,goreBlockHumanCorpse1,1
18424,cntBirdnest,1
18483,palletBrownBoxesBase,1
18484,palletBrownBoxesTile,1
18485,palletBrownBoxesTop,4
18546,palletEmpty,1
18547,palletEmptyStack,1
19018,commercialGlassDoor,1
19030,commercialDoorV1Blue,1
19052,commercialDoorV2Blue,2
19096,commercialDoorV4Blue,2
19303,rollUpDoor3x3Blue,1
19340,ironHatchBlack,1
19367,awningStraightBlue,3
19378,awningCornerLeftBlue,3
19389,awningCornerRightBlue,3
19761,rustyIronTable,2
19787,officeChair01,1
19803,oldChair1,2
19916,couchModernCorner,2
19917,couchModernSection,1
19977,parkBenchB,2
20229,parkingBlockYellow,5
20230,parkingBlockCrooked1Yellow,3
20231,parkingBlockCrooked2Yellow,4
20259,cntIceMachine,1
20276,cntFreezerGroceriesMiddleRandomLootHelper,2
20278,cntFreezerGroceriesLeftEmptyClosedBroken,1
20281,cntFreezerGroceriesRightEmptyClosedBroken,1
20300,cntFreezerBeveragesStandaloneRandomLootHelper,1
20301,cntStoreShelfSingleBottomEmpty,11
20302,cntStoreShelfSingleTopEmpty,9
20303,cntStoreShelfDoubleBottomEmpty,12
20304,cntStoreShelfDoubleTopEmpty,5
20329,cntStoreShelfSingleBottomPharmaGoods01,4
20330,cntStoreShelfSingleBottomPharmaGoods02,4
20331,cntStoreShelfSingleBottomPharmaRandomLootHelper,10
20335,cntStoreShelfDoubleBottomPharmaRandomLootHelper,14
20336,cntStoreShelfSingleBottomTrash01,2
20337,cntStoreShelfSingleBottomTrash02,1
20338,cntStoreShelfSingleTopTrash01,1
20339,cntStoreShelfSingleTopTrash02,3
20340,cntStoreShelfDoubleBottomTrash01,1
20341,cntStoreShelfDoubleBottomTrash02,2
20342,cntStoreShelfDoubleTopTrash01,4
20523,cntBookShelfSingleCapBottomRandomLootHelper,2
20548,cashRegisterScanner,1
20549,cntCashRegisterRandomLootHelper,1
20570,cntShoppingCartTippedBlue,1
20581,cntShoppingCartBlueRandomLootHelper,5
20596,cntShoppingBasketRandomLootHelper,2
20829,ladderMetal,5
20879,decoHandTruck,1
20999,concreteDestroyed05,4
21000,concreteDestroyed06,6
21001,concreteDestroyed07,12
21002,concreteDestroyed08,1
21011,concreteDestroyedFiller01,1
21023,rubblePileCement,1
21024,rubblePileConcreteSmall,3
21057,metalPipeStraight,5
21062,metalPipeFlange,2
21064,pipeSmall1x3,1
21351,signShopPharmacyWallLit,1
21353,signShopPharmacyLargeLit,1
21406,signCigaretteAd,1
21411,signMegaCrushAd,1
21412,signNotice01,1
21416,signSafetyWorkProtection,1
21445,signBathroomSignUnisexWallMount,1
21488,looseBoardsTrapPlate1x1,7
21536,carsRandomHelper,4
22006,treeSmallRandomHelper,1
22124,questRallyMarker,1
22126,cntQuestRandomLootHelper,5
22128,questGeneratorSmall,1
22132,sleeperSit,8
22133,sleeperBack,3
22134,sleeperSideLeft,1
22135,sleeperSideRight,2
22136,sleeperStomach,3
22137,sleeperIdle,5
22145,sleeperVultureAnimal,1
22149,infestedSleeperSit,6
22150,infestedSleeperBack,2
22151,infestedSleeperSideLeft,5
22152,infestedSleeperSideRight,5
22153,infestedSleeperStomach,5
22154,infestedSleeperIdle,4
22155,infestedSleeperCrawlerOnly,1
22160,infestedSleeperVultureAnimal,1
