id,name,count
2,terrainFiller,6477
8,terrBurntForestGround,21
16,terrGravel,702
316,woodShapes:pole,24
323,woodShapes:poleThreeWayCorner,8
383,woodShapes:plate,5
423,woodShapes:platePole,4
1247,woodShapes:catwalkV1RailSingle,9
1249,woodShapes:catwalkV1Corner,2
1251,woodShapes:catwalkV1WedgeRailing,4
2262,woodShapes:ladderSquare,7
7242,concreteShapes:cubeQuarter5mRound01,4
7243,concreteShapes:cubeQuarter5mRound02,4
7244,concreteShapes:cubeQuarter5mRound03,4
7245,concreteShapes:cubeQuarter5mRound04,4
7246,concreteShapes:cubeQuarter5mRound05,4
11556,awningShapes:billboardHalf,36
11557,awningShapes:billboard,57
12093,awningShapes:pyramid,1
12193,awningShapes:rampGlassSheet,40
12194,awningShapes:rampInsideCornerSheet,8
12195,awningShapes:rampGlassSheetCap,20
12196,awningShapes:rampGlassSheetCap2,20
13650,corrugatedMetalShapes:poleSideCentered,4
13653,corrugatedMetalShapes:poleHalfSideCentered,2
13832,corrugatedMetalShapes:pillar0.025Middle,17
13837,corrugatedMetalShapes:pillar0.05,32
18267,cntAmmoPileSmall,1
18277,cntMedicLootPileA,1
18280,cntFoodPileSmall,1
18497,cntTrashPile03,2
18498,cntTrashPile04,1
18499,cntTrashPile05,2
18500,cntTrashPile06,1
18501,cntTrashPile07,2
18502,cntTrashPile08,1
18503,cntTrashPile09,3
18504,garbage_decor1,9
18505,garbage_decor2,8
18506,garbage_decor3,1
18630,cntCoolerRandomLootHelper,2
19079,lanternDecorLightRandomHelper,3
19204,wallTorchLight,4
19597,sandbagStraight01,2
19599,sandbagCorner02Long,3
19600,sandbagEnd00,8
19601,sandbagEnd01,7
19602,sandbagEnd02,1
19811,cntBarrelGasOld,1
19863,decoCarTireFlat02,2
19878,goreBlockHumanCorpse,2
19879,goreBlockHumanCorpse1,2
19880,goreBlockHumanCorpse2,2
19882,goreBlockHumanCorpse3,2
19916,modularFireWoodStackA,2
19917,modularFireWoodStackB,4
19918,modularFireWoodStackC,2
19957,emberPileDeco1,1
19958,emberPileDeco2,2
19965,emberPileLightPOI1,1
19966,emberPileLightPOI2,1
20005,palletTarpBaseRed,2
20006,palletTarpBaseOrange,1
20088,palletBagBlankBaseFullBrown,2
20092,palletBagBlankCapSmlBrown,1
20093,palletBagBlankSingleBentBrown,2
20094,palletBagBlankSingleFlatBrown,3
20137,palletBagBlankBaseFullGrey,1
20143,palletBagBlankSingleFlatGrey,1
20243,cntCollapsedCampfire,1
21543,chairFoldingMetalUnfoldedOrange,1
21546,chairFoldingMetalUnfoldedBlue,1
21579,chairCampingRed,2
21582,chairCampingGreen,3
21585,chairCampingGrey,1
21586,chairCampingPink,2
21732,wineBarrelPlain,2
21742,decoWineBottlePile01,1
21771,bedrollPOI,4
22330,cntShoppingCartTippedBlue,1
22419,restaurantTableEnd,2
22420,restaurantTableMiddle,1
23265,trapSpikesWoodDmg2,10
23266,trapSpikesWoodDmg1,13
23267,trapSpikesWoodDmg0,35
23268,woodSpikesTrap2POI,1
23269,woodSpikesTrap1POI,1
23270,woodSpikesTrapBloodPOI,3
23279,barbedFence,8
23339,carsRandomHelper,1
23387,cntSedan01RandomHelper,1
23422,abandonedPickupTruck01RandomHelper,1
23537,cntSUV01RandomHelper,1
23559,cntPickupTruck01RandomHelper,1
23849,treeStumpPOI,3
23850,treeSmallRandomHelper,4
23852,treeMediumRandomHelper,4
23853,treeLargeRandomHelper,4
23983,sleeperSit,4
23984,sleeperBack,4
23985,sleeperSideLeft,1
23986,sleeperSideRight,3
23987,sleeperStomach,4
23988,sleeperIdle,1
23989,sleeperCrawlerOnly,7
