id,name,count
2,terrainFiller,994
5,terrDirt,244
11,terrSandStone,22
259,woodShapes:cube,3
413,woodShapes:plateHalf,3
416,woodShapes:plateQuarter,1
469,woodShapes:pillar50Corner,11
509,woodShapes:pillar0.05Middle,2
511,woodShapes:pillar0.05Double,3
1198,woodShapes:stairsRailing,3
1251,woodShapes:catwalkV1,22
1252,woodShapes:catwalkV1RailSingle,7
1253,woodShapes:catwalkV1Railing,1
1254,woodShapes:catwalkV1Corner,5
1709,woodShapes:doorTrim1m,70
1713,woodShapes:doorTrim1mDouble,6
1727,woodShapes:windowTrimSides,8
2032,woodShapes:windowBoarded,23
2137,woodShapes:woodDebris02,1
2153,woodShapes:sawhorse,2
2288,woodShapes:fence,2
6979,concreteShapes:cube,8
9219,steelShapes:cube,1
9277,steelShapes:poleCentered,1
11462,awningShapes:cubeThreeQuarter,1
13721,corrugatedMetalShapes:cube0.25m,1
13823,corrugatedMetalShapes:plate,17
13853,corrugatedMetalShapes:plateHalf,16
13856,corrugatedMetalShapes:plateQuarter,4
13887,corrugatedMetalShapes:billboard,8
13945,corrugatedMetalShapes:pillar0.05,4
13949,corrugatedMetalShapes:pillar0.05Middle,6
15579,corrugatedMetalShapes:shantywall01,4
15580,corrugatedMetalShapes:shantywall02,2
15581,corrugatedMetalShapes:shantywall03,5
15618,corrugatedMetalShapes:bracketDouble,4
15647,corrugatedMetalShapes:prepTableDynamic,2
18422,cntMedicLootPileACorner,1
18424,cntFoodPileSmall,1
18453,cntLootChestHeroInsecureT1,1
18473,cntQuestInfestedT1LootHelper,1
18641,cntTrashPile03,1
18644,cntTrashPile06,1
18649,garbage_decor1,2
18650,garbage_decor2,2
18651,garbage_decor3,2
18775,cntCoolerRandomLootHelper,1
18822,cntBagsRandomLootHelper,1
18837,satelliteUnitLarge,1
18838,satelliteUnitSmallWall,1
18841,controlPanelBase02,1
18851,controlPanelTop03,1
18942,commercialDistributionBox,1
18992,cntCollapsedSolarbank,1
19006,loudspeaker,1
19054,cntGasGrillRandomLootHelper,1
19115,radioHam,1
19121,decoLaptop,1
19146,tvCRT,1
19230,lanternDecorLightRandomHelper,1
19559,tentBiohazardCapLeftCamo,2
19561,tentBiohazardCapRightCamo,2
19562,tentBiohazardWallCamo,2
19564,tentBiohazardWallRollupCamo,1
19568,tentBiohazardWallThinCamo,5
19571,tentBiohazardRoofCamo,4
19572,tentBiohazardRoofThinCamo,2
19633,tarpFenceSagingGreen,1
19635,tarpHangingGreen,1
19644,banditWallCorrugated1x4,1
19652,banditWallRibbed2x1Brown,2
19653,banditWallRibbed2x1Red,1
19654,banditWallRibbed2x1Orange,2
19655,banditWallRibbed2x1Yellow,1
19663,banditWallRibbed3x2Yellow,1
19666,banditWallRibbed3x2Grey,1
19681,banditWallSiding1x4Blue,1
19683,banditWallSiding2x2White,1
19685,banditWallSiding2x2Red,1
19735,woodLogPillar100,4
19749,sandbagStraight01,19
19750,sandbagCorner01Short,2
19752,sandbagEnd00,6
19753,sandbagEnd01,1
19754,sandbagEnd02,5
19756,sandbagPile02,2
19757,sandbagSingle01,2
19833,woodFenceSheet,16
19975,cntBarrelGenericSingle00,2
20021,decoCarTireFlat,2
20046,goreBlockHumanBones,1
20075,cntBirdnestCorner,1
20079,modularFireWoodStackA,7
20080,modularFireWoodStackB,4
20081,modularFireWoodStackC,3
20100,cinderBlocks01,1
20101,cinderBlocks02,1
20102,cinderBlocks03,1
20122,emberPileDeco3,1
20123,emberPileDeco4,1
20129,emberPileLightPOI2,1
20178,palletTarpBaseRandomHelper,2
20195,palletEmpty,2
20196,palletEmptyStack,2
20199,woodPlanksStack,1
20408,cntCollapsedDewCollector,1
21647,diningTable01,1
21708,chairFoldingMetalUnfoldedGreen,1
21750,chairCampingRandomHelper,2
21891,cntWaterCoolerBottle,1
21907,decoWineBottlePile01,1
21943,bunkBedRandomHelper,2
21962,bodyBagYellow,1
21964,bodyBagPileMix,1
21968,bodyBagBlackFlies,1
22022,cntCoffinWildWestOpen,1
22023,cntCoffinWildWestCracked,1
22024,cntCoffinWildWestClosed,1
22027,cntCoffinWildWestLidLeaning,1
22067,cntToolBoxOffsetRandomLootHelperRed,1
22266,cntShelvesMetalFullA,1
22267,cntShelvesMetalEmpty,1
22331,shootingRangeTarget,1
22616,officeDesk,1
22785,metalRailing,4
22893,metalTrussingBlock,13
22969,rubblePileWoodSmall,1
23477,looseBoardsTrapPlateHalfTriangle,2
23478,looseBoardsTrapPlateQuarterTriangle,2
23852,cntArmyTruckOpen,1
24036,treeStumpPOI,1
24165,cntStoreCratesRandomLootHelper,1
24171,questRallyMarker,1
24179,sleeperSit,5
24180,sleeperBack,2
24184,sleeperIdle,2
24185,sleeperCrawlerOnly,1
24192,sleeperVultureAnimal,1
24196,infestedSleeperSit,4
24197,infestedSleeperBack,3
24199,infestedSleeperSideRight,2
24200,infestedSleeperStomach,2
24201,infestedSleeperIdle,2
24202,infestedSleeperCrawlerOnly,1
24207,infestedSleeperVultureAnimal,1
