id,name,count
2,terrainFiller,1860
16,terrGravel,803
17,terrAsphalt,708
18,terrConcrete,169
259,woodShapes:cube,293
274,woodShapes:cubeHalf,57
294,woodShapes:halfQuarterPost2,2
297,woodShapes:cubeQuarter,6
316,woodShapes:pole,49
322,woodShapes:poleTwoWayCorner,4
379,woodShapes:cubeHalfPlateCorner,1
383,woodShapes:plate,45
395,woodShapes:plateCorner,4
418,woodShapes:plateHalfTriangle,2
423,woodShapes:platePole,10
428,woodShapes:platePoleCorner2,8
701,woodShapes:plateQuarterRoundOutside,1
706,woodShapes:ramp,10
742,woodShapes:wedge60,4
743,woodShapes:wedge60Tip,13
1054,woodShapes:plateWedge60Tip,4
1096,woodShapes:slopePlate02PoleLeft,4
1097,woodShapes:slopePlate02PoleRight,4
1193,woodShapes:stairsFilledQuarterVerticalUV,3
1203,woodShapes:stairs,5
1205,woodShapes:stairsRailing,6
1260,woodShapes:catwalkV1,8
1261,woodShapes:catwalkV1RailSingle,10
1263,woodShapes:catwalkV1Corner,4
1333,woodShapes:railingDiagonal,2
1345,woodShapes:cubeBaseboard,12
1351,woodShapes:cubeBaseboard4Sided,9
1411,woodShapes:cubeTrimHalfSplit,5
1421,woodShapes:cubeTrimHalfEdge2,4
1490,woodShapes:cubeTrimQuarter2Sided,3
1591,woodShapes:cubeTrimQuarterEdgeTwoSided,27
1592,woodShapes:cubeHalfTrimQuarterEdgeTwoSided,7
1597,woodShapes:cubeTrimQuarterCornerOutsideTwoSided,1
1603,woodShapes:cubeTrimQuarterCornerOutsideThreeSided,2
1606,woodShapes:cubeTrimQuarterEdgeDouble,8
1726,woodShapes:doorTrimCorner,2
1730,woodShapes:doorTrim1m,20
1747,woodShapes:windowTrimBottom,2
1974,woodShapes:window01,19
2059,woodShapes:windowPanel,6
2082,woodShapes:cubeTrimDestroyed01,2
2084,woodShapes:cubeTrimDestroyed03,1
2085,woodShapes:cubeTrimDestroyed04,1
2177,woodShapes:sawhorse,1
2203,woodShapes:plateBracketCentered,4
2257,woodShapes:cubeTileBroken,1
2310,woodShapes:balusterRail02,16
2311,woodShapes:balusterRailBroken02,3
2312,woodShapes:fence,4
2315,woodShapes:fenceBroken1,2
2316,woodShapes:fenceBroken2,1
2340,woodShapes:plateSidewalkBroke01,1
7051,concreteShapes:cube,128
7060,concreteShapes:cubeHalfCorner,8
7066,concreteShapes:cubeHalf,29
7534,concreteShapes:wedge60,12
8137,concreteShapes:cubeBaseboard,16
8139,concreteShapes:cubeBaseboardCorner03,2
8143,concreteShapes:cubeBaseboard4Sided,4
8203,concreteShapes:cubeTrimHalfSplit,1
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,8
8398,concreteShapes:cubeTrimQuarterEdgeDouble,3
8407,concreteShapes:cubeTrimQuarterEdgeRound,2
9049,concreteShapes:cubeTileBroken,3
9353,steelShapes:cubeQuarter,8
9780,steelShapes:rampCornerFiller,4
13840,awningShapes:tarp6x3,1
13841,awningShapes:tarp3x2,2
13843,corrugatedMetalShapes:cube,47
13858,corrugatedMetalShapes:cubeHalf,2
13900,corrugatedMetalShapes:pole,60
13902,corrugatedMetalShapes:poleSideCentered,31
13906,corrugatedMetalShapes:poleTwoWayCorner,3
13907,corrugatedMetalShapes:poleThreeWayCorner,7
13915,corrugatedMetalShapes:poleSquareSideCenteredCornerBracket,6
13917,corrugatedMetalShapes:poleSquareBracketCorner,2
13920,corrugatedMetalShapes:poleSquareBracketLeft,1
13921,corrugatedMetalShapes:poleSquareBracketRight,1
13925,corrugatedMetalShapes:poleSquareDouble,18
13927,corrugatedMetalShapes:poleSquareDoubleTop,2
13928,corrugatedMetalShapes:poleSquareDoubleTopDouble,2
13967,corrugatedMetalShapes:plate,82
13997,corrugatedMetalShapes:plateHalf,2
14008,corrugatedMetalShapes:platePoleSideCentered,3
14052,corrugatedMetalShapes:pillar50,10
14081,corrugatedMetalShapes:pillar0.025,8
14083,corrugatedMetalShapes:pillar0.025Centered,5
14085,corrugatedMetalShapes:pillar0.025Middle,6
14103,corrugatedMetalShapes:poleSupport,24
14104,corrugatedMetalShapes:poleSupport2,24
14107,corrugatedMetalShapes:poleCross3x1,12
14111,corrugatedMetalShapes:pipeStraight,6
14114,corrugatedMetalShapes:pipeFlange,3
14115,corrugatedMetalShapes:pipeFlangeBottom,1
14117,corrugatedMetalShapes:pipeCap,2
14272,corrugatedMetalShapes:cornerRound,1
14291,corrugatedMetalShapes:cubeHalfRamp,1
14326,corrugatedMetalShapes:wedge60,39
14327,corrugatedMetalShapes:wedge60Tip,36
14464,corrugatedMetalShapes:wedgeRampLeft,3
14465,corrugatedMetalShapes:wedgeRampRight,2
14466,corrugatedMetalShapes:wedgeTipRampLeft,3
14467,corrugatedMetalShapes:wedgeTipRampRight,3
14504,corrugatedMetalShapes:wedge60TipWedgeTip,1
14516,corrugatedMetalShapes:wedgeTipHalf,6
14521,corrugatedMetalShapes:platewedgeTipHalf,1
14530,corrugatedMetalShapes:wedgeTipQuarter,6
14539,corrugatedMetalShapes:gableQuarterHalf,2
14541,corrugatedMetalShapes:gable3Quarter,5
14549,corrugatedMetalShapes:gablePlate,5
14550,corrugatedMetalShapes:gablePlateHalf,4
14603,corrugatedMetalShapes:plateDiagonal,8
14604,corrugatedMetalShapes:plateDiagonalHalfLeft,3
14605,corrugatedMetalShapes:plateDiagonalHalfRight,3
14607,corrugatedMetalShapes:plateDiagonalFillerHalfLeft,2
14608,corrugatedMetalShapes:plateDiagonalFillerHalfRight,2
14610,corrugatedMetalShapes:plateDiagonalFillerDoubleHalf,1
14638,corrugatedMetalShapes:plateWedge60Tip,87
14639,corrugatedMetalShapes:plateWedge60TipHalfLeft,12
14640,corrugatedMetalShapes:plateWedge60TipHalfRight,13
14645,corrugatedMetalShapes:plateWedge60Incline,117
14646,corrugatedMetalShapes:plateWedge60InclineHalfLeft,12
14647,corrugatedMetalShapes:plateWedge60InclineHalfRight,12
14648,corrugatedMetalShapes:plateWedge60Filler,50
14649,corrugatedMetalShapes:plateWedge60FillerHalfLeft,12
14650,corrugatedMetalShapes:plateWedge60FillerHalfRight,12
14663,corrugatedMetalShapes:plateWedge60TipWallLeftTrim,1
14664,corrugatedMetalShapes:plateWedge60TipWallRightTrim,1
14671,corrugatedMetalShapes:plateWedge60TipPipe,3
14696,corrugatedMetalShapes:slopePlate01,12
14697,corrugatedMetalShapes:slopePlate02,4
14728,corrugatedMetalShapes:wedge60Offset,20
14729,corrugatedMetalShapes:cubeHalfgableInvertedQuarterOffset,10
14759,corrugatedMetalShapes:platePillar0.025,1
14773,corrugatedMetalShapes:gablePlatePillar0.025,1
14789,corrugatedMetalShapes:stairsRailing,1
14895,corrugatedMetalShapes:catwalkV2RailOnly,2
14902,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,1
14995,corrugatedMetalShapes:cubeTrimHalfSplit,8
15010,corrugatedMetalShapes:cubeTrimCornerQuarter,1
15310,corrugatedMetalShapes:doorTrimCorner,2
15314,corrugatedMetalShapes:doorTrim1m,31
15315,corrugatedMetalShapes:doorTrim1mOffCenter,3
15322,corrugatedMetalShapes:doorTrimTwoSided,4
15706,corrugatedMetalShapes:plateDestroyed02,1
15717,corrugatedMetalShapes:plateWedge60InclineDestroyed,2
15719,corrugatedMetalShapes:plateWedge60TipDestroyed,1
15720,corrugatedMetalShapes:plateWedge60TipDestroyed02,1
15750,corrugatedMetalShapes:shantywall04,2
15787,corrugatedMetalShapes:plateBracketCentered,8
15809,corrugatedMetalShapes:fakeDynamicGrate,3
15811,corrugatedMetalShapes:table,1
15812,corrugatedMetalShapes:tableDynamic,2
15815,corrugatedMetalShapes:prepTableDynamic,2
15879,corrugatedMetalShapes:ladderRound,1
15881,corrugatedMetalShapes:ladderRoundBroken2,1
15924,corrugatedMetalShapes:plateSidewalkBroke01,2
18373,bulletproofShapes:windowStoreTwoSidedBulletproofFull,2
18375,bulletproofShapes:windowStoreThreeSidedBulletproofFull,9
18379,bulletproofShapes:windowStoreCornerBulletproofFull,8
18510,cntWallSafeOpen,1
