id,name,count
2,terrainFiller,725
16,terrGravel,308
17,terrAsphalt,2026
259,woodShapes:cube,238
274,woodShapes:cubeHalf,29
316,woodShapes:pole,323
318,woodShapes:poleSideCentered,2
322,woodShapes:poleTwoWayCorner,9
323,woodShapes:poleThreeWayCorner,9
333,woodShapes:poleSquareBracketCorner,4
341,woodShapes:poleSquareDouble,1
367,woodShapes:polePlate,1
376,woodShapes:cubeQuarterCenteredSquareTop,1
383,woodShapes:plate,16
412,woodShapes:plateThreeQuarter,7
413,woodShapes:plateHalf,203
416,woodShapes:plateQuarter,13
462,woodShapes:quarterPillar1m,102
475,woodShapes:logsHalf,40
476,woodShapes:logsHalf2,40
477,woodShapes:logsHalfCorner,16
1103,woodShapes:slopePlate01,6
1104,woodShapes:slopePlate02,2
1105,woodShapes:slopePlate03,12
1107,woodShapes:slopeHalfPlateLeft01,2
1108,woodShapes:slopeHalfPlateLeft02,2
1109,woodShapes:slopeHalfPlateLeft03,4
1110,woodShapes:slopeHalfPlateLeft04,2
1111,woodShapes:slopeHalfPlateLeftFiller,2
1112,woodShapes:slopeHalfPlateRight01,2
1113,woodShapes:slopeHalfPlateRight02,2
1114,woodShapes:slopeHalfPlateRight03,4
1115,woodShapes:slopeHalfPlateRight04,2
1116,woodShapes:slopeHalfPlateRightFiller,2
1196,woodShapes:stairsRailing,30
1248,woodShapes:catwalkV1Railing,15
1254,woodShapes:catwalkV1RailOnly,5
1382,woodShapes:counterBottomFiller,2
1383,woodShapes:counterRound1m,1
1400,woodShapes:cubeTrimHalfEdge,12
1696,woodShapes:doorTrim0.5m,4
1698,woodShapes:doorTrim1m,10
1709,woodShapes:doorTrimHalfDouble,9
1710,woodShapes:doorTrimHalfThreeSidedLeft,1
2168,woodShapes:plateBracketCentered,2
2193,woodShapes:tableDynamic,2
2224,woodShapes:cubeBookcase,3
2262,woodShapes:ladderSquare,14
6925,concreteShapes:cube,998
6927,concreteShapes:cubeHalfInsideCorner,2
6934,concreteShapes:cubeHalfCorner,4
6982,concreteShapes:pole,91
6988,concreteShapes:poleTwoWayCorner,1
7011,concreteShapes:cubePoleCorner,5
7040,concreteShapes:poleSquareCornerRound,1
7046,concreteShapes:cubeHalfPlateCorner2,6
7049,concreteShapes:plate,18
7092,concreteShapes:platePoleCornerFiller,1
7093,concreteShapes:platePoleCorner,21
7097,concreteShapes:poleTwoWayPlateCorner,1
7111,concreteShapes:billboardQuarterTrim,2
7113,concreteShapes:billboard,1
7121,concreteShapes:pillar100,1
7528,concreteShapes:wedgeNarrowHigh,4
7850,concreteShapes:stairsFilledQuarterVerticalUV,1
8057,concreteShapes:cubeTrimHalfSplit,10
8127,concreteShapes:cubeTrimQuarterEdge,100
8237,concreteShapes:cubeTrimQuarterEdgeTwoSided,69
8243,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,7
8257,concreteShapes:cubeTrimCornerRound,3
8977,concreteShapes:roadPaintDashCNTR,65
9204,steelShapes:pole,40
9355,steelShapes:pillar50,8
9753,steelShapes:wedgeNarrowTip,6
9975,steelShapes:slopePlate02PoleLeft,2
9976,steelShapes:slopePlate02PoleRight,2
10678,steelShapes:windowStoreFourSidedFull,1
10679,steelShapes:windowStoreCornerFull,22
10915,steelShapes:windowPanel,18
11038,steelShapes:iBeamSmall,22
11147,steelShapes:ladderRound,10
13591,corrugatedMetalShapes:cube,74
13649,corrugatedMetalShapes:poleCentered,8
13650,corrugatedMetalShapes:poleSideCentered,57
13657,corrugatedMetalShapes:poleSquareCenteredTee,2
13668,corrugatedMetalShapes:poleSquareBracketLeft,6
13669,corrugatedMetalShapes:poleSquareBracketRight,6
13715,corrugatedMetalShapes:plate,24
13755,corrugatedMetalShapes:platePole,4
13777,corrugatedMetalShapes:billboardQuarterTrim,12
13780,corrugatedMetalShapes:billboardCentered,6
14029,corrugatedMetalShapes:cubeQuarterRoundOutside,2
14377,corrugatedMetalShapes:plateWedge60Tip,24
14384,corrugatedMetalShapes:plateWedge60Incline,48
14404,corrugatedMetalShapes:plateWedge60TipOutsideCorner,8
14405,corrugatedMetalShapes:plateWedge60InclineOutsideCorner,16
14498,corrugatedMetalShapes:platePillar0.025,2
14507,corrugatedMetalShapes:pillar50Platepillar0.0125,1
14508,corrugatedMetalShapes:pillar50PlatePillar0.025,1
15030,corrugatedMetalShapes:doorTrim1m,16
15038,corrugatedMetalShapes:doorTrimTwoSided,12
15119,corrugatedMetalShapes:windowStoreOneSidedFull,10
15120,corrugatedMetalShapes:windowStoreTwoSidedFull,2
15121,corrugatedMetalShapes:windowStoreThreeSidedFull,10
15359,corrugatedMetalShapes:windowPanel,16
15497,corrugatedMetalShapes:bracket,2
15498,corrugatedMetalShapes:bracketCentered,2
15642,corrugatedMetalShapes:roadPaintDash,12
15675,corrugatedMetalShapes:roadPaintWedge,12
15678,corrugatedMetalShapes:roadPaintWedge2,12
15736,corrugatedMetalShapes:cubeFacadeCap,16
15737,corrugatedMetalShapes:cubeFacadeCapCorner,1
15741,corrugatedMetalShapes:cubeFacadeTile,16
15742,corrugatedMetalShapes:cubeFacadeTileCorner,1
15744,corrugatedMetalShapes:cubeHalfFacadeCap,16
15745,corrugatedMetalShapes:cubeHalfFacadeCapCorner,1
15768,corrugatedMetalShapes:signLetter_a,1
15771,corrugatedMetalShapes:signLetter_d,1
15772,corrugatedMetalShapes:signLetter_e,1
15774,corrugatedMetalShapes:signLetter_g,1
15775,corrugatedMetalShapes:signLetter_h,2
15785,corrugatedMetalShapes:signLetter_r,2
15787,corrugatedMetalShapes:signLetter_t,1
15788,corrugatedMetalShapes:signLetter_u,1
18262,cntMunitionsBoxArmy,1
18267,cntAmmoPileSmall,2
18268,cntAmmoPileMedium,1
18278,cntMedicLootPileACorner,1
18296,cntShippingCrateConstructionSupplies,24
18298,cntCardboardBox,1
18334,cntTraderSuperChest,1
18345,cntWoodenChestMilitaryOpen,2
18346,cntWoodenChestMilitaryRandomLootHelper,1
18375,cntFootlockerOpenArmyGreen,1
18461,cntPillCaseRandomLootHelper,3
18495,cntTrashPile01,1
18498,cntTrashPile04,2
18501,cntTrashPile07,1
18502,cntTrashPile08,2
18503,cntTrashPile09,2
18505,garbage_decor2,1
18577,cntBinTrashPlasticBlackRandomLootHelper,1
18585,cntDomedTrashCanCornerRandomLootHelper,5
18588,cntBruteStyleTrashCanRandomLootHelper,1
18630,cntCoolerRandomLootHelper,1
18633,cntCoolerOpenGreen,1
18687,airConditioner,2
18689,airConditionVentFanDouble,2
18797,commercialSingleMeter,1
18806,conduitSingleCentered,1
18855,motionsensorLeftPOI,1
18856,motionsensorRightPOI,2
18859,loudspeaker,1
18963,wallClockRandomLootHelper,1
18968,radioHam,1
19023,lightCeilingBulbSocketBlack,2
19040,recessedLightOffset,1
19042,lightCeiling07,1
19044,fluorescentLight,9
19060,trackLight,1
19062,lightIndustrial,1
19068,lightIndustrialHangingGrey,1
19079,lanternDecorLightRandomHelper,2
19128,signExitFrameMountHigh,1
19130,signExitFrameMountHigh2mCentered,1
19179,workLightPOI,1
19181,streetLight02,1
19187,spotlightDownLeft_POI,2
19188,spotlightDownStraight_POI,2
19212,burningBarrel,1
19225,tentBiohazardCapLeftArmyGreen,4
19234,tentBiohazardCapCenterArmyGreen,4
19243,tentBiohazardCapRightArmyGreen,4
19252,tentBiohazardWallArmyGreen,5
19270,tentBiohazardWallRollupArmyGreen,3
19297,tentBiohazardWallTubeArmyGreen,2
19333,tentBiohazardRoofArmyGreen,10
19369,tentBiohazardRoofCenterArmyGreen,4
19378,tentBiohazardRoofCenterSupportArmyGreen,1
19500,banditWallRibbed2x1Brown,3
19501,banditWallRibbed2x1Red,1
19502,banditWallRibbed2x1Orange,1
19503,banditWallRibbed2x1Yellow,2
19504,banditWallRibbed2x1Green,1
19505,banditWallRibbed2x1Blue,1
19557,banditPlatform3x2A,33
19558,banditPlatform3x3A,3
19559,banditPlatform3x3B,1
19573,banditSupport2m,8
19574,banditSupport3m,85
19584,doorWoodLargeGate,2
19589,logWallLeftSpikes,32
19590,logWallLeftSpikes2,1
19591,logWallRightSpikes,31
19594,logWallPillar,9
19595,logWallPillarCap,4
19596,logWallPillarCap2,3
19597,sandbagStraight01,19
19598,sandbagCorner01Short,4
19601,sandbagEnd01,4
19602,sandbagEnd02,4
19728,pictureFrame_01b,1
19736,pictureFrame_01j,1
