id,name,count
2,terrainFiller,5373
5,terrDirt,378
16,terrGravel,274
17,terrAsphalt,1022
259,woodShapes:cube,725
274,woodShapes:cubeHalf,136
275,woodShapes:cubeHalfCentered,14
277,woodShapes:cubeCornerBeveled,8
291,woodShapes:cubeQuarter,26
293,woodShapes:quarterCenteredWall,40
296,woodShapes:quarterInsideCorner,2
298,woodShapes:cubeTee,8
299,woodShapes:quarterCenteredTee,1
304,woodShapes:wedge60TipCornerCubeQuarter,4
310,woodShapes:pole,38
316,woodShapes:poleTwoWayCorner,8
322,woodShapes:poleSquareCornerBracketLeft,9
324,woodShapes:poleSquareCornerBracketRight,1
333,woodShapes:poleSquareDouble,30
335,woodShapes:poleSquareDoubleTop,4
350,woodShapes:poleSquareDiagonal,4
359,woodShapes:polePlate,12
375,woodShapes:plate,11
415,woodShapes:platePole,7
439,woodShapes:billboard,15
663,woodShapes:archCurveBase,6
664,woodShapes:archCurveMiddle,6
665,woodShapes:archCurveTop,2
666,woodShapes:archCurveFiller,2
670,woodShapes:archCurveWall,14
672,woodShapes:archCurveKeystoneTop,2
673,woodShapes:archCurveKeystoneBottom,2
674,woodShapes:archCurveTopDoubleTop,2
675,woodShapes:archCurveTopDoubleBottom,2
685,woodShapes:cubeHalfQuarterRoundInside,8
694,woodShapes:ramp,62
697,woodShapes:rampTipOffset,44
698,woodShapes:rampTipOffsetHalfLeft,2
699,woodShapes:rampTipOffsetHalfRight,2
722,woodShapes:rampSplitLeft04,1
723,woodShapes:rampSplitRight04,1
726,woodShapes:rampSplitInclineLeft,2
727,woodShapes:rampSplitInclineRight,2
728,woodShapes:wedge60,52
729,woodShapes:wedge60Tip,135
730,woodShapes:wedge60TipHalf,30
733,woodShapes:wedge60TipHalfCornerLeft,3
734,woodShapes:wedge60TipHalfCornerRight,3
741,woodShapes:wedge60Incline,31
742,woodShapes:cubeHalfWedge60Incline,2
744,woodShapes:cubeHalfWedge60InclineRampInclineHalfFillerRight,1
775,woodShapes:rampInclineHalfLeft,14
776,woodShapes:rampInclineHalfRight,14
785,woodShapes:wedge60TipRampInclineHalfFillerLeft,1
786,woodShapes:wedge60TipRampInclineHalfFillerRight,1
787,woodShapes:wedge60TipHalfRampTipOffsetHalfLeft,1
788,woodShapes:wedge60TipHalfRampTipOffsetHalfRight,1
789,woodShapes:wedge60RampInclineHalfFillerLeft,1
806,woodShapes:wedge60SplitRight05,2
808,woodShapes:wedge60SplitRight06,1
827,woodShapes:wedge60InclineHalfLeft,8
828,woodShapes:wedge60InclineHalfRight,8
831,woodShapes:wedge60TipHalfLeft,14
832,woodShapes:wedge60TipHalfRight,14
836,woodShapes:wedge60TipCornerBase,8
837,woodShapes:wedge60TipCornerTop,4
838,woodShapes:wedgeInsideCornerBase,4
928,woodShapes:gable3Quarter,12
932,woodShapes:gable3QuarterHalf,2
976,woodShapes:rampIncline,196
977,woodShapes:rampInclineFiller,162
978,woodShapes:rampInclineFillerHalfLeft,12
979,woodShapes:rampInclineFillerHalfRight,12
1055,woodShapes:slopePlate02PoleLeft,2
1056,woodShapes:slopePlate02PoleRight,1
1071,woodShapes:slopePlate01,5
1072,woodShapes:slopePlate02,6
1085,woodShapes:slopePlateCorner01,2
1086,woodShapes:slopePlateCorner02,2
1105,woodShapes:gazeboRoofV101,1
1106,woodShapes:gazeboRoofV102,4
1107,woodShapes:gazeboRoofV103,4
1108,woodShapes:gazeboRoofV104,4
1109,woodShapes:gazeboRoofV105,4
1110,woodShapes:gazeboRoofV106,4
1111,woodShapes:gazeboRoofV107,4
1112,woodShapes:gazeboRoofV108,4
1113,woodShapes:gazeboRoofV109,4
1114,woodShapes:gazeboRoofV110,8
