id,name,count
2,terrainFiller,910
5,terrDirt,305
16,terrGravel,1044
18,terrConcrete,1279
259,woodShapes:cube,590
274,woodShapes:cubeHalf,29
277,woodShapes:cubeCornerBeveled,1
310,woodShapes:pole,79
312,woodShapes:poleSideCentered,5
316,woodShapes:poleTwoWayCorner,1
325,woodShapes:poleSquareBracketCorner,4
328,woodShapes:poleSquareBracketLeft,1
329,woodShapes:poleSquareBracketRight,1
332,woodShapes:poleSquareSideCenteredBracketDouble,1
337,woodShapes:cubePoleCorner,1
375,woodShapes:plate,86
376,woodShapes:plateCentered,3
387,woodShapes:plateCorner,8
415,woodShapes:platePole,11
416,woodShapes:platePoleSideCentered,5
419,woodShapes:platePoleCorner,4
729,woodShapes:wedge60,12
730,woodShapes:wedge60Tip,34
776,woodShapes:rampInclineHalfLeft,2
777,woodShapes:rampInclineHalfRight,2
828,woodShapes:wedge60InclineHalfLeft,2
829,woodShapes:wedge60InclineHalfRight,2
832,woodShapes:wedge60TipHalfLeft,8
833,woodShapes:wedge60TipHalfRight,8
843,woodShapes:wedgeNarrowHigh,33
844,woodShapes:wedgeNarrowMid,38
845,woodShapes:wedgeNarrowLow,38
918,woodShapes:wedgeTipQuarter,4
929,woodShapes:gable3Quarter,8
933,woodShapes:gable3QuarterHalf,2
937,woodShapes:gablePlate,2
938,woodShapes:gablePlateHalf,2
939,woodShapes:gablePlateEnd,4
989,woodShapes:plateDiagonal,2
1018,woodShapes:plateWedge60Tip,4
1019,woodShapes:plateWedge60TipHalfLeft,2
1020,woodShapes:plateWedge60TipHalfRight,2
1039,woodShapes:plateWedge60TipWallLeftTrim,4
1040,woodShapes:plateWedge60TipWallRightTrim,4
1072,woodShapes:slopePlate01,7
1073,woodShapes:slopePlate02,7
1074,woodShapes:slopePlate03,7
1075,woodShapes:slopePlate04,7
1091,woodShapes:slopePlateFiller,7
1092,woodShapes:slopePlateLeft01,1
1094,woodShapes:slopePlateLeft02,1
1096,woodShapes:slopePlateLeft03,1
1097,woodShapes:slopePlateLeft04,1
1098,woodShapes:slopePlateRight01,1
1100,woodShapes:slopePlateRight02,1
1102,woodShapes:slopePlateRight03,1
1103,woodShapes:slopePlateRight04,1
1147,woodShapes:stairs,1
1149,woodShapes:stairsRailing,5
1321,woodShapes:counterBottomFiller,13
1339,woodShapes:cubeTrimHalfEdge,24
1625,woodShapes:doorTrimCorner,17
1629,woodShapes:doorTrim1m,88
1630,woodShapes:doorTrim1mOffCenter,6
1633,woodShapes:doorTrim1mDouble,2
1645,woodShapes:windowTrim,35
1646,woodShapes:windowTrimBottom,17
1797,woodShapes:window01,26
1993,woodShapes:floorJoist,23
2041,woodShapes:table,19
2115,woodShapes:trellisSquare,12
2123,woodShapes:balusterRail02,39
2125,woodShapes:fence,97
2126,woodShapes:fenceDiagonal,10
6433,concreteShapes:cube,402
6621,concreteShapes:pillar100,1
7504,concreteShapes:cubeTrimHalfSplit,12
12607,corrugatedMetalShapes:cube,123
12622,corrugatedMetalShapes:cubeHalf,47
12639,corrugatedMetalShapes:cubeQuarter,8
12658,corrugatedMetalShapes:pole,39
12661,corrugatedMetalShapes:poleHalf,4
12670,corrugatedMetalShapes:poleSquareCornerBracketLeft,1
12672,corrugatedMetalShapes:poleSquareCornerBracketRight,1
12673,corrugatedMetalShapes:poleSquareBracketCorner,2
12723,corrugatedMetalShapes:plate,15
12753,corrugatedMetalShapes:plateHalf,18
12756,corrugatedMetalShapes:plateQuarter,4
12807,corrugatedMetalShapes:pillar50,9
12838,corrugatedMetalShapes:pillar0.025Centered,6
12871,corrugatedMetalShapes:pipeThin,2
12872,corrugatedMetalShapes:pipeThinCornerDown,2
12902,corrugatedMetalShapes:cube5mArch01,32
12916,corrugatedMetalShapes:cubeQuarter5mRound02,32
12917,corrugatedMetalShapes:cubeQuarter5mRound03,32
12918,corrugatedMetalShapes:cubeQuarter5mRound04,32
12919,corrugatedMetalShapes:cubeQuarter5mRound05,32
12922,corrugatedMetalShapes:cube5mRoundRoofTop01,2
12923,corrugatedMetalShapes:cube5mRoundRoofTop02,8
12924,corrugatedMetalShapes:cube5mRoundRoofTop03,8
12925,corrugatedMetalShapes:cube5mRoundRoofBottom01,8
12926,corrugatedMetalShapes:cube5mRoundRoofBottom02,8
12927,corrugatedMetalShapes:cube5mRoundRoofBottom03,8
12928,corrugatedMetalShapes:cube5mRoundRoofBottom04,8
12929,corrugatedMetalShapes:cube5mRoundRoofBottom05,8
12930,corrugatedMetalShapes:cube5mRoundRoofBottom06,8
13043,corrugatedMetalShapes:ramp,10
13071,corrugatedMetalShapes:rampSplitLeft04,2
13072,corrugatedMetalShapes:rampSplitRight04,2
13075,corrugatedMetalShapes:rampSplitInclineLeft,4
13076,corrugatedMetalShapes:rampSplitInclineRight,4
13077,corrugatedMetalShapes:wedge60,92
13078,corrugatedMetalShapes:wedge60Tip,178
13090,corrugatedMetalShapes:wedge60Incline,26
