id,name,count
2,terrainFiller,517
5,terrDirt,10
16,terrGravel,97
316,woodShapes:pole,2
345,woodShapes:cubePoleCorner,6
383,woodShapes:plate,8
427,woodShapes:platePoleCorner,10
2019,woodShapes:windowBoarded,1
2087,woodShapes:plateDestroyed,2
2088,woodShapes:plateDestroyed02,2
2125,woodShapes:woodDebris03,1
13576,awningShapes:tarp6x3,1
13594,corrugatedMetalShapes:cubeHalf,7
13615,corrugatedMetalShapes:cubeQuarterPlateCorner,2
13638,corrugatedMetalShapes:poleSideCentered,1
13703,corrugatedMetalShapes:plate,46
13733,corrugatedMetalShapes:plateHalf,4
13740,corrugatedMetalShapes:plateQuarterTriangleCorner,4
13816,corrugatedMetalShapes:pillar0.025,9
13817,corrugatedMetalShapes:pillar0.025Half,2
14017,corrugatedMetalShapes:cubeQuarterRoundOutside,12
14019,corrugatedMetalShapes:plateQuarterRoundOutside,4
14020,corrugatedMetalShapes:plateFenderSkirt,2
14333,corrugatedMetalShapes:plateDiagonalFiller,2
15016,corrugatedMetalShapes:doorTrim1m,4
15017,corrugatedMetalShapes:doorTrim1mOffCenter,2
15020,corrugatedMetalShapes:doorTrim1mDouble,1
15024,corrugatedMetalShapes:doorTrimTwoSided,4
15025,corrugatedMetalShapes:doorTrimThreeSided,1
15200,corrugatedMetalShapes:windowPlateRoundedSquare4SidedHalfWidthFull,3
15213,corrugatedMetalShapes:windowPlateCircleBroken,2
15235,corrugatedMetalShapes:windowPlateRoundedSquare3SidedEmpty,2
15408,corrugatedMetalShapes:plateDestroyed02,1
15446,corrugatedMetalShapes:shantywall01,8
15448,corrugatedMetalShapes:shantywall03,2
15449,corrugatedMetalShapes:shantywall04,3
15569,corrugatedMetalShapes:verticalBlindsTopRailOnly,6
18258,cntChemPileSmall,1
18269,cntFoodPileSmallCornerRandomHelper,1
18387,cntCabinetOldBottomLootHelper,1
18393,cntCounterHollowCabinetOldRandomLootHelper,1
18405,sinkKitchen,1
18479,cntTrashPile01,1
18480,cntTrashPile02,1
18481,cntTrashPile03,1
18482,cntTrashPile04,2
18497,newspaperDecor01,1
18500,newspaperDecor04,1
18501,rubbishDecor01,1
18502,rubbishDecor02,1
18505,rubbishDecor05,1
18510,rubbishDecor11,1
18511,rubbishDecor12,1
18512,rubbishDecor13,1
18614,cntCoolerRandomLootHelper,1
18659,cntBagsRandomLootHelper,1
18853,cntRetroFridgeRandomLootHelper,1
18871,cntStoveModernVer1Closed,1
18894,cntCharcoalGrillRandomLootHelper,1
18932,cntMicrowaveRandomLootHelper,1
19073,lanternOld_02,1
19196,burningBarrel,1
19618,chainlinkFenceTopPlainRail,14
19619,chainlinkFenceTopPlainPoleLeft,2
19620,chainlinkFenceTopPlainPoleRight,2
19800,cntBarrelOilSingle00,1
19812,cntBarrelPlasticSingle00,1
19813,cntBarrelPlasticSingle45,1
19824,decoCarFrontDoorFlat,1
19826,decoCarBackDoorFlat,1
19828,decoCarRadiatorFlat,1
19830,decoCarSeatUpright,1
19842,decoCarTireFlat,2
19846,decoCarTireSmallFlat02,1
19853,decoCarWheelOffset03,2
19912,decoCowSkull,1
19922,cinderBlocks02,1
19923,cinderBlocks03,4
19957,palletBricksBase,1
20016,palletEmpty,1
20017,palletEmptyStack,1
20229,cntCollapsedDewCollector,1
20605,trailerDoorBlack,1
20616,woodenFenceDoorGrey,1
21057,curtainDrapesRightHalfTopDirtyGreen,1
21272,cntMailBox01RandomHelper,1
21447,cntDeskMetalYellowRandomLootHelper,1
21469,rustyIronTable,1
21529,chairFoldingMetalUnfoldedGreen,1
21713,cntWaterCoolerBottleSideCentered,1
21725,decoWineBottleShelfRow,1
21726,decoWineBottlePile01,1
21727,decoWineBottlePile02,2
21764,mattressCurled,2
21886,cntToolBoxOffsetRandomLootHelperRed,1
22665,portaPottyBackOrange,1
22675,portaPottyTopSidesOrange,1
22685,portaPottyDoorOrange,1
22811,radiatorHouse01,1
23063,signYardSign01,1
23383,abandonedSUV01RandomHelper,1
23416,abandonedPickupTruck01DoorRandomHelper,1
23776,treeDeadPineLeaf,1
23786,plantShrubRandomHelper,2
23787,plantHangingIvy01,3
23788,plantHangingIvy02,4
23791,treePlainsTree2,1
23832,treeSmallRandomHelper,1
23844,treeBrownGrassDiagonal,1
23849,treeGreenBrownGrassDiagonal,1
23965,sleeperSit,1
23966,sleeperBack,2
23967,sleeperSideLeft,3
23968,sleeperSideRight,4
23970,sleeperIdle,2
