id,name,count
2,terrainFiller,763
5,terrDirt,15
16,terrGravel,647
17,terrAsphalt,339
259,woodShapes:cube,4
274,woodShapes:cubeHalf,4
316,woodShapes:pole,14
383,woodShapes:plate,133
413,woodShapes:plateHalf,9
423,woodShapes:platePole,15
424,woodShapes:platePoleSideCentered,2
427,woodShapes:platePoleCorner,10
467,woodShapes:pillar50,18
689,woodShapes:plateRound,1
1024,woodShapes:plateRamp,9
1107,woodShapes:slopePlate03,2
1196,woodShapes:stairs,2
1198,woodShapes:stairsRailing,10
1323,woodShapes:railing,10
1325,woodShapes:railingCorner,1
1326,woodShapes:railingBroke01,6
1709,woodShapes:doorTrim1m,28
1712,woodShapes:doorTrimDiagonal,1
1713,woodShapes:doorTrim1mDouble,1
1716,woodShapes:doorTrimTop,2
1717,woodShapes:doorTrimTwoSided,2
1725,woodShapes:windowTrim,4
2032,woodShapes:windowBoarded,5
2100,woodShapes:plateDestroyed,1
2101,woodShapes:plateDestroyed02,1
2102,woodShapes:plateDestroyed03,3
2141,woodShapes:shantywall03,2
2142,woodShapes:shantywall04,2
2203,woodShapes:table,2
2204,woodShapes:tableDynamic,3
2216,woodShapes:cupboardAjar,1
2223,woodShapes:counterHollowCombo,1
2225,woodShapes:plateCounter02,7
2235,woodShapes:cubeBookcase,20
2236,woodShapes:cubeCornerBeveledBookcaseEmpty,1
2241,woodShapes:bookcaseEmpty,38
2244,woodShapes:bookcaseHalfEmpty,7
2245,woodShapes:bookcaseHalfEmptyOffset,6
2263,woodShapes:verticalBlindsTopRailOnly,3
2279,woodShapes:trellisDiamond,23
2288,woodShapes:fence,23
2291,woodShapes:fenceBroken1,2
2292,woodShapes:fenceBroken2,1
2296,woodShapes:fencePicketFull,5
2297,woodShapes:fencePicketBroken01,2
2298,woodShapes:fencePicketBroken02,3
2299,woodShapes:fencePicketBroken03,3
2300,woodShapes:fencePicketBroken04,1
2301,woodShapes:fencePicketBroken05,3
2302,woodShapes:fencePicketFallen,1
9415,steelShapes:pillar100,2
9426,steelShapes:pillar100Cap,2
11646,awningShapes:billboardHalf,2
11648,awningShapes:billboardCentered,2
11695,awningShapes:pillar0.0125SideCentered,5
13699,corrugatedMetalShapes:cube,13
13714,corrugatedMetalShapes:cubeHalf,156
13721,corrugatedMetalShapes:cube0.25m,22
13731,corrugatedMetalShapes:halfBlockPoleQuarter,12
13735,corrugatedMetalShapes:cubeQuarterPlateCorner,4
13756,corrugatedMetalShapes:pole,34
13785,corrugatedMetalShapes:cubePoleCorner,4
13820,corrugatedMetalShapes:cubeHalfPlateCorner2,8
13823,corrugatedMetalShapes:plate,421
13824,corrugatedMetalShapes:plateCentered,10
13835,corrugatedMetalShapes:plateCorner,57
13837,corrugatedMetalShapes:plateCornerHalfTopOffset,10
13843,corrugatedMetalShapes:plateCornerTwoWall,4
13853,corrugatedMetalShapes:plateHalf,42
13858,corrugatedMetalShapes:plateHalfTriangle,4
13863,corrugatedMetalShapes:platePole,16
13868,corrugatedMetalShapes:platePoleCorner2,10
13884,corrugatedMetalShapes:billboardQuarter,4
13886,corrugatedMetalShapes:billboardHalf,2
13887,corrugatedMetalShapes:billboard,4
13895,corrugatedMetalShapes:pillar100,3
13936,corrugatedMetalShapes:pillar0.025,4
13938,corrugatedMetalShapes:pillar0.025Centered,5
13945,corrugatedMetalShapes:pillar0.05,18
13949,corrugatedMetalShapes:pillar0.05Middle,7
13950,corrugatedMetalShapes:pillar0.05MiddleHalf,2
13951,corrugatedMetalShapes:pillar0.05Double,2
14127,corrugatedMetalShapes:cornerRound,24
14129,corrugatedMetalShapes:plateRound,12
14181,corrugatedMetalShapes:wedge60,8
14182,corrugatedMetalShapes:wedge60Tip,8
14306,corrugatedMetalShapes:wedgeNarrowLow,6
14307,corrugatedMetalShapes:wedgeNarrowTip,4
14452,corrugatedMetalShapes:plateDiagonal,4
14455,corrugatedMetalShapes:plateDiagonalFiller,2
14464,corrugatedMetalShapes:plateRamp,86
14470,corrugatedMetalShapes:plateRampCornerOutside,14
14471,corrugatedMetalShapes:plateWedge60Left,3
14472,corrugatedMetalShapes:plateWedge60Right,3
14473,corrugatedMetalShapes:plateWedge60LeftTip,2
14474,corrugatedMetalShapes:plateWedge60RightTip,2
14545,corrugatedMetalShapes:slopePlate01,4
14546,corrugatedMetalShapes:slopePlate02,4
14565,corrugatedMetalShapes:slopePlateLeft01,2
14567,corrugatedMetalShapes:slopePlateLeft02,2
14569,corrugatedMetalShapes:slopePlateLeft03,2
14570,corrugatedMetalShapes:slopePlateLeft04,2
14571,corrugatedMetalShapes:slopePlateRight01,2
14573,corrugatedMetalShapes:slopePlateRight02,2
14575,corrugatedMetalShapes:slopePlateRight03,2
14576,corrugatedMetalShapes:slopePlateRight04,2
14608,corrugatedMetalShapes:platePillar0.025,1
14610,corrugatedMetalShapes:cubeHalfPillar0.025,1
14662,corrugatedMetalShapes:wedgeTipStairs,38
14742,corrugatedMetalShapes:catwalkV2RailOnly,2
14761,corrugatedMetalShapes:plateRailing01,10
14762,corrugatedMetalShapes:plateRailing02,2
14774,corrugatedMetalShapes:plateLocalNorthSouthFace,86
14941,corrugatedMetalShapes:cubeHalfTrimQuarterSquare,4
15101,corrugatedMetalShapes:plateTrimSplitInside,32
15147,corrugatedMetalShapes:doorTrim0.5m,6
15149,corrugatedMetalShapes:doorTrim1m,29
15160,corrugatedMetalShapes:doorTrimHalfDouble,4
15240,corrugatedMetalShapes:windowStoreThreeSidedFull,15
15241,corrugatedMetalShapes:windowStoreFourSidedFull,9
15284,corrugatedMetalShapes:windowRampTwoSidedFull,4
15307,corrugatedMetalShapes:windowWedge60TwoSidedFull,4
15332,corrugatedMetalShapes:windowPlateCircleFull,3
15333,corrugatedMetalShapes:windowPlateRoundedSquare4SidedHalfWidthFull,6
15337,corrugatedMetalShapes:windowPlateRoundedSquareHalf3SidedFull,12
15339,corrugatedMetalShapes:windowPlateRoundedSquare2SidedFull,9
15340,corrugatedMetalShapes:windowPlateRoundedSquare3SidedFull,20
15341,corrugatedMetalShapes:windowPlateRoundedSquare4SidedFull,3
15343,corrugatedMetalShapes:windowPlateThreeSidedTriangleFull,2
15368,corrugatedMetalShapes:windowPlateRoundedSquare3SidedEmpty,6
15579,corrugatedMetalShapes:shantywall01,2
15582,corrugatedMetalShapes:shantywall04,5
15640,corrugatedMetalShapes:dynamicGrate,5
15656,corrugatedMetalShapes:cupboardAjar,5
15684,corrugatedMetalShapes:bookcaseHalfEmpty,1
15703,corrugatedMetalShapes:verticalBlindsTopRailOnly,4
15752,corrugatedMetalShapes:farmPlot,1
18411,cntAmmoPileSmall,2
18424,cntFoodPileSmall,3
18453,cntLootChestHeroInsecureT1,1
18473,cntQuestInfestedT1LootHelper,1
18532,cntCabinetBottomFiller,1
18533,cntCabinetBottomRandomLootHelper,5
18539,cntCounterHollowCabinetRandomLootHelper,4
18541,cntCupboardCabinetRedTopLootHelper,24
18544,cntCupboardCornerCNRRed,2
18545,cntCupboardCabinetFullRedTopClosed,2
18553,cntCounterHollowCabinetOldRandomLootHelper,1
18555,cntCupboardCabinetOldTopLootHelper,2
18563,cntCounterHollowCabinetTaupeRandomLootHelper,1
18565,sinkKitchen,6
18566,pedestalSink,1
18567,wallMountSinkCommercial,5
18575,showerHead02,5
18576,showerHandle01,5
18578,cntBathTubGore,2
18581,cntToilet01,3
18583,cntToilet03,3
18599,cntMedicineCabinetClosedRandomLootHelper,3
18600,wallMirror,1
18601,wallMirrorBroken,2
18624,cntbasketLaundryWhiteRandomLootHelper,1
18644,cntTrashPile06,1
18646,cntTrashPile08,1
18649,garbage_decor1,4
18650,garbage_decor2,4
18651,garbage_decor3,1
18682,cntbinTrashRollingOrange,1
18684,cntbinTrashRollingGreen,1
18733,cntBruteStyleTrashCanRandomLootHelper,1
18776,cntCoolerOpen,1
18822,cntBagsRandomLootHelper,1
18823,cntSportsBag01RandomLootHelper,1
18834,airConditioner,3
18835,airConditionVentFan,1
18839,satelliteUnitSmallFloor,2
18945,commercialDualMeter,1
18947,commercialQuadMeter,1
19015,cntRetroFridgeVer2Open,1
19016,cntRetroFridgeRandomLootHelper,4
19020,cntFridgeStainlessSteelRandomLootHelper,2
19021,hoodRangeWhite,1
19030,hoodRangeBlackOffset,1
19037,cntStoveRandomLootHelper,5
19039,cntgasRangeGrey,1
19051,cntwallOvenGreyRandomLootHelper,1
19054,cntGasGrillRandomLootHelper,1
19057,cntCharcoalGrillRandomLootHelper,1
19076,cntWasherOpen,1
19095,cntMicrowaveRandomLootHelper,3
19102,cntToaster,1
19103,cntCoffeeMaker,3
19110,wallClockRandomLootHelper,1
19121,decoLaptop,2
19136,tvSmallWall1x1,3
19143,tvExtraSmallStand1x1,3
19146,tvCRT,2
19178,ceilingLight02_2x2,6
19189,recessedLight,14
19190,recessedLight_2x2,8
19194,lightCeiling07_2x2,1
19221,lightSconce,1
19224,lanternDecorLightRed,1
19269,ceilingFanLight,1
19297,tableLampLight01White,1
19298,tableLampLight01Brown,1
19302,tableLampLight01Green,1
19306,tableLampLight01Black,1
