id,name,count
2,terrainFiller,254
16,terrGravel,184
17,terrAsphalt,10
6349,concreteShapes:cube,161
6364,concreteShapes:cubeHalf,22
6937,concreteShapes:wedgeNarrowHighCorner,4
7423,concreteShapes:halfTrimSplit2,19
7436,concreteShapes:cubeHalfTrimCornerQuarter2,4
7507,concreteShapes:cubeTrimCircle,1
8273,concreteShapes:cubeDrainStriaghtEnd,3
8275,concreteShapes:cubeDrainEndCap,3
8379,steelShapes:cube,8
8579,steelShapes:pillar50,4
9971,steelShapes:windowPanel,6
12439,corrugatedMetalShapes:cube,5
12454,corrugatedMetalShapes:cubeHalf,60
12465,corrugatedMetalShapes:halfBlockPoleQuarter,6
12490,corrugatedMetalShapes:pole,13
12493,corrugatedMetalShapes:poleHalf,4
12496,corrugatedMetalShapes:poleTwoWayCorner,4
12507,corrugatedMetalShapes:poleSquareBracketCornerPlate02,4
12517,corrugatedMetalShapes:cubePoleCorner,4
12534,corrugatedMetalShapes:polePlateHalf,30
12549,corrugatedMetalShapes:cubeQuarterCornerSquareTop,4
12551,corrugatedMetalShapes:cubeHalfPlateCorner,2
12555,corrugatedMetalShapes:plate,46
12585,corrugatedMetalShapes:plateHalf,24
12590,corrugatedMetalShapes:plateHalfTriangle,8
12595,corrugatedMetalShapes:platePole,2
12600,corrugatedMetalShapes:platePoleCorner2,4
12619,corrugatedMetalShapes:billboard,2
12634,corrugatedMetalShapes:quarterPillar1m,21
12639,corrugatedMetalShapes:pillar50,8
12643,corrugatedMetalShapes:halfLengthPillar50,7
12655,corrugatedMetalShapes:pillar50CenteredSquareTop,2
12661,corrugatedMetalShapes:halfBlockPillar50,1
12667,corrugatedMetalShapes:pillar0.025,5
12669,corrugatedMetalShapes:pillar0.025Centered,1
12671,corrugatedMetalShapes:pillar0.025Middle,1
12673,corrugatedMetalShapes:pillar0.025Double,1
12676,corrugatedMetalShapes:pillar0.05,22
12678,corrugatedMetalShapes:pillar0.05Centered,2
12685,corrugatedMetalShapes:pillar0.25Triple,1
12689,corrugatedMetalShapes:poleSupport,32
12690,corrugatedMetalShapes:poleSupport2,32
12692,corrugatedMetalShapes:poleCross,16
12696,corrugatedMetalShapes:pipeStraight,2
12699,corrugatedMetalShapes:pipeFlange,5
12700,corrugatedMetalShapes:pipeCorner,2
12703,corrugatedMetalShapes:pipeThinCornerDown,2
12711,corrugatedMetalShapes:pillar50x25x50Tee,1
12856,corrugatedMetalShapes:cornerRound,1
13027,corrugatedMetalShapes:wedgeNarrowHighCorner,12
13309,corrugatedMetalShapes:pillar50PlatePillar0.05,9
13329,corrugatedMetalShapes:stairsRailingMetal,1
