id,name,count
2,terrainFiller,8975
16,terrGravel,263
17,terrAsphalt,476
29,terrStoneHelper,446
375,woodShapes:plate,7
376,woodShapes:plateCentered,12
1609,woodShapes:crown,8
1614,woodShapes:crownInsideCorner,4
1871,woodShapes:windowBoarded,4
2124,woodShapes:fence,2
2316,brickShapes:cube,456
2331,brickShapes:cubeHalf,195
2432,brickShapes:plate,115
3193,brickShapes:stairsFilledQuarterVerticalUV,2
3229,brickShapes:wedgeTipStairs,31
3386,brickShapes:cubeTrimHalfSplit,13
3456,brickShapes:cubeTrimQuarterEdge,69
6430,concreteShapes:cube,2745
6445,concreteShapes:cubeHalf,390
6462,concreteShapes:cubeQuarter,91
6476,concreteShapes:cubeEighth,4
6546,concreteShapes:plate,9
6558,concreteShapes:plateCorner,1
6576,concreteShapes:plateHalf,50
6579,concreteShapes:plateQuarter,2
6618,concreteShapes:pillar100,6
6865,concreteShapes:ramp,20
6872,concreteShapes:rampInsideCornerFull,1
6899,concreteShapes:wedge60,1
7008,concreteShapes:wedge60TipCornerTop,2
7148,concreteShapes:rampInclineFiller,41
7307,concreteShapes:stairsFilledQuarterVerticalUV,8
7308,concreteShapes:stairsFilledVerticalUV,1
7323,concreteShapes:stairsFilledRailingMetalLeft,6
7324,concreteShapes:stairsFilledRailingMetalRight,5
7327,concreteShapes:stairsHollow,12
7330,concreteShapes:stairsHollowRailingMetalLeft,8
7331,concreteShapes:stairsHollowRailingMetalRight,14
7499,concreteShapes:cubeTrimHalfSplit4Sided,6
7503,concreteShapes:halfTrimSplit,4
7570,concreteShapes:cubeTrimQuarterEdge,68
7605,concreteShapes:cubeTrimQuarterCornerInside,7
7680,concreteShapes:cubeTrimQuarterEdgeTwoSided,38
7686,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,1
7692,concreteShapes:cubeTrimQuarterEdgeDouble,6
7697,concreteShapes:cubeTrimCornerRound,2
8225,concreteShapes:cupboardCorner,35
8241,concreteShapes:cubeTileBroken,9
8329,concreteShapes:roadPaintDashCNTR,41
8519,steelShapes:cubeQuarter,36
8533,steelShapes:cubeEighth,6
10264,steelShapes:securityGatePlate,12
12601,corrugatedMetalShapes:cube,211
12616,corrugatedMetalShapes:cubeHalf,138
12629,corrugatedMetalShapes:halfQuarterPost,12
12652,corrugatedMetalShapes:pole,18
12654,corrugatedMetalShapes:poleSideCentered,20
12717,corrugatedMetalShapes:plate,26
12729,corrugatedMetalShapes:plateCorner,32
12747,corrugatedMetalShapes:plateHalf,12
12789,corrugatedMetalShapes:pillar100,2
12801,corrugatedMetalShapes:pillar50,61
12829,corrugatedMetalShapes:pillar0.025,6
12831,corrugatedMetalShapes:pillar0.025Centered,6
12833,corrugatedMetalShapes:pillar0.025Middle,96
12840,corrugatedMetalShapes:pillar0.05Centered,16
12842,corrugatedMetalShapes:pillar0.05Middle,8
13018,corrugatedMetalShapes:cornerRound,13
13036,corrugatedMetalShapes:ramp,1
13070,corrugatedMetalShapes:wedge60,48
13071,corrugatedMetalShapes:wedge60Tip,4
13178,corrugatedMetalShapes:wedge60TipCornerBase,4
13317,corrugatedMetalShapes:halfRampStairs50Filler,12
13319,corrugatedMetalShapes:rampInclineFiller,6
13469,corrugatedMetalShapes:pillar50Platepillar0.0125,1
13470,corrugatedMetalShapes:pillar50PlatePillar0.025,1
13478,corrugatedMetalShapes:stairsFilledQuarterVerticalUV,20
13593,corrugatedMetalShapes:catwalkV2RailOnlyCornerEndLeft,1
13596,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,1
13597,corrugatedMetalShapes:catwalkV2RailOnlySingleDoubleEnd,2
13741,corrugatedMetalShapes:cubeTrimQuarterEdge,32
13772,corrugatedMetalShapes:cubeTrimQuarterCornerOutside,4
13863,corrugatedMetalShapes:cubeTrimQuarterEdgeDouble,11
13970,corrugatedMetalShapes:doorTrim1m,15
13974,corrugatedMetalShapes:doorTrim1mDouble,1
14019,corrugatedMetalShapes:windowStoreOneSidedFull,32
14021,corrugatedMetalShapes:windowStoreThreeSidedFull,8
14023,corrugatedMetalShapes:windowStoreCornerFull,64
14151,corrugatedMetalShapes:window04Broken01,12
14154,corrugatedMetalShapes:windowIndustrial01Broken01,11
14155,corrugatedMetalShapes:windowIndustrial01Broken02,11
14380,corrugatedMetalShapes:fakeDynamicGrate,1
14481,corrugatedMetalShapes:industrialFenceBottom,115
14484,corrugatedMetalShapes:industrialFenceTop,115
16716,bulletproofShapes:windowStoreTwoSidedBulletproofFull,4
16717,bulletproofShapes:windowStoreThreeSidedBulletproofFull,4
16718,bulletproofShapes:windowStoreFourSidedBulletproofFull,4
16904,cntAmmoPileSmall,1
16914,cntMedicLootPileA,1
16917,cntFoodPileSmall,1
16930,cntShippingCrateWorkingStiffs,1
16932,cntShippingCrateMoPowerElectronics,1
16935,cntCardboardBox,1
