id,name,count
2,terrainFiller,6259
5,terrDirt,43
16,terrGravel,295
17,terrAsphalt,537
1799,woodShapes:windowStoreTwoSidedFull,4
2038,woodShapes:windowPanel,6
2241,woodShapes:bookcaseEmpty,1
2288,woodShapes:fence,8
6979,concreteShapes:cube,2239
6982,concreteShapes:cubeThreeQuarter,15
6994,concreteShapes:cubeHalf,247
6995,concreteShapes:cubeHalfCentered,107
7001,concreteShapes:cube0.25m,8
7017,concreteShapes:cubeQuarter,3
7033,concreteShapes:cubeHalfPoleCorner,1
7036,concreteShapes:pole,55
7039,concreteShapes:poleHalf,13
7061,concreteShapes:poleSquareDouble,3
7075,concreteShapes:poleSquareTipLeft,1
7080,concreteShapes:catwalkPlate,6
7082,concreteShapes:polePlateHalf,124
7087,concreteShapes:polePlate,19
7100,concreteShapes:cubeHalfPlateCorner2,2
7103,concreteShapes:plate,6
7166,concreteShapes:billboardHalf,6
7247,concreteShapes:pipeStraightOpenEnded,2
7425,concreteShapes:ramp,1
7907,concreteShapes:stairsFilledVerticalUV,4
8056,concreteShapes:cubeBaseboard,19
8122,concreteShapes:cubeTrimHalfSplit,46
8127,concreteShapes:halfTrimSplit2,54
8132,concreteShapes:cubeTrimHalfEdge2,12
8137,concreteShapes:cubeTrimCornerQuarter,16
8140,concreteShapes:cubeHalfTrimCornerQuarter2,2
8192,concreteShapes:cubeTrimQuarterEdge,63
8211,concreteShapes:cubeTrimCircle,5
8220,concreteShapes:cubeTrimQuarterSquare,1
8227,concreteShapes:cubeTrimQuarterCornerInside,5
8302,concreteShapes:cubeTrimQuarterEdgeTwoSided,15
8322,concreteShapes:cubeTrimCornerRound,1
8429,concreteShapes:doorTrim1m,2
8804,concreteShapes:concreteDestroyed05,1
8805,concreteShapes:concreteDestroyed06,1
8806,concreteShapes:concreteDestroyed07,1
8953,concreteShapes:cubeTileBroken,1
9043,concreteShapes:roadPaintDashCNTR,50
9107,concreteShapes:cubeDrainStraightEnd,7
9109,concreteShapes:cubeDrainEndCap,8
13699,corrugatedMetalShapes:cube,746
13702,corrugatedMetalShapes:cubeThreeQuarter,137
13708,corrugatedMetalShapes:cubeHalfCorner,16
13713,corrugatedMetalShapes:cubeHalfCornerTopPlate02,2
13714,corrugatedMetalShapes:cubeHalf,152
13721,corrugatedMetalShapes:cube0.25m,8
13722,corrugatedMetalShapes:cubeCornerBeveled,95
13730,corrugatedMetalShapes:cubeHalfCornerBeveled,24
13732,corrugatedMetalShapes:cubeHalfPoleQuarterSideCentered,8
13736,corrugatedMetalShapes:cubeQuarterPlateCorner2,4
13737,corrugatedMetalShapes:cubeQuarter,4
13756,corrugatedMetalShapes:pole,24
13757,corrugatedMetalShapes:poleCentered,139
13758,corrugatedMetalShapes:poleSideCentered,187
13761,corrugatedMetalShapes:poleHalfSideCentered,1
13762,corrugatedMetalShapes:poleTwoWayCorner,2
13766,corrugatedMetalShapes:poleSquareSideCenteredTee,3
13785,corrugatedMetalShapes:cubePoleCorner,5
13800,corrugatedMetalShapes:catwalkPlate,30
13802,corrugatedMetalShapes:polePlateHalf,3
13807,corrugatedMetalShapes:polePlate,112
13820,corrugatedMetalShapes:cubeHalfPlateCorner2,26
13823,corrugatedMetalShapes:plate,264
13826,corrugatedMetalShapes:plateCladding01,3
13853,corrugatedMetalShapes:plateHalf,30
13856,corrugatedMetalShapes:plateQuarter,6
13866,corrugatedMetalShapes:platePoleCornerFiller,4
13868,corrugatedMetalShapes:platePoleCorner2,8
13886,corrugatedMetalShapes:billboardHalf,4
13895,corrugatedMetalShapes:pillar100,12
13898,corrugatedMetalShapes:pillar1006Way,2
13907,corrugatedMetalShapes:pillar50,18
13911,corrugatedMetalShapes:halfLengthPillar50,6
13923,corrugatedMetalShapes:pillar50CornerPlate,5
13925,corrugatedMetalShapes:pillar50CenteredSquareBottom,7
13930,corrugatedMetalShapes:halfBlockPillar50,1
13934,corrugatedMetalShapes:pillar0.0125Centered,168
13936,corrugatedMetalShapes:pillar0.025,192
13938,corrugatedMetalShapes:pillar0.025Centered,6
13940,corrugatedMetalShapes:pillar0.025Middle,44
13945,corrugatedMetalShapes:pillar0.05,34
13947,corrugatedMetalShapes:pillar0.05Centered,27
13949,corrugatedMetalShapes:pillar0.05Middle,23
13954,corrugatedMetalShapes:pillar0.25Triple,7
13956,corrugatedMetalShapes:pillarCrossSupport,12
13957,corrugatedMetalShapes:pillarCrossSupportFiller,12
13958,corrugatedMetalShapes:poleSupport,3
13959,corrugatedMetalShapes:poleSupport2,3
13965,corrugatedMetalShapes:poleCrossHalf,6
13966,corrugatedMetalShapes:pipeStraight,26
13968,corrugatedMetalShapes:pipeJoint,160
13969,corrugatedMetalShapes:pipeFlange,195
13970,corrugatedMetalShapes:pipeFlangeBottom,7
13971,corrugatedMetalShapes:pipeCorner,16
13972,corrugatedMetalShapes:pipeCap,24
13973,corrugatedMetalShapes:pipeThin,8
13974,corrugatedMetalShapes:pipeThinCornerDown,7
13975,corrugatedMetalShapes:pipeThinCornerUp,4
13976,corrugatedMetalShapes:pillar50UtilityTop,6
13977,corrugatedMetalShapes:poleUtilitySupport,18
13978,corrugatedMetalShapes:pillar375,16
13979,corrugatedMetalShapes:pillar375UtilityTop,12
13980,corrugatedMetalShapes:pillar25,62
13981,corrugatedMetalShapes:pillar25x25x25Tee,76
13982,corrugatedMetalShapes:pillar50x25x50Tee,140
13998,corrugatedMetalShapes:cube3mCenter,8
14127,corrugatedMetalShapes:cornerRound,4
14138,corrugatedMetalShapes:cubeQuarterRoundOutside,4
14147,corrugatedMetalShapes:cubeHalfRampTip,36
14306,corrugatedMetalShapes:wedgeNarrowLow,222
14307,corrugatedMetalShapes:wedgeNarrowTip,61
14392,corrugatedMetalShapes:plateGable,6
14464,corrugatedMetalShapes:plateRamp,16
14548,corrugatedMetalShapes:slopePlate04,77
14552,corrugatedMetalShapes:slopeHalfPlateLeft04,20
14553,corrugatedMetalShapes:slopeHalfPlateLeftFiller,19
14557,corrugatedMetalShapes:slopeHalfPlateRight04,20
14558,corrugatedMetalShapes:slopeHalfPlateRightFiller,19
14564,corrugatedMetalShapes:slopePlateFiller,14
14608,corrugatedMetalShapes:platePillar0.025,1
14627,corrugatedMetalShapes:stairsFilledVerticalUV,2
14656,corrugatedMetalShapes:stairsSpiralMetalRight,5
14657,corrugatedMetalShapes:stairsSpiralPillar,3
14658,corrugatedMetalShapes:stairsSpiralPillarRailingLeft,1
14662,corrugatedMetalShapes:wedgeTipStairs,8
14687,corrugatedMetalShapes:railingFloatLeft,1
14688,corrugatedMetalShapes:railingFloatRight,1
14742,corrugatedMetalShapes:catwalkV2RailOnly,1
14747,corrugatedMetalShapes:catwalkV2RailOnlyCorner,2
14749,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,1
14750,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,1
14776,corrugatedMetalShapes:cubeBaseboard,97
