id,name,count
2,terrainFiller,28117
14,terrDestroyedStone,1
16,terrGravel,194
17,terrAsphalt,1313
383,woodShapes:plate,3
384,woodShapes:plateCentered,9
467,woodShapes:pillar50,42
1746,woodShapes:windowTrimBottom,6
2052,woodShapes:windowBoarded,8
2244,woodShapes:plateCounter,1
2248,woodShapes:plateCounterHole,2
2519,brickShapes:cube,1029
2534,brickShapes:cubeHalf,159
2965,brickShapes:ramp,32
4323,brickShapes:brickDestroyed01,17
4324,brickShapes:brickDestroyed02,1
4779,cobblestoneShapes:cube,43
7039,concreteShapes:cube,8409
7054,concreteShapes:cubeHalf,348
7077,concreteShapes:cubeQuarter,2
7096,concreteShapes:pole,2
7163,concreteShapes:plate,79
7193,concreteShapes:plateHalf,34
7235,concreteShapes:pillar100,6
7442,concreteShapes:arch,6
7469,concreteShapes:plateRound,5
7485,concreteShapes:ramp,217
7493,concreteShapes:rampInsideCornerFull,3
7521,concreteShapes:wedge60,118
7522,concreteShapes:wedge60Tip,12
7528,concreteShapes:wedge60Corner,9
7530,concreteShapes:wedge60InsideCorner2,8
7783,concreteShapes:halfRampStairs50Filler,4
7973,concreteShapes:stairsFilledVerticalUV,12
7986,concreteShapes:stairsFilledRailingLeft,13
7987,concreteShapes:stairsFilledRailingRight,5
7989,concreteShapes:stairsFilledRailingMetalRight,1
8124,concreteShapes:cubeBaseboard,3
8189,concreteShapes:cubeTrimHalfSplit4Sided,8
8295,concreteShapes:cubeTrimQuarterCornerInside,11
8370,concreteShapes:cubeTrimQuarterEdgeTwoSided,156
8376,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,13
8385,concreteShapes:cubeTrimQuarterEdgeDouble,10
8390,concreteShapes:cubeTrimCornerRound,7
8394,concreteShapes:cubeTrimQuarterEdgeRound,2
9017,concreteShapes:cupboardCorner,56
9115,concreteShapes:plateSidewalkCrooked,73
9116,concreteShapes:plateSidewalkBroke01,9
9117,concreteShapes:plateSidewalkBroke02,9
9118,concreteShapes:plateSidewalkBroke03,9
9123,concreteShapes:roadPaintDashCNTR,104
9299,steelShapes:cube,659
9314,steelShapes:cubeHalf,46
9337,steelShapes:cubeQuarter,2
9495,steelShapes:pillar100,1
9585,steelShapes:3mTubeCenter,189
9586,steelShapes:3mTubeCorner,192
9589,steelShapes:3mTunnelCenter,3
9602,steelShapes:cubeHalf3mCenter,24
9603,steelShapes:cubeHalf3mCorner,24
9745,steelShapes:ramp,281
9762,steelShapes:rampCorner,32
9763,steelShapes:rampCornerFiller,28
9781,steelShapes:wedge60,38
11257,steelShapes:securityGateCentered,2
11260,steelShapes:dynamicGrate,10
13819,corrugatedMetalShapes:cube,731
13834,corrugatedMetalShapes:cubeHalf,41
13876,corrugatedMetalShapes:pole,94
13878,corrugatedMetalShapes:poleSideCentered,82
13943,corrugatedMetalShapes:plate,37
13944,corrugatedMetalShapes:plateCentered,16
14007,corrugatedMetalShapes:billboard,38
14015,corrugatedMetalShapes:pillar100,6
14058,corrugatedMetalShapes:pillar0.025Centered,25
14265,corrugatedMetalShapes:ramp,38
14301,corrugatedMetalShapes:wedge60,122
14302,corrugatedMetalShapes:wedge60Tip,143
14311,corrugatedMetalShapes:wedge60InsideCorner,2
14412,corrugatedMetalShapes:wedge60InclineHalfLeft,8
14413,corrugatedMetalShapes:wedge60InclineHalfRight,8
14418,corrugatedMetalShapes:wedge60TipHalfLeft,14
14419,corrugatedMetalShapes:wedge60TipHalfRight,14
14505,corrugatedMetalShapes:wedgeTipQuarter,19
14744,corrugatedMetalShapes:pillar50PlatePillar0.025,15
14765,corrugatedMetalShapes:stairsRailingMetal,3
14830,corrugatedMetalShapes:catwalkV2,1
14834,corrugatedMetalShapes:catwalkV2RailLadder,2
14837,corrugatedMetalShapes:catwalkV2RailCornerEnd,3
14839,corrugatedMetalShapes:catwalkV2WedgeRailing,1
14870,corrugatedMetalShapes:catwalkV2RailOnly,32
14875,corrugatedMetalShapes:catwalkV2RailOnlyCorner,9
14882,corrugatedMetalShapes:catwalkV2RailOnlyCornerEndLeft,3
14883,corrugatedMetalShapes:catwalkV2RailOnlyCornerEndRight,2
14884,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,6
14885,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,5
14886,corrugatedMetalShapes:catwalkV2RailOnlySingleDoubleEnd,3
14888,corrugatedMetalShapes:ladderRails,1
14891,corrugatedMetalShapes:railing,8
15040,corrugatedMetalShapes:cubeTrimQuarterEdge,26
15071,corrugatedMetalShapes:cubeTrimQuarterCornerOutside,8
15289,corrugatedMetalShapes:doorTrim1m,8
15550,corrugatedMetalShapes:windowIndustrial01Full,75
15551,corrugatedMetalShapes:windowIndustrial01Broken01,26
15552,corrugatedMetalShapes:windowIndustrial01Broken02,22
15719,corrugatedMetalShapes:shantywall01,33
15720,corrugatedMetalShapes:shantywall02,8
15721,corrugatedMetalShapes:shantywall03,16
15722,corrugatedMetalShapes:shantywall04,6
15783,corrugatedMetalShapes:table,3
15853,corrugatedMetalShapes:ladderRoundBroken2,1
18347,bulletproofShapes:windowStoreCornerBulletproofFull,12
18564,cntWeaponsBagSmall,1
18573,cntAmmoPileLarge,1
18586,cntFoodPileMedium,1
18591,cntShippingCrateHero,1
