id,name,count
2,terrainFiller,2766
16,terrGravel,121
17,terrAsphalt,503
18,terrConcrete,20
316,woodShapes:pole,1
367,woodShapes:polePlate,9
383,woodShapes:plate,12
447,woodShapes:billboard,1
1661,woodShapes:plateTrimSplitInside,7
1705,woodShapes:doorTrimCorner,2
1709,woodShapes:doorTrim1m,14
2038,woodShapes:windowPanel,21
2221,woodShapes:counterHalfHollowTopOffset,1
2222,woodShapes:counterHollowFront,1
2234,woodShapes:cubeHollow,1
2244,woodShapes:bookcaseHalfEmpty,3
2269,woodShapes:mirror,7
2499,brickShapes:cube,9
2514,brickShapes:cubeHalf,159
2535,brickShapes:cubeQuarterPlateCorner,2
2537,brickShapes:cubeQuarter,4
2620,brickShapes:cubeHalfPlateCorner2,4
2653,brickShapes:plateHalf,2
3426,brickShapes:stairsFilledQuarterVerticalUV,4
3647,brickShapes:halfTrimSplit2,17
3805,brickShapes:cubeTrimHalfSplitDiagonal,3
3965,brickShapes:windowTrim,2
4292,brickShapes:brickHalfDestroyed01,1
4293,brickShapes:brickHalfDestroyed02,2
4294,brickShapes:brickHalfDestroyed03,2
4298,brickShapes:brickHalfDestroyed07,1
6979,concreteShapes:cube,1227
6994,concreteShapes:cubeHalf,31
7002,concreteShapes:cubeCornerBeveled,3
7017,concreteShapes:cubeQuarter,9
7036,concreteShapes:pole,63
7042,concreteShapes:poleTwoWayCorner,3
7094,concreteShapes:poleSquareCornerRound,5
7099,concreteShapes:cubeHalfPlateCorner,4
7100,concreteShapes:cubeHalfPlateCorner2,4
7103,concreteShapes:plate,10
7167,concreteShapes:billboard,3
7425,concreteShapes:ramp,196
7645,concreteShapes:wedgeTipHalf,24
7716,concreteShapes:halfRampStairs50,2
7751,concreteShapes:plateWedge60Left,1
7753,concreteShapes:plateWedge60LeftTip,1
7907,concreteShapes:stairsFilledVerticalUV,11
7942,concreteShapes:wedgeTipStairs,2
7951,concreteShapes:wedgeStairs,2
8056,concreteShapes:cubeBaseboard,36
8062,concreteShapes:cubeBaseboard4Sided,3
8071,concreteShapes:halfBaseboard,8
8072,concreteShapes:halfBaseboardOffset,3
8121,concreteShapes:cubeTrimHalfSplit4Sided,4
8122,concreteShapes:cubeTrimHalfSplit,51
8192,concreteShapes:cubeTrimQuarterEdge,189
8223,concreteShapes:cubeTrimQuarterCornerOutside,2
8227,concreteShapes:cubeTrimQuarterCornerInside,2
8240,concreteShapes:cubeTrimQuarterCornerInsideTriangle,8
8255,concreteShapes:cubeTrimQuarterCornerDiagonal,2
8270,concreteShapes:cubeTrimQuarterDiagonalFiller2,25
8276,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Left,10
8279,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Right,10
8282,concreteShapes:cubeTrimQuarterEdgeCornerDiagonalFiller2,2
8285,concreteShapes:cubeTrimHalfSplitDiagonal,33
