id,name,count
2,terrainFiller,617
16,terrGravel,100
17,terrAsphalt,11
1950,woodShapes:woodDebris03,1
6364,concreteShapes:cubeHalf,9
6381,concreteShapes:cubeQuarter,4
6400,concreteShapes:pole,16
12439,corrugatedMetalShapes:cube,1
12490,corrugatedMetalShapes:pole,36
12496,corrugatedMetalShapes:poleTwoWayCorner,4
12555,corrugatedMetalShapes:plate,12
12590,corrugatedMetalShapes:plateHalfTriangle,4
12600,corrugatedMetalShapes:platePoleCorner2,4
12606,corrugatedMetalShapes:poleThreeWayPlate2,4
12659,corrugatedMetalShapes:cubeHalfTopPole1mBottom,1
12671,corrugatedMetalShapes:pillar0.025Middle,18
12673,corrugatedMetalShapes:pillar0.025Double,18
12689,corrugatedMetalShapes:poleSupport,16
12690,corrugatedMetalShapes:poleSupport2,16
12692,corrugatedMetalShapes:poleCross,8
12696,corrugatedMetalShapes:pipeStraight,5
12698,corrugatedMetalShapes:pipeJoint,1
12699,corrugatedMetalShapes:pipeFlange,3
12714,corrugatedMetalShapes:3mTubeCenter,12
12715,corrugatedMetalShapes:3mTubeCorner,12
12753,corrugatedMetalShapes:cube5mRoundRoofTop01,1
12754,corrugatedMetalShapes:cube5mRoundRoofTop02,4
12755,corrugatedMetalShapes:cube5mRoundRoofTop03,4
12756,corrugatedMetalShapes:cube5mRoundRoofBottom01,4
12757,corrugatedMetalShapes:cube5mRoundRoofBottom02,4
12758,corrugatedMetalShapes:cube5mRoundRoofBottom03,4
12759,corrugatedMetalShapes:cube5mRoundRoofBottom04,4
12760,corrugatedMetalShapes:cube5mRoundRoofBottom05,4
12761,corrugatedMetalShapes:cube5mRoundRoofBottom06,4
13419,corrugatedMetalShapes:catwalkV2RailOnly,4
13425,corrugatedMetalShapes:catwalkV2RailOnlyDiagonal,4
13426,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,2
13427,corrugatedMetalShapes:catwalkV2RailOnlyBentRight,2
13433,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
13434,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,1
14172,corrugatedMetalShapes:trussingUncentered,24
16993,cntTrashPile07,1
18325,cinderBlocks01,1
20843,ladderMetal,10
21024,concreteHalfDestroyed05Left,1
21026,concreteHalfDestroyed06,1
21083,metalPipeValve,1
21995,treeDeadTree01,2
21996,treeDeadTree02,1
22060,mushroom01,1
22061,mushroom02,1
22064,plantedMushroom3Harvest,1
