id,name,count
2,terrainFiller,20634
5,terrDirt,2
8,terrBurntForestGround,114
16,terrGravel,555
17,terrAsphalt,1404
259,woodShapes:cube,15
310,woodShapes:pole,43
312,woodShapes:poleSideCentered,1
316,woodShapes:poleTwoWayCorner,5
323,woodShapes:poleSquareSideCenteredCornerBracket,1
337,woodShapes:cubePoleCorner,5
375,woodShapes:plate,100
387,woodShapes:plateCorner,1
405,woodShapes:plateHalf,1
415,woodShapes:platePole,15
416,woodShapes:platePoleSideCentered,2
426,woodShapes:poleThreeWayPlate2,4
1018,woodShapes:plateWedge60Tip,1
1025,woodShapes:plateWedge60Incline,1
1061,woodShapes:slopeHalfPlate3mLeft02,1
1062,woodShapes:slopeHalfPlate3mLeft03,1
1073,woodShapes:slopePlate02,3
1074,woodShapes:slopePlate03,3
1075,woodShapes:slopePlate04,3
1629,woodShapes:doorTrim1m,4
1633,woodShapes:doorTrim1mDouble,4
1645,woodShapes:windowTrim,1
1872,woodShapes:windowBoarded,6
1968,woodShapes:sidingBurnt01,1
2047,woodShapes:prepTableCornerLeft,2
2054,woodShapes:cupboardAjar,2
2074,woodShapes:cubeCornerBeveledBookcaseEmpty,2
2088,woodShapes:tvStand01,2
2094,woodShapes:storageCubeHalf,1
2106,woodShapes:mirror,1
2111,woodShapes:ladderSquare,7
2125,woodShapes:fence,24
2127,woodShapes:fenceCorner,2
2128,woodShapes:fenceBroken1,1
2129,woodShapes:fenceBroken2,2
6433,concreteShapes:cube,1027
6633,concreteShapes:pillar50,2
7327,concreteShapes:stairsFilledRailingMetalLeft,6
7328,concreteShapes:stairsFilledRailingMetalRight,6
7574,concreteShapes:cubeTrimQuarterEdge,363
7605,concreteShapes:cubeTrimQuarterCornerOutside,8
7609,concreteShapes:cubeTrimQuarterCornerInside,1
7637,concreteShapes:cubeTrimQuarterCornerDiagonal,6
7658,concreteShapes:cubeTrimQuarterEdgeDiagonalFiller2Left,58
7664,concreteShapes:cubeTrimQuarterEdgeCornerDiagonalFiller2,6
7696,concreteShapes:cubeTrimQuarterEdgeDouble,30
7701,concreteShapes:cubeTrimCornerRound,17
7705,concreteShapes:cubeTrimQuarterEdgeRound,2
8245,concreteShapes:cubeTileBroken,1
8322,concreteShapes:farmPlot,6
8332,concreteShapes:roadPaintDash,165
8335,concreteShapes:roadPaintDiagonal,10
8336,concreteShapes:roadPaintDashDiagonalFiller,17
8340,concreteShapes:roadPaintArrowStraight,4
8341,concreteShapes:roadPaintArrowLeft,4
10549,awningShapes:cube,112
10729,awningShapes:billboard,30
12388,awningShapes:verticalBlindsTop2,2
12389,awningShapes:verticalBlindsBottom,2
12390,awningShapes:verticalBlindsTopRailOnly,4
