id,name,count
1,terrStone,66
2,terrainFiller,1977
5,terrDirt,99
16,terrGravel,13
312,woodShapes:poleSideCentered,7
315,woodShapes:poleHalfSideCentered,1
339,woodShapes:cubePoleSideCentered,1
349,woodShapes:corniceBracketHalfCentered,2
12835,corrugatedMetalShapes:pillar0.0125SideCentered,1
16911,cntAmmoPileSmall,1
17297,cntBagsRandomLootHelper,1
17298,cntSportsBag01RandomLootHelper,1
17466,cntCollapsedGeneratorbank,1
18345,cntBarrelGasSingle45,1
18400,decoCarTireFlat02,1
18415,goreBlockHumanCorpse,1
18416,goreBlockHumanCorpse1,1
18417,goreBlockHumanCorpse2,1
18459,rockResource,2
20429,cntStoreElectronicsBookShelfSpeaker,1
21470,woodSpikesTrapBloodPOI,6
21482,barbedWireSpindleDiagonal1m,4
21962,plantShrubRandomHelper,11
22006,treeSmallRandomHelper,2
22008,treeMediumRandomHelper,1
22009,treeLargeRandomHelper,1
22134,sleeperSideLeft,1
22135,sleeperSideRight,1
22136,sleeperStomach,1
