id,name,count
6937,corrugatedMetalShapes:cube,10
7083,corrugatedMetalShapes:poleSupportCenter,48
7086,corrugatedMetalShapes:poleCrossCenter,12
7088,corrugatedMetalShapes:pipeStraight,12
7091,corrugatedMetalShapes:pipeFlange,24
7128,corrugatedMetalShapes:cubeQuarter5mRound01,16
7129,corrugatedMetalShapes:cubeQuarter5mRound02,16
7130,corrugatedMetalShapes:cubeQuarter5mRound03,16
7131,corrugatedMetalShapes:cubeQuarter5mRound04,16
7132,corrugatedMetalShapes:cubeQuarter5mRound05,16
7135,corrugatedMetalShapes:cube5mRoundRoofTop01,1
7136,corrugatedMetalShapes:cube5mRoundRoofTop02,4
7137,corrugatedMetalShapes:cube5mRoundRoofTop03,4
7138,corrugatedMetalShapes:cube5mRoundRoofBottom01,4
7139,corrugatedMetalShapes:cube5mRoundRoofBottom02,4
7140,corrugatedMetalShapes:cube5mRoundRoofBottom03,4
7141,corrugatedMetalShapes:cube5mRoundRoofBottom04,4
7142,corrugatedMetalShapes:cube5mRoundRoofBottom05,4
7143,corrugatedMetalShapes:cube5mRoundRoofBottom06,4
7144,corrugatedMetalShapes:cube5mRoundCatwalkFiller01,4
7145,corrugatedMetalShapes:cube5mRoundCatwalkFiller02,4
7146,corrugatedMetalShapes:cube5mRoundCatwalkFiller03,4
7147,corrugatedMetalShapes:cube5mRoundCatwalkFiller04,4
7151,corrugatedMetalShapes:cube5mRoundCatwalk01,3
7152,corrugatedMetalShapes:cube5mRoundCatwalk02,4
7153,corrugatedMetalShapes:cube5mRoundCatwalk03,4
7154,corrugatedMetalShapes:cube5mRoundCatwalk04,4
7155,corrugatedMetalShapes:cube5mRoundCatwalk05,4
7156,corrugatedMetalShapes:cube5mRoundCatwalkLadder,1
7951,corrugatedMetalShapes:ladderRound,9
