id,name,count
6991,concreteShapes:cube,807
7006,concreteShapes:cubeHalf,63
7437,concreteShapes:ramp,397
7438,concreteShapes:cubeHalfRamp,48
7732,concreteShapes:halfRampStairs50,12
7734,concreteShapes:rampIncline,16
7735,concreteShapes:rampInclineFiller,8
8311,concreteShapes:cubeTrimHalfSplitDiagonalBottomTrimFiller,2
8350,concreteShapes:rampHalfTrimQuarterEdgeFillerOffset,24
8360,concreteShapes:rampHalfTrimQuarterEdge2SidedOffset,30
8361,concreteShapes:cubeTrimQuarterRamp,2
14776,corrugatedMetalShapes:catwalkV2RailOnlyDiagonal,32
15177,corrugatedMetalShapes:doorTrim1m,37
