id,name,count
2532,brickShapes:cubeHalfCorner,1
2538,brickShapes:cubeHalf,10
3457,brickShapes:stairsFilledQuarterVerticalUV,1
7108,concreteShapes:pole,10
13900,corrugatedMetalShapes:pole,8
13906,corrugatedMetalShapes:poleTwoWayCorner,4
13967,corrugatedMetalShapes:plate,8
14012,corrugatedMetalShapes:platePoleCorner2,20
14014,corrugatedMetalShapes:poleTwoWayPlate2,4
15310,corrugatedMetalShapes:doorTrimCorner,4
15314,corrugatedMetalShapes:doorTrim1m,16
18614,cntMedicLootPileACorner,1
19150,conduitSingleCentered,4
19151,conduitSingleCenteredEnd,2
19428,industrialLight01,2
23980,signDecalWood8x4,1
