id,name,count
358,woodShapes:plate,8
369,woodShapes:plateHole,5
655,woodShapes:plateQuarterRoundOutside,2
1028,woodShapes:slopePlateLeft01,2
1030,woodShapes:slopePlateLeft02,2
1032,woodShapes:slopePlateLeft03,2
1033,woodShapes:slopePlateLeft04,3
11495,corrugatedMetalShapes:cubeQuarterPlateCorner,8
11502,corrugatedMetalShapes:quarterInsideCorner,2
11566,corrugatedMetalShapes:plate,33
11595,corrugatedMetalShapes:plateHalf,9
11609,corrugatedMetalShapes:platePoleCorner2,25
12390,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
12391,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,1
12738,corrugatedMetalShapes:doorTrimCorner,2
12742,corrugatedMetalShapes:doorTrim1m,23
12749,corrugatedMetalShapes:doorTrimTop,2
12801,corrugatedMetalShapes:windowStoreOneSidedEmpty,10
13038,corrugatedMetalShapes:iBeamFoundation,1
13039,corrugatedMetalShapes:iBeamFoundation2,1
13071,corrugatedMetalShapes:securityGatePlate,15
13280,corrugatedMetalShapes:signLetter_a,1
13282,corrugatedMetalShapes:signLetter_c,1
13284,corrugatedMetalShapes:signLetter_e,1
13286,corrugatedMetalShapes:signLetter_g,1
13287,corrugatedMetalShapes:signLetter_h,1
13288,corrugatedMetalShapes:signLetter_i,3
13291,corrugatedMetalShapes:signLetter_l,1
13293,corrugatedMetalShapes:signLetter_n,1
13298,corrugatedMetalShapes:signLetter_s,1
13299,corrugatedMetalShapes:signLetter_t,2
13300,corrugatedMetalShapes:signLetter_u,2
13309,corrugatedMetalShapes:signLetter_apostrophe,1
15371,iBeamSmall,9
15372,iBeam,23
15659,metalRailing,15
16267,conduitSingleCentered,6
16268,conduitSingleCenteredEnd,3
18305,cntBagsRandomLootHelper,1
19074,industrialLight01,3
