id,name,count
1968,woodShapes:roadPaintDash,11
2072,woodShapes:signLetter_a,6
2074,woodShapes:signLetter_c,1
2076,woodShapes:signLetter_e,1
2080,woodShapes:signLetter_i,2
2084,woodShapes:signLetter_m,4
2085,woodShapes:signLetter_n,2
2086,woodShapes:signLetter_o,2
2087,woodShapes:signLetter_p,2
2091,woodShapes:signLetter_t,1
2094,woodShapes:signLetter_w,1
2097,woodShapes:signLetter_z,4
2102,woodShapes:signLetter_exclamation,1
2103,woodShapes:signLetter_question,1
11495,corrugatedMetalShapes:cubeQuarterPlateCorner,8
11502,corrugatedMetalShapes:quarterInsideCorner,2
11566,corrugatedMetalShapes:plate,33
11595,corrugatedMetalShapes:plateHalf,9
11609,corrugatedMetalShapes:platePoleCorner2,25
12151,corrugatedMetalShapes:plateRamp,11
12390,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
12391,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,1
12738,corrugatedMetalShapes:doorTrimCorner,2
12742,corrugatedMetalShapes:doorTrim1m,23
12749,corrugatedMetalShapes:doorTrimTop,2
12801,corrugatedMetalShapes:windowStoreOneSidedEmpty,10
13038,corrugatedMetalShapes:iBeamFoundation,1
13039,corrugatedMetalShapes:iBeamFoundation2,1
13071,corrugatedMetalShapes:securityGatePlate,15
15371,iBeamSmall,9
15372,iBeam,23
15659,metalRailing,15
16267,conduitSingleCentered,6
16268,conduitSingleCenteredEnd,3
19074,industrialLight01,3
