id,name,count
13855,corrugatedMetalShapes:cubeQuarterPlateCorner,8
13862,corrugatedMetalShapes:quarterInsideCorner,2
13943,corrugatedMetalShapes:plate,33
13973,corrugatedMetalShapes:plateHalf,9
13988,corrugatedMetalShapes:platePoleCorner2,25
14870,corrugatedMetalShapes:catwalkV2RailOnly,15
14884,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
14885,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,1
15407,corrugatedMetalShapes:windowStoreOneSidedEmpty,10
15741,corrugatedMetalShapes:iBeamSmall,5
15742,corrugatedMetalShapes:iBeam,21
15744,corrugatedMetalShapes:iBeamFoundation,1
15745,corrugatedMetalShapes:iBeamFoundation2,1
15779,corrugatedMetalShapes:securityGatePlate,15
19117,conduitSingleCentered,3
19118,conduitSingleCenteredEnd,3
19395,industrialLight01,3
23200,iBeamSmall,4
23201,iBeam,2
23813,signCanvasWood11x6,1
