id,name,count
13879,corrugatedMetalShapes:cubeQuarterPlateCorner,8
13886,corrugatedMetalShapes:quarterInsideCorner,2
13967,corrugatedMetalShapes:plate,33
13997,corrugatedMetalShapes:plateHalf,9
14012,corrugatedMetalShapes:platePoleCorner2,25
14895,corrugatedMetalShapes:catwalkV2RailOnly,15
14909,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,1
14910,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,1
15432,corrugatedMetalShapes:windowStoreOneSidedEmpty,10
15769,corrugatedMetalShapes:iBeamSmall,5
15770,corrugatedMetalShapes:iBeam,21
15772,corrugatedMetalShapes:iBeamFoundation,1
15773,corrugatedMetalShapes:iBeamFoundation2,1
15807,corrugatedMetalShapes:securityGatePlate,15
19150,conduitSingleCentered,6
19151,conduitSingleCenteredEnd,3
19428,industrialLight01,3
23334,iBeamSmall,4
23335,iBeam,2
23947,signCanvasWood11x6,1
