id,name,count
12310,corrugatedMetalShapes:cubeHalf,14
12346,corrugatedMetalShapes:pole,25
12373,corrugatedMetalShapes:cubePoleCorner,2
12526,corrugatedMetalShapes:pillar0.025Middle,4
12878,corrugatedMetalShapes:wedgeNarrowLow,7
13698,corrugatedMetalShapes:windowStoreOneSidedFull,4
13702,corrugatedMetalShapes:windowStoreCornerFull,8
13704,corrugatedMetalShapes:windowStoreOneSidedBroken,4
13708,corrugatedMetalShapes:windowStoreCornerBroken,8
17327,lightPanelLEDWhite,2
17926,woodFenceSheet,9
19791,parkBenchA,2
21201,signPosterWantedMissing02,4
21202,signPosterWantedMissing03,1
21226,signPosterMovieTheater2159,2
21227,signPosterMovieTheaterLoneWolf,1
21228,signPosterMovieTheaterMammasJustice,2
