id,name,count
310,woodShapes:pole,4
316,woodShapes:poleTwoWayCorner,2
354,woodShapes:polePlateHalf,4
375,woodShapes:plate,23
410,woodShapes:plateHalfTriangle,2
411,woodShapes:plateQuarterTriangle,2
426,woodShapes:poleThreeWayPlate2,2
1073,woodShapes:slopePlate03,6
1074,woodShapes:slopePlate04,6
1095,woodShapes:slopePlateLeft03,1
1096,woodShapes:slopePlateLeft04,1
1101,woodShapes:slopePlateRight03,1
1102,woodShapes:slopePlateRight04,1
1628,woodShapes:doorTrim1m,12
1632,woodShapes:doorTrim1mDouble,2
1871,woodShapes:windowBoarded,5
2111,woodShapes:ladderSquare,2
12723,corrugatedMetalShapes:plate,3
12767,corrugatedMetalShapes:platePoleCorner,4
12839,corrugatedMetalShapes:pillar0.025Middle,3
12840,corrugatedMetalShapes:pillar0.025MiddleHalf,2
13421,corrugatedMetalShapes:slopePlate03,2
13422,corrugatedMetalShapes:slopePlate04,2
13443,corrugatedMetalShapes:slopePlateLeft03,1
13444,corrugatedMetalShapes:slopePlateLeft04,1
13449,corrugatedMetalShapes:slopePlateRight03,1
13450,corrugatedMetalShapes:slopePlateRight04,1
17258,cntCoolerRandomLootHelper,1
17303,cntBagsRandomLootHelper,1
18429,decoCarTireFlat,1
18453,goreBlockHumanCorpse3,1
18465,modularFireWoodStackC,1
18515,emberPileLightPOI1,1
19970,chairCampingGrey,1
20134,bedrollPOI,1
20135,bedrollArmyGreenPOI,1
20260,cntToolBoxRandomLootHelperRed,1
21658,fakeCabinetDoorTrap1x2Sheet,1
22141,treeStumpPOI,1
22271,sleeperIdle,1
