id,name,count
2737,concreteShapes:cube,456
8332,chainlinkFenceBottomRail,2
8333,chainlinkFenceBottomRailPoleLeft,1
8334,chainlinkFenceBottomRailPoleRight,1
8335,chainlinkFenceBottomRailPoleCorner,2
8336,chainlinkFenceMiddleRail,2
8337,chainlinkFenceMiddleRailPoleLeft,1
8338,chainlinkFenceMiddleRailPoleRight,1
8339,chainlinkFenceMiddleRailPoleCorner,2
8340,chainlinkFenceTopRail,2
8341,chainlinkFenceTopRailBridge,1
8342,chainlinkFenceTopRailPoleLeft,1
8343,chainlinkFenceTopRailPoleRight,1
8344,chainlinkFenceTopRailCorner,2
8345,chainlinkFenceDoor,1
8347,chainlinkFenceBottomPlainPoleLeft,2
8348,chainlinkFenceBottomPlainPoleRight,2
8349,chainlinkFenceBottomPlainCorner,2
8351,chainlinkFenceTopPlainPoleLeft,2
8352,chainlinkFenceTopPlainPoleRight,2
8353,chainlinkFenceTopPlainCorner,2
8355,chainlinkFenceBottomRailPOI,2
8356,chainlinkFenceBottomRailPoleLeftPOI,4
8357,chainlinkFenceBottomRailPoleRightPOI,4
8359,chainlinkFenceMiddleRailPOI,2
8360,chainlinkFenceMiddleRailPoleLeftPOI,4
8361,chainlinkFenceMiddleRailPoleRightPOI,4
8363,chainlinkFenceTopRailPOI,2
8364,chainlinkFenceTopRailBridgePOI,2
8365,chainlinkFenceTopRailPoleLeftPOI,4
8366,chainlinkFenceTopRailPoleRightPOI,4
8368,chainlinkFenceDoorPOI,2
8369,chainlinkFenceBottomPlainPOI,9
8370,chainlinkFenceBottomPlainPoleLeftPOI,2
8371,chainlinkFenceBottomPlainPoleRightPOI,2
8374,chainlinkFenceTopPlainPoleLeftPOI,2
8375,chainlinkFenceTopPlainPoleRightPOI,2
