id,name,count
2,terrainFiller,39
15,terrGravel,10
358,woodShapes:plate,5
387,woodShapes:plateHalf,3
389,woodShapes:plateHalfOffCentered,3
399,woodShapes:platePoleCornerFiller,4
401,woodShapes:platePoleCorner2,9
931,woodShapes:plateDiagonal,1
934,woodShapes:plateDiagonalFiller,1
946,woodShapes:plateWedge60Left,2
947,woodShapes:plateWedge60Right,2
961,woodShapes:plateWedge60Incline,6
1532,woodShapes:doorTrim0.5m,4
1534,woodShapes:doorTrim1m,4
15735,chainlinkFenceBottomPlain,10
15878,plantedtreeGrassSeed1,2
17917,cntShoppingBasketEmptyOrange,1
18421,cntBirdnestCorner,2
19040,sleeperChickenAnimal,2
19761,woodHatch,1
