id,name,count
8465,corrugatedMetalShapes:cubeHalf,17
8540,corrugatedMetalShapes:plateCornerHalf,4
8554,corrugatedMetalShapes:plateHalf,22
9287,corrugatedMetalShapes:cubeHalfTrimQuarterCornerInsideDoubleOffset,1
9453,corrugatedMetalShapes:doorTrim0.5m,4
9769,corrugatedMetalShapes:signNumber_1,1
9770,corrugatedMetalShapes:signNumber_2,1
9773,corrugatedMetalShapes:signNumber_5,1
9777,corrugatedMetalShapes:signNumber_9,1
9782,corrugatedMetalShapes:signLetter_e,2
9785,corrugatedMetalShapes:signLetter_h,1
9786,corrugatedMetalShapes:signLetter_i,1
9790,corrugatedMetalShapes:signLetter_m,1
9792,corrugatedMetalShapes:signLetter_o,1
9797,corrugatedMetalShapes:signLetter_t,1
9799,corrugatedMetalShapes:signLetter_v,1
